安全漏斗,an'quan'lou'dou
白磁板,bai'ci'ban
白磷,bai'lin
饱和溶液,bao'he'rong'ye
不饱和溶液,bu'bao'he'rong'ye
不纯物质,bu'chun'wu'zhi
布氏漏斗,bu'shi'lou'dou
澄清石灰水,cheng'qing'shi'hui'shui
赤铁矿,chi'tie'kuang
抽气管,chou'qi'guan
除杂,chu'za
除杂试剂,chu'za'shi'ji
除杂装置,chu'za'zhuang'zhi
纯金属,chun'jin'shu
打孔器,da'kong'qi
胆矾,dan'fan
灯帽,deng'mao
滴定管,di'ding'guan
滴管,di'guan
惰性气体,duo'xing'qi'ti
发生装置,fa'sheng'zhuang'zhi
发烟硫酸,fa'yan'liu'suan
反应板,fan'ying'ban
反应容器,fan'ying'rong'qi
反应装置,fan'ying'zhuang'zhi
分解反应,fen'jie'fan'ying
酚醛塑料,fen'quan'su'liao
酚酞试液,fen'tai'shi'ye
复分解反应,fu'fen'jie'fan'ying
符号表达式,fu'hao'biao'da'shi
坩埚钳,gan'guo'qian
干燥管,gan'zao'guan
干燥器,gan'zao'qi
干燥装置,gan'zao'zhuang'zhi
高锰酸钾,gao'meng'suan'jia
广口瓶,guang'kou'ping
过氧化氢,guo'yang'hua'qing
过氧化氢溶液,guo'yang'hua'qing'rong'ye
含杂物质,han'za'wu'zhi
合成有机高分子,he'cheng'you'ji'gao'fen'zi
合成有机高分子材料,he'cheng'you'ji'gao'fen'zi'cai'liao
合金标本,he'jin'biao'ben
合金钢,he'jin'gang
恒温蒸发,heng'wen'zheng'fa
红磷,hong'lin
化合反应,hua'he'fan'ying
化学方程式,hua'xue'fang'cheng'shi
化学用语,hua'xue'yong'yu
黄铁矿,huang'tie'kuang
黄铜矿,huang'tong'kuang
辉铜矿,hui'tong'kuang
火碱,huo'jian
活性炭,huo'xing'tan
集气瓶,ji'qi'ping
碱式滴定管,jian'shi'di'ding'guan
碱式碳酸铜,jian'shi'tan'suan'tong
降低温度,jiang'di'wen'du
降温结晶,jiang'wen'jie'jing
胶头滴管,jiao'tou'di'guan
结晶池,jie'jing'chi
金属资源,jin'shu'zi'yuan
净化装置,jing'hua'zhuang'zhi
井穴板,jing'xue'ban
酒精灯,jiu'jing'deng
酒精喷灯,jiu'jing'pen'deng
苛性钠,ke'xing'na
矿石标本,kuang'shi'biao'ben
矿物储量,kuang'wu'chu'liang
扩散过程,kuo'san'guo'cheng
蓝矾,lan'fan
冷凝管,leng'ning'guan
离心沉降器,li'xin'chen'jiang'qi
离心管,li'xin'guan
离子符号,li'zi'fu'hao
菱铁矿,ling'tie'kuang
硫酸钾溶液,liu'suan'jia'rong'ye
硫酸钠溶液,liu'suan'na'rong'ye
硫酸锶,liu'suan'si
硫酸铜溶液,liu'suan'tong'rong'ye
硫铁矿,liu'tie'kuang
绿矾,lv'fan
铝粉,lv'fen
氯化钡溶液,lv'hua'bei'rong'ye
氯化钙溶液,lv'hua'gai'rong'ye
氯化铝溶液,lv'hua'lv'rong'ye
氯化钠溶液,lv'hua'na'rong'ye
氯化锌溶液,lv'hua'xin'rong'ye
铝土矿,lv'tu'kuang
镁带,mei'dai
镁粉,mei'fen
镁条,mei'tiao
内焰,nei'yan
脲醛,niao'quan
脲醛塑料,niao'quan'su'liao
浓溶液,nong'rong'ye
平底烧瓶,ping'di'shao'ping
气密性,qi'mi'xing
启普发生器,qi'pu'fa'sheng'qi
氢氧化钙溶液,qing'yang'hua'gai'rong'ye
氢氧化钠溶液,qing'yang'hua'na'rong'ye
曲颈甑,qu'jing'zeng
溶解度曲线,rong'jie'du'qu'xian
容量瓶,rong'liang'ping
溶质的质量分数,rong'zhi'de'zhi'liang'fen'shu
烧杯夹,shao'bei'jia
烧碱,shao'jian
烧瓶,shao'ping
升高温度,sheng'gao'wen'du
生物实验室,sheng'wu'shi'yan'shi
试管夹,shi'guan'jia
试管架,shi'guan'jia
收集装置,shou'ji'zhuang'zhi
手摇打孔器,shou'yao'da'kong'qi
熟石灰,shu'shi'hui
刷洗,shua'xi
水合过程,shui'he'guo'cheng
酸碱指示剂,suan'jian'zhi'shi'ji
酸式滴定管,suan'shi'di'ding'guan
钛合金,tai'he'jin
弹簧夹,tan'huang'jia
碳酸钾溶液,tan'suan'jia'rong'ye
碳酸钠溶液,tan'suan'na'rong'ye
天然有机高分子材料,tian'ran'you'ji'gao'fen'zi'cai'liao
铁粉,tie'fen
铁架台,tie'jia'tai
铁锈,tie'xiu
铜矾,tong'fan
托盘天平,tuo'pan'tian'ping
外焰,wai'yan
万能夹,wan'neng'jia
文字表达式,wen'zi'biao'da'shi
物理实验室,wu'li'shi'yan'shi
稀醋酸,xi'cu'suan
细口瓶,xi'kou'ping
稀硫酸,xi'liu'suan
吸滤瓶,xi'lv'ping
洗气,xi'qi
洗气装置,xi'qi'zhuang'zhi
稀溶液,xi'rong'ye
吸收装置,xi'shou'zhuang'zhi
细铁丝,xi'tie'si
稀硝酸,xi'xiao'suan
稀盐酸,xi'yan'suan
稀有气体,xi'you'qi'ti
相对分子质量,xiang'dui'fen'zi'zhi'liang
相对原子质量,xiang'dui'yuan'zi'zhi'liang
橡胶胶帽,xiang'jiao'jiao'mao
橡胶乳头,xiang'jiao'ru'tou
消石灰,xiao'shi'hui
硝酸钡溶液,xiao'suan'bei'rong'ye
硝酸钙溶液,xiao'suan'gai'rong'ye
小液滴,xiao'ye'di
锌粉,xin'fen
锌粒,xin'li
焰心,yan'xin
易爆物,yi'bao'wu
易燃物,yi'ran'wu
有机高分子化合物,you'ji'gao'fen'zi'hua'he'wu
圆底烧瓶,yuan'di'shao'ping
元素质量守恒,yuan'su'zhi'liang'shou'heng
增加溶质,zeng'jia'rong'zhi
蘸取,zhan'qu
着火点,zhao'huo'dian
蒸发池,zheng'fa'chi
蒸发结晶,zheng'fa'jie'jing
蒸发皿,zheng'fa'min
蒸发溶剂,zheng'fa'rong'ji
蒸馏烧瓶,zheng'liu'shao'ping
酯化反应,zhi'hua'fan'ying
置换反应,zhi'huan'fan'ying
质量分数,zhi'liang'fen'shu
质量守恒定律,zhi'liang'shou'heng'ding'lv
止水夹,zhi'shui'jia
中和反应,zhong'he'fan'ying
贮水池,zhu'shui'chi
主要成分,zhu'yao'cheng'fen
锥形瓶,zhui'xing'ping
紫色石蕊试液,zi'se'shi'rui'shi'ye
棕色瓶,zong'se'ping
