阿达,a'da
哀哀叫,ai'ai'jiao
爱困的,ai'kun'de
哀伤的脸,ai'shang'de'lian
熬夜变熊猫,ao'ye'bian'xiong'mao
掰掰,bai'bai
绑辫子的女孩,bang'bian'zi'de'nv'hai
抱歉两手张开高举投降状,bao'qian'liang'shou'zhang'kai'gao'ju'tou'xiang'zhuang
暴牙的人,bao'ya'de'ren
被吓坏了吓得瞠目结舌,bei'xia'huai'le'xia'de'cheng'mu'jie'she
鼻毛跑出来了,bi'mao'pao'chu'lai'le
表达爱意,biao'da'ai'yi
表情篇,biao'qing'pian
啵一个,bo'yi'ge
不妙了,bu'miao'le
不以为然,bu'yi'wei'ran
不知道啦,bu'zhi'dao'la
不知道你在什麼,bu'zhi'dao'ni'zai'shen'mo
擦汗,ca'han
惨了,can'le
超级感动眼泪不停,chao'ji'gan'dong'yan'lei'bu'ting
超级羞羞,chao'ji'xiu'xiu
沉思说穿了呆滞状况,chen'si'shuo'chuan'le'dai'zhi'zhuang'kuang
嗤之以鼻,chi'zhi'yi'bi
崇拜的眼神眼睛为之一亮,chong'bai'de'yan'shen'yan'jing'wei'zhi'yi'liang
抽烟中,chou'yan'zhong
刺眼,ci'yan
错愕的表情,cuo'e'de'biao'qing
大鼻子小眼睛的人,da'bi'zi'xiao'yan'jing'de'ren
大叫,da'jiao
打瞌睡,da'ke'shui
戴了副眼镜,dai'le'fu'yan'jing
呆滞的眼神,dai'zhi'de'yan'shen
旦喝咖啡,dan'he'ka'fei
单翘一边眉,dan'qiao'yi'bian'mei
当然,dang'ran
动物篇,dong'wu'pian
动作篇,dong'zuo'pian
嘟嘴,du'zui
嘟嘴你都不理我,du'zui'ni'dou'bu'li'wo
对不起啦,dui'bu'qi'la
嗯嗯,en'en
嗯哼,en'heng
嗯思考中,en'si'kao'zhong
嗯原来如此,en'yuan'lai'ru'ci
发生啥事,fa'sheng'sha'shi
放个炸弹炸人啦,fang'ge'zha'dan'zha'ren'la
放屁,fang'pi
粉无奈粉悲情,fen'wu'nai'fen'bei'qing
感动,gan'dong
感动的,gan'dong'de
感动感动,gan'dong'gan'dong
尴尬,gan'ga
尴尬的笑,gan'ga'de'xiao
尴尬的笑啊好尴尬啊,gan'ga'de'xiao'a'hao'gan'ga'a
刚睡醒,gang'shui'xing
刚睡醒的脸,gang'shui'xing'de'lian
给你下跪,gei'ni'xia'gui
给你一个飞吻,gei'ni'yi'ge'fei'wen
给你一拳,gei'ni'yi'quan
骨头,gu'tou
乖还含个奶嘴哦,guai'hai'han'ge'nai'zui'o
圭列怎麼酱,gui'lie'zen'mo'jiang
哈哈,ha'ha
哈哈大笑,ha'ha'da'xiao
害怕无助,hai'pa'wu'zhu
好吵好吵,hao'chao'hao'chao
好刺激,hao'ci'ji
好尴尬,hao'gan'ga
好感人唷,hao'gan'ren'yo
好啦,hao'la
好冷喔,hao'leng'wo
好酸呀,hao'suan'ya
好听的音乐,hao'ting'de'yin'yue
好痛,hao'tong
好险,hao'xian
很尴尬,hen'gan'ga
很没劲无耐的意思,hen'mei'jin'wu'nai'de'yi'si
很想睡觉哩,hen'xiang'shui'jiao'li
很郁卒,hen'yu'zu
狐狸,hu'li
呼噜呼噜,hu'lu'hu'lu
滑稽的微笑,hua'ji'de'wei'xiao
花束,hua'shu
