暗示权利,an'shi'quan'li
版本管理,ban'ben'guan'li
悲观估计,bei'guan'gu'ji
变量抽样,bian'liang'chou'yang
采购规划,cai'gou'gui'hua
参数估算,can'shu'gu'suan
测试集成,ce'shi'ji'cheng
产品范围,chan'pin'fan'wei
产品分解分析,chan'pin'fen'jie'fen'xi
产品分析,chan'pin'fen'xi
成本加酬金合同,cheng'ben'jia'chou'jin'he'tong
成本加固定酬金,cheng'ben'jia'gu'ding'chou'jin
成本加鼓励酬金,cheng'ben'jia'gu'li'chou'jin
成本偏差,cheng'ben'pian'cha
惩罚权利,cheng'fa'quan'li
持续改进,chi'xu'gai'jin
储备金分析,chu'bei'jin'fen'xi
词典,ci'dian
单边合同,dan'bian'he'tong
单代号网络图,dan'dai'hao'wang'luo'tu
定量风险分析,ding'liang'feng'xian'fen'xi
定性风险分析,ding'xing'feng'xian'fen'xi
独立估算,du'li'gu'suan
多项目管理办公室,duo'xiang'mu'guan'li'ban'gong'shi
发包规划,fa'bao'gui'hua
范围变更控制,fan'wei'bian'geng'kong'zhi
范围定义,fan'wei'ding'yi
范围规划,fan'wei'gui'hua
范围核实,fan'wei'he'shi
范围潜变,fan'wei'qian'bian
非一致成本,fei'yi'zhi'cheng'ben
费用偿还合同,fei'yong'chang'huan'he'tong
费用估算,fei'yong'gu'suan
费用控制,fei'yong'kong'zhi
费用预算,fei'yong'yu'suan
风险管理规划,feng'xian'guan'li'gui'hua
风险缓解,feng'xian'huan'jie
风险监控,feng'xian'jian'kong
风险去除,feng'xian'qu'chu
风险识别,feng'xian'shi'bie
风险效用,feng'xian'xiao'yong
风险应对规划,feng'xian'ying'dui'gui'hua
风险预防,feng'xian'yu'fang
浮动时差,fu'dong'shi'cha
概要设计,gai'yao'she'ji
赶工,gan'gong
功能分析,gong'neng'fen'xi
功能规格书,gong'neng'gui'ge'shu
工期压缩,gong'qi'ya'suo
供应商管理,gong'ying'shang'guan'li
工作包,gong'zuo'bao
工作分解结构,gong'zuo'fen'jie'jie'gou
工作分解结构词汇表,gong'zuo'fen'jie'jie'gou'ci'hui'biao
沟通规划,gou'tong'gui'hua
固定总价合同,gu'ding'zong'jia'he'tong
关键链法,guan'jian'lian'fa
关键路径法,guan'jian'lu'jing'fa
管理储备金,guan'li'chu'bei'jin
滚动式规划,gun'dong'shi'gui'hua
国际项目管理协会,guo'ji'xiang'mu'guan'li'xie'hui
赫茨伯格双因素理论,he'ci'bo'ge'shuang'yin'su'li'lun
合同工作分解结构,he'tong'gong'zuo'fen'jie'jie'gou
合同管理,he'tong'guan'li
合同契约关系,he'tong'qi'yue'guan'xi
合同收尾,he'tong'shou'wei
横道图,heng'dao'tu
横向思维法,heng'xiang'si'wei'fa
活动持续时间估计,huo'dong'chi'xu'shi'jian'gu'ji
活动定义,huo'dong'ding'yi
活动排序,huo'dong'pai'xu
活动资源估算,huo'dong'zi'yuan'gu'suan
计划管理办公室,ji'hua'guan'li'ban'gong'shi
计划评审技术,ji'hua'ping'shen'ji'shu
计划值,ji'hua'zhi
绩效报告,ji'xiao'bao'gao
集中办公,ji'zhong'ban'gong
基准对照,ji'zhun'dui'zhao
价值分析,jia'zhi'fen'xi
价值工程,jia'zhi'gong'cheng
检查表,jian'cha'biao
