阿布德斯,a'bu'de'si
阿海勒主麻,a'hai'le'zhu'ma
阿黑来提,a'hei'lai'ti
阿敏,a'min
阿术拉,a'shu'la
阿术拉节,a'shu'la'jie
哀欧足,ai'ou'zu
艾雅姆太什里格,ai'ya'mu'tai'shen'li'ge
安拉,an'la
安拉的德性,an'la'de'de'xing
安拉的美名,an'la'de'mei'ming
巴拉韦法特,ba'la'wei'fa'te
巴伊赖姆,ba'yi'lai'mu
把斋,ba'zhai
拜功,bai'gong
白拉提夜,bai'la'ti'ye
搬阿訇,ban'a'hong
邦克,bang'ke
奔走,ben'zou
比一士,bi'yi'shi
殡礼,bin'li
晡礼,bu'li
忏悔,chan'hui
朝功,chao'gong
朝觐,chao'jin
朝向,chao'xiang
晨礼,chen'li
成丁礼,cheng'ding'li
出散,chu'san
传经,chuan'jing
传贤制,chuan'xian'zhi
错拜,cuo'bai
大净,da'jing
大赦之夜,da'she'zhi'ye
代净,dai'jing
单一教坊制,dan'yi'jiao'fang'zhi
当然,dang'ran
道号,dao'hao
道统,dao'tong
登霄节,deng'xiao'jie
低念,di'nian
谛言,di'yan
点灯节,dian'deng'jie
都阿,dou'a
都瓦日,dou'wa'ri
独班,du'ban
短作,duan'zuo
垛子海,duo'zi'hai
尔德,er'de
尔德艾祖哈,er'de'ai'zu'ha
尔德费图尔,er'de'fei'tu'er
尔埋里,er'mai'li
费他耶,fei'ta'ye
分信,fen'xin
封经,feng'jing
封斋,feng'zhai
副朝,fu'chao
副功,fu'gong
副功拜,fu'gong'bai
抚石,fu'shi
盖德尔夜,gai'de'er'ye
盖迪尔节,gai'di'er'jie
高处,gao'chu
高念,gao'nian
割礼,ge'li
古尔邦节,gu'er'bang'jie
古努台,gu'nu'tai
姑太节,gu'tai'jie
跪拜,gui'bai
归真,gui'zhen
归正仪,gui'zheng'yi
哈最制,ha'zui'zhi
还补拜,hai'bu'bai
海底也,hai'di'ye
海特乃,hai'te'nai
海提耶,hai'ti'ye
海乙制,hai'yi'zhi
洪门十戒,hong'men'shi'jie
后世,hou'shi
胡达,hu'da
胡达万德,hu'da'wan'de
呼图白,hu'tu'bai
坏拜,huai'bai
会礼,hui'li
昏礼,hun'li
火狱,huo'yu
吉哈德,ji'ha'de
叫拜,jiao'bai
接都阿,jie'dou'a
戒衣,jie'yi
净礼,jing'li
经名,jing'ming
聚礼,ju'li
举意,ju'yi
开番,kai'fan
开经,kai'jing
开斋,kai'zhai
开斋节,kai'zhai'jie
开斋捐,kai'zhai'juan
看月,kan'yue
课功,ke'gong
口唤,kou'huan
叩头,kou'tou
叩头章,kou'tou'zhang
拉布,la'bu
拉赫曼,la'he'man
莱麦丹,lai'mai'dan
了夜,le'ye
乐园,le'yuan
礼拜,li'bai
隶属教坊制,li'shu'jiao'fang'zhi
连班,lian'ban
列班礼拜,lie'ban'li'bai
灵魂,ling'hun
六大信仰,liu'da'xin'yang
鲁哈,lu'ha
鲁扎罕,lu'zha'han
马瓦立德,ma'wa'li'de
