八香,ba'xiang
薄刀,bao'dao
包芦,bao'lu
鼻地拉呼的,bi'di'la'hu'de
鼻涕拉呼的,bi'ti'la'hu'de
不楚当,bu'chu'dang
不调活,bu'tiao'huo
才个,cai'ge
草狗子,cao'gou'zi
侧把,ce'ba
出劲,chu'jing
大才个,da'cai'ge
歹地多,dai'di'duo
得味,de'wei
嘀咯大,di'ge'da
迪能,di'neng
垫被,dian'bei
饿地日奶,e'di'ri'nai
二五兰当,er'wu'lan'dang
干末事啊,gan'mo'shi'a
干热混,gan're'hun
干弱混,gan'ruo'hun
搞系,gao'xi
胳辄窝,ge'zhe'wo
牯牛,gu'niu
姑姨,gu'yi
国蛋,guo'dan
聒聒,guo'guo
过劲,guo'jin
侯一下,hou'yi'xia
呼大呼二的,hu'da'hu'er'de
花花蝶,hua'hua'die
灰面,hui'mian
活歹,huo'dai
家公,jia'gong
假马的,jia'ma'de
家婆,jia'po
芥子,jie'zi
决们子字,jue'men'zi'zi
厥人,jue'ren
刻头子,ke'tou'zi
来不彻,lai'bu'che
来丝,lai'si
老竹子,lao'zhu'zi
六谷子,liu'gu'zi
冒软的,mao'ruan'de
茅斯,mao'si
门见你,men'jian'ni
沫浪子,mo'lang'zi
木乐事姑的,mu'le'shi'gu'de
木勒十姑的,mu'le'shi'gu'de
哪块,na'kuai
脑颈把子,nao'jing'ba'zi
爬蟹,pa'xie
炮竹,pao'zhu
劈扫,pi'sao
漆黑的,qi'hei'de
七皮八磨,qi'pi'ba'mo
勤利,qin'li
亲死鬼叫,qin'si'gui'jiao
亲西鬼叫,qin'xi'gui'jiao
蜻蜻子,qing'qing'zi
秋油,qiu'you
蛐蟮,qu'shan
确兽,que'shou
入囊,ru'nang
塞嚡,sai'hai
骚逼节,sao'bi'jie
骚得子,sao'de'zi
骚结,sao'jie
森味,sen'wei
上蛋,shang'dan
上该,shang'gai
稍好,shao'hao
神知无只的,shen'zhi'wu'zhi'de
手捏子,shou'nie'zi
朔郭,shuo'guo
沓步子,ta'bu'zi
挑子,tiao'zi
头夫,tou'fu
头猫,tou'mao
头绳褂子,tou'sheng'gua'zi
窝凳子,wo'deng'zi
沃底险,wo'di'xian
无麻样西的,wu'ma'yang'xi'de
下巴姑子,xia'ba'gu'zi
下晚,xia'wan
仙姑老太,xian'gu'lao'tai
小眯伢,xiao'mi'ya
小气巴拉的,xiao'qi'ba'la'de
小气不拉,xiao'qi'bu'la
小摊冒子子,xiao'tan'mao'zi'zi
小侠子,xiao'xia'zi
歇扯,xie'che
歇火,xie'huo
雪乌,xue'wu
盐鳖虎子,yan'bie'hu'zi
厌蛋,yan'dan
一地个喃子,yi'di'ge'nan'zi
云灿,yun'can
韵凉的,yun'liang'de
砸蛋,za'dan
怎搞,zen'gao
渣蛛,zha'zhu
真吼,zhen'hou
抓蛛,zhua'zhu
装木样,zhuang'mu'yang
