波子,bo'zi
不吊照,bu'diao'zhao
此劲儿,ci'jin'er
粗坦,cu'tan
吊形样,diao'xing'yang
二性,er'xing
疯条子,feng'tiao'zi
盖里,gai'li
钢呗,gang'bei
革耳,ge'er
拱蛋,gong'dan
寒蛋,han'dan
好白,hao'bai
好白宁,hao'bai'ning
嘛呼亮,ma'hu'liang
毛妮子,mao'ni'zi
门格拉,men'ge'la
排尚,pai'shang
泡子子,pao'zi'zi
欺心,qi'xin
铅呗,qian'bei
俏吧,qiao'ba
散苗,san'miao
晒朗,shai'lang
山埂子,shan'geng'zi
抬杠,tai'gang
头狗子,tou'gou'zi
乌嘛亮,wu'ma'liang
瞎雪滴,xia'xue'di
闲吊人,xian'diao'ren
性球,xing'qiu
雪话,xue'hua
颜岁,yan'sui
洋缸子,yang'gang'zi
洋辣子,yang'la'zi
真洋化,zhen'yang'hua
