安居小区,an'ju'xiao'qu
安庆桥,an'qing'qiao
八一道口,ba'yi'dao'kou
八中,ba'zhong
百货大楼,bai'huo'da'lou
百隆商贸市场,bai'long'shang'mao'shi'chang
百隆商厦,bai'long'shang'sha
宝泰医药,bao'tai'yi'yao
报业大厦,bao'ye'da'sha
北方酒厂,bei'fang'jiu'chang
边防支队,bian'fang'zhi'dui
博康医院,bo'kang'yi'yuan
玻璃厂,bo'li'chang
博荣饲料,bo'rong'si'liao
菜市,cai'shi
产权处,chan'quan'chu
长安立交桥,chang'an'li'jiao'qiao
长安路口,chang'an'lu'kou
长安桥,chang'an'qiao
长安社区,chang'an'she'qu
长城生态园,chang'cheng'sheng'tai'yuan
长胜,chang'sheng
长胜路口,chang'sheng'lu'kou
朝中,chao'zhong
车辆段,che'liang'duan
车轮厂,che'lun'chang
传染病院,chuan'ran'bing'yuan
大豆食品公司,da'dou'shi'pin'gong'si
达尔凯,da'er'kai
达尔凯佳东服务厅,da'er'kai'jia'dong'fu'wu'ting
大福源,da'fu'yuan
大光明眼镜店,da'guang'ming'yan'jing'dian
大润发,da'run'fa
大世界,da'shi'jie
德祥路口,de'xiang'lu'kou
第二加油站,di'er'jia'you'zhan
迪尔药机,di'er'yao'ji
第九小学,di'jiu'xiao'xue
第六小学,di'liu'xiao'xue
第七中学,di'qi'zhong'xue
第一加油站,di'yi'jia'you'zhan
地质设计院,di'zhi'she'ji'yuan
电机厂,dian'ji'chang
电台家属楼,dian'tai'jia'shu'lou
东方花园,dong'fang'hua'yuan
东方纸业,dong'fang'zhi'ye
东风区政府,dong'feng'qu'zheng'fu
栋粱街口,dong'liang'jie'kou
东竹板屯,dong'zhu'ban'tun
锻压机床厂,duan'ya'ji'chuang'chang
多多集团,duo'duo'ji'tuan
二二四医院,er'er'si'yi'yuan
二十五小学,er'shi'wu'xiao'xue
二中第二学区,er'zhong'di'er'xue'qu
二中二学区,er'zhong'er'xue'qu
发电厂,fa'dian'chang
汾酒厂,fen'jiu'chang
汾酒场,fen'jiu'chang
凤凰装饰总汇,feng'huang'zhuang'shi'zong'hui
风景区,feng'jing'qu
佛光寺,fo'guang'si
妇婴医院,fu'ying'yi'yuan
妇幼保健院,fu'you'bao'jian'yuan
肛肠医院,gang'chang'yi'yuan
肛肠医院分院,gang'chang'yi'yuan'fen'yuan
公交大厦,gong'jiao'da'sha
公路桥,gong'lu'qiao
广播电视塔,guang'bo'dian'shi'ta
光华学校,guang'hua'xue'xiao
国际交流中心,guo'ji'jiao'liu'zhong'xin
锅炉厂,guo'lu'chang
锅炉制造公司,guo'lu'zhi'zao'gong'si
国税局,guo'shui'ju
哈铁五段,ha'tie'wu'duan
哈维斯,ha'wei'si
海马浴池,hai'ma'yu'chi
海奇汽修,hai'qi'qi'xiu
和平菜市场,he'ping'cai'shi'chang
和平路口,he'ping'lu'kou
和平社区,he'ping'she'qu
黑龙化工东门,hei'long'hua'gong'dong'men
红旗广场,hong'qi'guang'chang
红旗家具城,hong'qi'jia'ju'cheng
弘扬食品厂,hong'yang'shi'pin'chang
华电东门,hua'dian'dong'men
华电南门,hua'dian'nan'men
化工六站,hua'gong'liu'zhan
化工小区,hua'gong'xiao'qu
华联,hua'lian
华南路口,hua'nan'lu'kou
化药路口,hua'yao'lu'kou
火车站,huo'che'zhan
火电四公司,huo'dian'si'gong'si
货物处,huo'wu'chu
技师学院,ji'shi'xue'yuan
机务段,ji'wu'duan
机务俱乐部,ji'wu'ju'le'bu
吉祥花园,ji'xiang'hua'yuan
佳大第五医院,jia'da'di'wu'yi'yuan
佳大东门,jia'da'dong'men
佳大二附院,jia'da'er'fu'yuan
佳大四学区,jia'da'si'xue'qu
佳大一附院,jia'da'yi'fu'yuan
佳大一学区,jia'da'yi'xue'qu
佳东商场,jia'dong'shang'chang
佳东银行,jia'dong'yin'hang
佳木斯大学,jia'mu'si'da'xue
佳木斯国际机场,jia'mu'si'guo'ji'ji'chang
佳西宾馆,jia'xi'bin'guan
佳西电业局,jia'xi'dian'ye'ju
佳西邮政局,jia'xi'you'zheng'ju
嘉园,jia'yuan
检查官培训中心,jian'cha'guan'pei'xun'zhong'xin
建设办事处,jian'she'ban'shi'chu
江口火车站,jiang'kou'huo'che'zhan
江口农场,jiang'kou'nong'chang
江口镇,jiang'kou'zhen
江山街口,jiang'shan'jie'kou
交警支队,jiao'jing'zhi'dui
郊区法院,jiao'qu'fa'yuan
教育驾校,jiao'yu'jia'xiao
教育小区,jiao'yu'xiao'qu
教育学院,jiao'yu'xue'yuan
结核医院,jie'he'yi'yuan
金地家园,jin'di'jia'yuan
锦江宾馆,jin'jiang'bin'guan
近江路口,jin'jiang'lu'kou
金山角,jin'shan'jiao
金天药店,jin'tian'yao'dian
经济贸易学校,jing'ji'mao'yi'xue'xiao
敬享园,jing'xiang'yuan
九小,jiu'xiao
军分区,jun'fen'qu
军港,jun'gang
凯华汽修,kai'hua'qi'xiu
凯乐集团,kai'le'ji'tuan
客运站,ke'yun'zhan
客运中心,ke'yun'zhong'xin
口腔医院,kou'qiang'yi'yuan
蓝天宾馆,lan'tian'bin'guan
劳动大厦,lao'dong'da'sha
老年公寓,lao'nian'gong'yu
老住院处,lao'zhu'yuan'chu
莲花泡,lian'hua'pao
联盟路口,lian'meng'lu'kou
粮库,liang'ku
粮种厂,liang'zhong'chang
林机厂,lin'ji'chang
六五四一七部队,liu'wu'si'yi'qi'bu'dui
铝厂,lv'chang
旅游学校,lv'you'xue'xiao
玛钢厂,ma'gang'chang
煤机厂,mei'ji'chang
煤炭三商店,mei'tan'san'shang'dian
面粉厂,mian'fen'chang
民航,min'hang
名人汽车,ming'ren'qi'che
木材厂,mu'cai'chang
木材二营,mu'cai'er'ying
农机大市场,nong'ji'da'shi'chang
农垦大厦,nong'ken'da'sha
农垦大院,nong'ken'da'yuan
农垦二院,nong'ken'er'yuan
农校,nong'xiao
农校住宅,nong'xiao'zhu'zhai
农研,nong'yan
农业技术学院,nong'ye'ji'shu'xue'yuan
圃东街口,pu'dong'jie'kou
浦东街口,pu'dong'jie'kou
浦东路口,pu'dong'lu'kou
浦东商厦,pu'dong'shang'sha
七水源,qi'shui'yuan
气象局,qi'xiang'ju
七小,qi'xiao
七中南门,qi'zhong'nan'men
前进公安分局,qian'jin'gong'an'fen'ju
前进区政府,qian'jin'qu'zheng'fu
千里集团,qian'li'ji'tuan
千里学团,qian'li'xue'tuan
千禧大厦,qian'xi'da'sha
桥头,qiao'tou
桥头浴池,qiao'tou'yu'chi
青源胡同,qing'yuan'hu'tong
秋林公司,qiu'lin'gong'si
劝业印刷厂李春玉牙科,quan'ye'yin'shua'chang'li'chun'yu'ya'ke
群英巷,qun'ying'xiang
人造板厂,ren'zao'ban'chang
如意大厦,ru'yi'da'sha
三江食品公司,san'jiang'shi'pin'gong'si
三小,san'xiao
三中路口,san'zhong'lu'kou
三砖厂部,san'zhuan'chang'bu
砂石厂,sha'shi'chang
山水家园,shan'shui'jia'yuan
商业城,shang'ye'cheng
社会福利大厦,she'hui'fu'li'da'sha
十二中,shi'er'zhong
十九中学二校区,shi'jiu'zhong'xue'er'xiao'qu
十七中学,shi'qi'zhong'xue
十一小,shi'yi'xiao
十一中,shi'yi'zhong
十一中学,shi'yi'zhong'xue
市政府,shi'zheng'fu
市政设计所,shi'zheng'she'ji'suo
蔬菜大厅,shu'cai'da'ting
书香苑,shu'xiang'yuan
水利三处,shui'li'san'chu
水泥制品厂,shui'ni'zhi'pin'chang
水源地,shui'yuan'di
水源山公园,shui'yuan'shan'gong'yuan
四丰路口,si'feng'lu'kou
四丰山,si'feng'shan
四号楼,si'hao'lou
四合村,si'he'cun
四合村东,si'he'cun'dong
四合村西,si'he'cun'xi
四十八粮店,si'shi'ba'liang'dian
松江,song'jiang
松江加油站,song'jiang'jia'you'zhan
松江小学,song'jiang'xiao'xue
松江中学,song'jiang'zhong'xue
松林路口,song'lin'lu'kou
太阳巷路口,tai'yang'xiang'lu'kou
腾飞汽车美容,teng'fei'qi'che'mei'rong
铁路二小区,tie'lu'er'xiao'qu
铁路钢厂,tie'lu'gang'chang
铁路七十二户,tie'lu'qi'shi'er'hu
铁路医院,tie'lu'yi'yuan
铁路浴池,tie'lu'yu'chi
通江街口,tong'jiang'jie'kou
通江路口,tong'jiang'lu'kou
铜网厂,tong'wang'chang
土产公司,tu'chan'gong'si
外贸路口,wai'mao'lu'kou
外滩,wai'tan
外滩公园,wai'tan'gong'yuan
万发村,wan'fa'cun
万力木业,wan'li'mu'ye
伟业康居嘉园,wei'ye'kang'ju'jia'yuan
温州城,wen'zhou'cheng
我的家,wo'de'jia
乌苏里江药业东门,wu'su'li'jiang'yao'ye'dong'men
乌苏里江药业正门,wu'su'li'jiang'yao'ye'zheng'men
五委,wu'wei
五中,wu'zhong
西林公园,xi'lin'gong'yuan
西林路口,xi'lin'lu'kou
西门,xi'men
西区,xi'qu
西竹板屯,xi'zhu'ban'tun
先峰二小区,xian'feng'er'xiao'qu
先峰路口,xian'feng'lu'kou
先峰市场,xian'feng'shi'chang
先峰小学,xian'feng'xiao'xue
向阳商店,xiang'yang'shang'dian
小卖店,xiao'mai'dian
小商品市场,xiao'shang'pin'shi'chang
鞋业批发,xie'ye'pi'fa
新丰村,xin'feng'cun
新丰村东,xin'feng'cun'dong
新府园,xin'fu'yuan
新立屯,xin'li'tun
信用大厦,xin'yong'da'sha
杏林湖公园,xing'lin'hu'gong'yuan
杏林湖公园南门,xing'lin'hu'gong'yuan'nan'men
杏林路口,xing'lin'lu'kou
杏林社区,xing'lin'she'qu
行政大厦,xing'zheng'da'sha
旭东巷口,xu'dong'xiang'kou
学府家园,xue'fu'jia'yuan
学府街,xue'fu'jie
血站,xue'zhan
亚麻厂,ya'ma'chang
烟草花园,yan'cao'hua'yuan
沿江,yan'jiang
沿江东,yan'jiang'dong
沿江公园,yan'jiang'gong'yuan
阳光生化,yang'guang'sheng'hua
艺术剧院,yi'shu'ju'yuan
怡园小区,yi'yuan'xiao'qu
一中二学区,yi'zhong'er'xue'qu
一中西学区,yi'zhong'xi'xue'qu
英俊公园,ying'jun'gong'yuan
荧坪广告传媒公司,ying'ping'guang'gao'chuan'mei'gong'si
永安街口,yong'an'jie'kou
永安巷口,yong'an'xiang'kou
永和浴池,yong'he'yu'chi
永红区政府,yong'hong'qu'zheng'fu
育林路口,yu'lin'lu'kou
裕民巷口,yu'min'xiang'kou
原凤杰齿科,yuan'feng'jie'chi'ke
云峰小区,yun'feng'xiao'qu
云环小学,yun'huan'xiao'xue
早市路口,zao'shi'lu'kou
造纸大桥,zao'zhi'da'qiao
造纸南门,zao'zhi'nan'men
造纸桥头,zao'zhi'qiao'tou
造纸小区,zao'zhi'xiao'qu
站前广场,zhan'qian'guang'chang
站前邮局,zhan'qian'you'ju
珍珠岩厂,zhen'zhu'yan'chang
职业技术学院,zhi'ye'ji'shu'xue'yuan
中国建设银行,zhong'guo'jian'she'yin'hang
中国联通,zhong'guo'lian'tong
中国人寿,zhong'guo'ren'shou
中国移动,zhong'guo'yi'dong
中心广场,zhong'xin'guang'chang
中心医院,zhong'xin'yi'yuan
中心医院二部,zhong'xin'yi'yuan'er'bu
中兴,zhong'xing
中医院,zhong'yi'yuan
中医院大光明眼镜店,zhong'yi'yuan'da'guang'ming'yan'jing'dian
中医院秋林公司,zhong'yi'yuan'qiu'lin'gong'si
轴承厂,zhou'cheng'chang
转运站,zhuan'yun'zhan
庄稼医院,zhuang'jia'yi'yuan
自来水住宅,zi'lai'shui'zhu'zhai
总局小区,zong'ju'xiao'qu
