暗附,an'fu
安壤,an'rang
按源星宿,an'yuan'xing'xiu
白膆,bai'su
白头,bai'tou
半句,ban'ju
半面,ban'mian
宝塔,bao'ta
包意,bao'yi
碑阴,bei'yin
避尘,bi'chen
比干,bi'gan
比目,bi'mu
变笔,bian'bi
别赠当归,bie'zeng'dang'gui
并蒂,bing'di
并头,bing'tou
伯道,bo'dao
剥蕉,bo'jiao
伯喈肖貌,bo'jie'xiao'mao
拨云见日,bo'yun'jian'ri
补画,bu'hua
不胫而走,bu'jing'er'zou
不连,bu'lian
部首,bu'shou
补心,bu'xin
布衣,bu'yi
步影,bu'ying
补玉,bu'yu
不语,bu'yu
猜四,cai'si
采薪,cai'xin
猜一,cai'yi
藏格,cang'ge
藏钩,cang'gou
藏头,cang'tou
藏珠,cang'zhu
曹娥,cao'e
侧胫,ce'jing
侧领,ce'ling
侧佩,ce'pei
拆字,chai'zi
缠腰,chan'yao
长心,chang'xin
乘几加景,cheng'ji'jia'jing
承上,cheng'shang
赤颈,chi'jing
赤膆,chi'su
赤心,chi'xin
重头,chong'tou
出日,chu'ri
出袖,chu'xiu
穿花,chuan'hua
传神,chuan'shen
穿胸,chuan'xiong
窗中美人,chuang'zhong'mei'ren
垂柳,chui'liu
从兄义实,cong'xiong'yi'shi
错综,cuo'zong
搭对,da'dui
大拢,da'long
达摩面壁,da'mo'mian'bi
带马,dai'ma
带目,dai'mu
戴雪,dai'xue
丹忱,dan'chen
丹心,dan'xin
当归,dang'gui
倒持手板,dao'chi'shou'ban
倒装,dao'zhuang
得马,de'ma
得鱼,de'yu
登楼,deng'lou
低头,di'tou
抵销,di'xiao
颠倒衣裳,dian'dao'yi'chang
垫巾,dian'jin
颠鸾倒凤,dian'luan'dao'feng
奠山,dian'shan
典雅,dian'ya
掉首,diao'shou
掉尾,diao'wei
钓鱼,diao'yu
叠锦,die'jin
叠履,die'lv
叠尾,die'wei
叠韵,die'yun
定远,ding'yuan
鼎足,ding'zu
丢金,diu'jin
董狐直笔,dong'hu'zhi'bi
东阳巧对,dong'yang'qiao'dui
独立,du'li
独眠,du'mian
对镜,dui'jing
对影,dui'ying
反本,fan'ben
反衬,fan'chen
反锦屏,fan'jin'ping
反切,fan'qie
反映,fan'ying
方朔伐毛,fang'shuo'fa'mao
放踵,fang'zhong
飞花,fei'hua
飞鸟,fei'niao
粉底,fen'di
分飞双燕,fen'fei'shuang'yan
分见,fen'jian
粉颈,fen'jing
粉头,fen'tou
粉腿,fen'tui
分心,fen'xin
蜂醜垂腴,feng'chou'chui'yu
凤头,feng'tou
凤尾,feng'wei
蜂腰,feng'yao
腹简,fu'jian
伏羲画卦,fu'xi'hua'gua
干戈,gan'ge
共节不连,gong'jie'bu'lian
公孙舞剑,gong'sun'wu'jian
公田,gong'tian
钩帘,gou'lian
勾连,gou'lian
顾影,gu'ying
古字,gu'zi
挂冠,gua'guan
