阿爸,a'ba
阿道纳依,a'dao'na'yi
阿耳法和敖默加,a'er'fa'he'ao'mo'jia
阿拉,a'la
阿拉美语,a'la'mei'yu
阿肋路亚,a'lei'lu'ya
阿们,a'men
阿门,a'men
爱德,ai'de
爱德工作,ai'de'gong'zuo
爱德颂,ai'de'song
爱德行为,ai'de'xing'wei
爱国份子,ai'guo'fen'zi
埃及礼,ai'ji'li
哀矜,ai'jin
爱邻人,ai'lin'ren
碍难照准,ai'nan'zhao'zhun
爱人,ai'ren
艾斯德尔传,ai'si'de'er'chuan
爱天主,ai'tian'zhu
爱筵,ai'yan
安博礼,an'bo'li
按此事实立即,an'ci'shi'shi'li'ji
安道大学,an'dao'da'xue
安道大学学报,an'dao'da'xue'xue'bao
安格鲁大公教会教义,an'ge'lu'da'gong'jiao'hui'jiao'yi
安魂架,an'hun'jia
安魂弥撒,an'hun'mi'sa
安魂曲,an'hun'qu
案件,an'jian
安乐死,an'le'si
安乐无痛致死,an'le'wu'tong'zhi'si
安立甘教会,an'li'gan'jiao'hui
安宁照顾,an'ning'zhao'gu
安贫小姊妹会,an'pin'xiao'zi'mei'hui
安全主义,an'quan'zhu'yi
按手礼,an'shou'li
安死,an'si
安死术,an'si'shu
安所架,an'suo'jia
安提约基雅,an'ti'yue'ji'ya
安慰之神,an'wei'zhi'shen
安息的,an'xi'de
安息年,an'xi'nian
安息日,an'xi'ri
安息日的,an'xi'ri'de
安息日会,an'xi'ri'hui
安息日教派,an'xi'ri'jiao'pai
安息日派,an'xi'ri'pai
暗销,an'xiao
安葬弥撒,an'zang'mi'sa
暗中抵销,an'zhong'di'xiao
奥伯郎麦高,ao'bo'lang'mai'gao
奥迹,ao'ji
奥理,ao'li
奥秘,ao'mi
奥秘的,ao'mi'de
奥秘的圣事,ao'mi'de'sheng'shi
奥斯堡帝国议会,ao'si'bao'di'guo'yi'hui
奥斯堡信条,ao'si'bao'xin'tiao
奥斯定会,ao'si'ding'hui
奥体,ao'ti
奥体通谕,ao'ti'tong'yu
爸爸,ba'ba
巴贝耳塔,ba'bei'er'ta
巴比伦的被掳期,ba'bi'lun'de'bei'lu'qi
巴别塔,ba'bie'ta
巴多罗迈,ba'duo'luo'mai
巴尔多禄茂,ba'er'duo'lu'mao
巴尔撒末香,ba'er'sa'mo'xiang
八福,ba'fu
巴拉丁山,ba'la'ding'shan
巴勒斯坦,ba'le'si'tan
巴黎外方传教会,ba'li'wai'fang'chuan'jiao'hui
巴路克书,ba'lu'ke'shu
巴录书,ba'lu'shu
八日庆期,ba'ri'qing'qi
巴斯卦,ba'si'gua
巴斯卦羔羊,ba'si'gua'gao'yang
巴斯卦节,ba'si'gua'jie
八天庆日,ba'tian'qing'ri
掰饼,bai'bing
掰饼礼,bai'bing'li
百夫长,bai'fu'zhang
百合花,bai'he'hua
白肩衣,bai'jian'yi
拜苦路,bai'ku'lu
白拉奇学说,bai'la'qi'xue'shuo
白冷,bai'leng
白冷外方传教会,bai'leng'wai'fang'chuan'jiao'hui
白领,bai'ling
百年通谕,bai'nian'tong'yu
拜偶像,bai'ou'xiang
白袍,bai'pao
白披肩,bai'pi'jian
拜圣体,bai'sheng'ti
白衣神父,bai'yi'shen'fu
白衣修女,bai'yi'xiu'nv
拜占庭礼,bai'zhan'ting'li
拜占庭礼教区,bai'zhan'ting'li'jiao'qu
办告解,ban'gao'jie
半公开小教堂,ban'gong'kai'xiao'jiao'tang
版画,ban'hua
办神工,ban'shen'gong
保持正统信仰庆节,bao'chi'zheng'tong'xin'yang'qing'jie
保存,bao'cun
保存圣体,bao'cun'sheng'ti
保护人,bao'hu'ren
保护枢机,bao'hu'shu'ji
保护者,bao'hu'zhe
报佳音,bao'jia'yin
保教权,bao'jiao'quan
保留,bao'liu
保留个案,bao'liu'ge'an
保禄特恩,bao'lu'te'en
保禄特权,bao'lu'te'quan
保密,bao'mi
保密规定,bao'mi'gui'ding
保守教友,bao'shou'jiao'you
保守期,bao'shou'qi
保守者,bao'shou'zhe
保守主义,bao'shou'zhu'yi
鲍斯高会,bao'si'gao'hui
保义官,bao'yi'guan
宝尊小圣堂,bao'zun'xiao'sheng'tang
