本书讲述了,ben'shu'jiang'shu'le
编码数据,bian'ma'shu'ju
编译,bian'yi
编著,bian'zhu
编撰,bian'zhuan
长篇小说,chang'pian'xiao'shuo
出版发行,chu'ban'fa'xing
出版国别,chu'ban'guo'bie
出版社,chu'ban'she
出版提示,chu'ban'ti'shi
丛编项,cong'bian'xiang
当代,dang'dai
第版,di'ban
第二责任者,di'er'ze'ren'zhe
第一责任者,di'yi'ze'ren'zhe
分类号,fen'lei'hao
附注项,fu'zhu'xiang
绘制,hui'zhi
普通主题,pu'tong'zhu'ti
人名等同,ren'ming'deng'tong
提名责任,ti'ming'ze'ren
提要文摘,ti'yao'wen'zhai
现代,xian'dai
形态特征,xing'tai'te'zheng
修订版,xiu'ding'ban
载体形态,zai'ti'xing'tai
摘要,zhai'yao
中国分类,zhong'guo'fen'lei
中文,zhong'wen
主题词,zhu'ti'ci
总集,zong'ji
作品语种,zuo'pin'yu'zhong
