磁动势,ci'dong'shi
磁密,ci'mi
电动势,dian'dong'shi
电枢,dian'shu
电刷,dian'shua
堵转,du'zhuan
工作点,gong'zuo'dian
换向,huan'xiang
换向器,huan'xiang'qi
换向区,huan'xiang'qu
极弧,ji'hu
极弧系数,ji'hu'xi'shu
极距,ji'ju
校核,jiao'he
矫顽力,jiao'wan'li
交轴,jiao'zhou
交轴电枢磁动势,jiao'zhou'dian'shu'ci'dong'shi
可逆,ke'ni
空载,kong'zai
满载,man'zai
气隙,qi'xi
气隙长度,qi'xi'chang'du
气隙磁密,qi'xi'ci'mi
去磁,qu'ci
绕组,rao'zu
剩磁,sheng'ci
瞬时电流,shun'shi'dian'liu
铁耗,tie'hao
铁损,tie'sun
铜耗,tong'hao
铜损,tong'sun
退磁,tui'ci
永磁体,yong'ci'ti
元件,yuan'jian
增磁,zeng'ci
直轴,zhi'zhou
直轴电枢磁动势,zhi'zhou'dian'shu'ci'dong'shi
