阿拉伯语基础语法,a'la'bo'yu'ji'chu'yu'fa
阿拉伯语精读,a'la'bo'yu'jing'du
阿拉伯语口语,a'la'bo'yu'kou'yu
阿语,a'yu
阿语泛读,a'yu'fan'du
艾熊琳,ai'xiong'lin
巴渝音乐,ba'yu'yin'yue
白公馆,bai'gong'guan
白桦,bai'hua
报告厅,bao'gao'ting
博智楼,bo'zhi'lou
蔡薇,cai'wei
财务管理,cai'wu'guan'li
彩云梯,cai'yun'ti
曹保平,cao'bao'ping
曹娅,cao'ya
曹月,cao'yue
曾立,ceng'li
曾棋明,ceng'qi'ming
曾善海,ceng'shan'hai
曾媛媛,ceng'yuan'yuan
常慧明,chang'hui'ming
常亮,chang'liang
朝鲜语会话,chao'xian'yu'hui'hua
朝鲜语精读,chao'xian'yu'jing'du
朝鲜语视听说,chao'xian'yu'shi'ting'shuo
朝鲜语听力,chao'xian'yu'ting'li
朝语会话,chao'yu'hui'hua
朝语精读,chao'yu'jing'du
朝语视听说,chao'yu'shi'ting'shuo
朝语听力,chao'yu'ting'li
陈昉,chen'fang
陈建国,chen'jian'guo
陈瑾,chen'jin
陈敬贤,chen'jing'xian
陈莉,chen'li
陈丽娅,chen'li'ya
陈米线,chen'mi'xian
陈敏,chen'min
陈派,chen'pai
陈秋红,chen'qiu'hong
陈树生,chen'shu'sheng
陈喜荣,chen'xi'rong
陈晓莹,chen'xiao'ying
陈义熙,chen'yi'xi
陈媛,chen'yuan
陈志彪,chen'zhi'biao
程蕾,cheng'lei
程岭红,cheng'ling'hong
程启华,cheng'qi'hua
吃不亏,chi'bu'kui
重发厂,chong'fa'chang
重发厂炒饭,chong'fa'chang'chao'fan
初级口语,chu'ji'kou'yu
初级听力,chu'ji'ting'li
传播学,chuan'bo'xue
传播学概论,chuan'bo'xue'gai'lun
川外,chuan'wai
川外经典书店,chuan'wai'jing'dian'shu'dian
川外招待所,chuan'wai'zhao'dai'suo
磁器口,ci'qi'kou
崔凌莉,cui'ling'li
大二,da'er
大二教室,da'er'jiao'shi
大教室二,da'jiao'shi'er
大教室一,da'jiao'shi'yi
大礼堂,da'li'tang
大学生成长成才与就业,da'xue'sheng'cheng'zhang'cheng'cai'yu'jiu'ye
大学生艺术团,da'xue'sheng'yi'shu'tuan
大学生自律委员会,da'xue'sheng'zi'lv'wei'yuan'hui
大学英语高级英语,da'xue'ying'yu'gao'ji'ying'yu
大学英语口语,da'xue'ying'yu'kou'yu
大学英语听力,da'xue'ying'yu'ting'li
大学英语阅读,da'xue'ying'yu'yue'du
大学英语综合课程,da'xue'ying'yu'zong'he'ke'cheng
大一,da'yi
大一教室,da'yi'jiao'shi
淡修安,dan'xiu'an
当代俄罗斯,dang'dai'e'luo'si
当代世界经济与政治,dang'dai'shi'jie'jing'ji'yu'zheng'zhi
导游业务,dao'you'ye'wu
德语国家文化概况,de'yu'guo'jia'wen'hua'gai'kuang
德语文学作品与选读,de'yu'wen'xue'zuo'pin'yu'xuan'du
德语演讲,de'yu'yan'jiang
德语演讲与朗诵技巧训练,de'yu'yan'jiang'yu'lang'song'ji'qiao'xun'lian
邓帮华,deng'bang'hua
邓齐平,deng'qi'ping
邓琼,deng'qiong
邓三论,deng'san'lun
电视摄像与编辑,dian'shi'she'xiang'yu'bian'ji
电子商务英语,dian'zi'shang'wu'ying'yu
电子社区与网络生存,dian'zi'she'qu'yu'wang'luo'sheng'cun
丁欢,ding'huan
丁旻,ding'min
丁小洹,ding'xiao'huan
丁勇,ding'yong
东北水饺,dong'bei'shui'jiao
东方语学院,dong'fang'yu'xue'yuan
董洪川,dong'hong'chuan
动画设计与制作,dong'hua'she'ji'yu'zhi'zuo
董竞飞,dong'jing'fei
董俊杰,dong'jun'jie
东区游泳池,dong'qu'you'yong'chi
东区运动场,dong'qu'yun'dong'chang
董雪飞,dong'xue'fei
董遥遥,dong'yao'yao
东语院,dong'yu'yuan
东苑,dong'yuan
东苑盒饭,dong'yuan'he'fan
豆花鸡丝,dou'hua'ji'si
豆花牛肉,dou'hua'niu'rou
豆花肉片,dou'hua'rou'pian
杜华,du'hua
杜爽,du'shuang
段景文,duan'jing'wen
段志聪,duan'zhi'cong
对外汉语教学概论,dui'wai'han'yu'jiao'xue'gai'lun
多媒体技术应用与课件制作,duo'mei'ti'ji'shu'ying'yong'yu'ke'jian'zhi'zuo
多媒体技术原理,duo'mei'ti'ji'shu'yuan'li
俄罗斯文学史,e'luo'si'wen'xue'shi
俄译汉,e'yi'han
俄语口语,e'yu'kou'yu
俄语视听,e'yu'shi'ting
俄语视听说,e'yu'shi'ting'shuo
俄语写作,e'yu'xie'zuo
俄语语法,e'yu'yu'fa
俄语阅读,e'yu'yue'du
二食堂,er'shi'tang
二外阿语,er'wai'a'yu
二外俄语,er'wai'e'yu
二外法语,er'wai'fa'yu
二外韩语,er'wai'han'yu
二外日语,er'wai'ri'yu
二外英语,er'wai'ying'yu
