百草路,bai'cao'lu
白果林,bai'guo'lin
茶店子客运站,cha'dian'zi'ke'yun'zhan
成都东客站,cheng'du'dong'ke'zhan
成都市行政学院,cheng'du'shi'xing'zheng'xue'yuan
成渝立交,cheng'yu'li'jiao
春熙路,chun'xi'lu
东大路,dong'da'lu
东门大桥,dong'men'da'qiao
孵化园,fu'hua'yuan
高新,gao'xin
海洋公园,hai'yang'gong'yuan
洪河,hong'he
华西坝,hua'xi'ba
惠王陵,hui'wang'ling
火车北站,huo'che'bei'zhan
火车南站,huo'che'nan'zhan
锦江宾馆,jin'jiang'bin'guan
金科北路,jin'ke'bei'lu
金融城,jin'rong'cheng
金周路,jin'zhou'lu
骡马市,luo'ma'shi
倪家桥,ni'jia'qiao
牛市口,niu'shi'kou
牛王庙,niu'wang'miao
人民北路,ren'min'bei'lu
人民公园,ren'min'gong'yuan
省体育馆,sheng'ti'yu'guan
升仙湖,sheng'xian'hu
世纪城,shi'ji'cheng
蜀汉路东,shu'han'lu'dong
塔子山公园,ta'zi'shan'gong'yuan
天府广场,tian'fu'guang'chang
天河路,tian'he'lu
通惠门,tong'hui'men
桐梓林,tong'zi'lin
文殊院,wen'shu'yuan
犀浦站,xi'pu'zhan
羊犀立交,yang'xi'li'jiao
一品天下,yi'pin'tian'xia
迎宾大道,ying'bin'da'dao
中医大省医院,zhong'yi'da'sheng'yi'yuan
