八等分法向圆基础板,ba'deng'fen'fa'xiang'yuan'ji'chu'ban
拔杆,ba'gan
摆动定位器,bai'dong'ding'wei'qi
摆动压板,bai'dong'ya'ban
摆动压头,bai'dong'ya'tou
薄板定位器,bao'ban'ding'wei'qi
边孔定位板,bian'kong'ding'wei'ban
扁头定位销,bian'tou'ding'wei'xiao
薄沉头螺钉,bo'chen'tou'luo'ding
薄圆柱头螺钉,bo'yuan'zhu'tou'luo'ding
不抬式端齿分度台,bu'tai'shi'duan'chi'fen'du'tai
槽面压块,cao'mian'ya'kuai
槽内侧向顶紧器,cao'nei'ce'xiang'ding'jin'qi
侧孔支承,ce'kong'zhi'cheng
侧偏槽长方形基础板,ce'pian'cao'chang'fang'xing'ji'chu'ban
侧偏槽稀布长方形基础板,ce'pian'cao'xi'bu'chang'fang'xing'ji'chu'ban
侧偏槽正方形基础板,ce'pian'cao'zheng'fang'xing'ji'chu'ban
侧向顶紧器,ce'xiang'ding'jin'qi
侧向栓式顶紧器,ce'xiang'shuan'shi'ding'jin'qi
侧向压紧器,ce'xiang'ya'jin'qi
叉形偏心轮,cha'xing'pian'xin'lun
叉形压板,cha'xing'ya'ban
长方头槽用螺栓,chang'fang'tou'cao'yong'luo'shuan
长方形槽用螺栓,chang'fang'xing'cao'yong'luo'shuan
长方形导向支承,chang'fang'xing'dao'xiang'zhi'cheng
长方形垫规,chang'fang'xing'dian'gui
长方形基础板,chang'fang'xing'ji'chu'ban
长方形精密定位基础板,chang'fang'xing'jing'mi'ding'wei'ji'chu'ban
长方形螺母,chang'fang'xing'luo'mu
长平键,chang'ping'jian
长轴,chang'zhou
沉孔圆柱定位销,chen'kong'yuan'zhu'ding'wei'xiao
沉孔支承环,chen'kong'zhi'cheng'huan
沉孔钻模板,chen'kong'zuan'mu'ban
成套工具,cheng'tao'gong'ju
齿面平压板,chi'mian'ping'ya'ban
齿面弯头压板,chi'mian'wan'tou'ya'ban
齿面支承钉,chi'mian'zhi'cheng'ding
齿面支承帽,chi'mian'zhi'cheng'mao
齿纹弯头压板,chi'wen'wan'tou'ya'ban
齿形可调压紧器,chi'xing'ke'tiao'ya'jin'qi
齿形平压板,chi'xing'ping'ya'ban
垂直导向折合板,chui'zhi'dao'xiang'zhe'he'ban
垂直键槽折合板,chui'zhi'jian'cao'zhe'he'ban
垂直圆基础板,chui'zhi'yuan'ji'chu'ban
大头叉形压板,da'tou'cha'xing'ya'ban
大中孔定位板,da'zhong'kong'ding'wei'ban
大中孔支承板,da'zhong'kong'zhi'cheng'ban
带肩对位轴,dai'jian'dui'wei'zhou
带肩过渡螺母,dai'jian'guo'du'luo'mu
带肩螺母,dai'jian'luo'mu
带肩衫套,dai'jian'shan'tao
带肩锥套,dai'jian'zhui'tao
带尾分度盘,dai'wei'fen'du'pan
单槽长方形导向支承,dan'cao'chang'fang'xing'dao'xiang'zhi'cheng
单槽正方形导向支承,dan'cao'zheng'fang'xing'dao'xiang'zhi'cheng
单向夹紧卡爪,dan'xiang'jia'jin'ka'zhao
单向夹紧器,dan'xiang'jia'jin'qi
刀头梅花内六角螺钉,dao'tou'mei'hua'nei'liu'jiao'luo'ding
导向折合板,dao'xiang'zhe'he'ban
底部辅助支承,di'bu'fu'zhu'zhi'cheng
底槽基础角铁,di'cao'ji'chu'jiao'tie
顶槽基础角铁,ding'cao'ji'chu'jiao'tie
顶尖座,ding'jian'zuo
顶紧座,ding'jin'zuo
定位板,ding'wei'ban
定位基础角铁,ding'wei'ji'chu'jiao'tie
定位夹紧器,ding'wei'jia'jin'qi
定位角铁,ding'wei'jiao'tie
定位接头,ding'wei'jie'tou
定位轴,ding'wei'zhou
对称头槽用螺栓,dui'chen'tou'cao'yong'luo'shuan
对位轴,dui'wei'zhou
二阶长方形定位支承,er'jie'chang'fang'xing'ding'wei'zhi'cheng
二阶定位压紧座,er'jie'ding'wei'ya'jin'zuo
二竖槽长方形垫板,er'shu'cao'chang'fang'xing'dian'ban
二竖槽长方形垫片,er'shu'cao'chang'fang'xing'dian'pian
二竖槽长方形支承,er'shu'cao'chang'fang'xing'zhi'cheng
二竖槽端孔支承,er'shu'cao'duan'kong'zhi'cheng
二竖槽正方形支承,er'shu'cao'zheng'fang'xing'zhi'cheng
法向钻模板,fa'xiang'zuan'mu'ban
方箱,fang'xiang
分度基座,fen'du'ji'zuo
