阿拉斯加号,a'la'si'jia'hao
里萨海战,li'sa'hai'zhan
李维,li'wei
离子推进器,li'zi'tui'jin'qi
联合舰队,lian'he'jian'dui
量子号,liang'zi'hao
量子计算机,liang'zi'ji'suan'ji
林格,lin'ge
凌日干扰,ling'ri'gan'rao
零维,ling'wei
玲子,ling'zi
刘慈欣,liu'ci'xin
六维,liu'wei
柳文扬,liu'wen'yang
刘晓明,liu'xiao'ming
露珠公主,lu'zhu'gong'zhu
乱纪元,luan'ji'yuan
罗宾逊,luo'bin'xun
罗弗敦岛,luo'fu'dun'dao
罗辑,luo'ji
罗塞塔系统,luo'sai'ta'xi'tong
洛斯阿拉莫斯,luo'si'a'la'mo'si
洛斯阿拉莫斯国家实验室,luo'si'a'la'mo'si'guo'jia'shi'yan'shi
洛希极限,luo'xi'ji'xian
螺旋大气层,luo'xuan'da'qi'ceng
马钢,ma'gang
妈妈我将变成萤火虫,ma'ma'wo'jiang'bian'cheng'ying'huo'chong
脉冲推进方式,mai'chong'tui'jin'fang'shi
麦克,mai'ke
曼努尔,man'nu'er
美国国家战略导弹防御系统,mei'guo'guo'jia'zhan'lue'dao'dan'fang'yu'xi'tong
梦河,meng'he
蒙特哥马利,meng'te'ge'ma'li
面壁计划,mian'bi'ji'hua
面壁者,mian'bi'zhe
苗福全,miao'fu'quan
莫斯肯岛,mo'si'ken'dao
默思室,mo'si'shi
墓岛,mu'dao
母世界,mu'shi'jie
木星军港,mu'xing'jun'gang
镍纹石,nie'wen'shi
牛曼条纹,niu'man'tiao'wen
欧联,ou'lian
欧洲舰队,ou'zhou'jian'dui
欧洲联合体,ou'zhou'lian'he'ti
潘寒,pan'han
潘兴,pan'xing
庞加莱,pang'jia'lai
破壁人,po'bi'ren
朴义君,pu'yi'jun
七重外壳,qi'chong'wai'ke
齐家屯,qi'jia'tun
七维,qi'wei
企业号,qi'ye'hao
前进四,qian'jin'si
强生存方案,qiang'sheng'cun'fang'an
乔纳森,qiao'na'sen
乔治,qiao'zhi
情报解读委员会,qing'bao'jie'du'wei'yuan'hui
青铜时代号,qing'tong'shi'dai'hao
琼斯,qiong'si
球形舱壁,qiu'xing'cang'bi
秋原玲子,qiu'yuan'ling'zi
球状闪电,qiu'zhuang'shan'dian
曲率,qu'lv
曲率驱动,qu'lv'qu'dong
曲率引擎,qu'lv'yin'qing
全频带阻塞干扰,quan'pin'dai'zu'se'gan'rao
全球华语科幻星云奖,quan'qiu'hua'yu'ke'huan'xing'yun'jiang
全息视图,quan'xi'shi'tu
全息星图,quan'xi'xing'tu
群星计划,qun'xing'ji'hua
人工浮岛,ren'gong'fu'dao
人列计算机,ren'lie'ji'suan'ji
阮雯,ruan'wen
弱生存方案,ruo'sheng'cun'fang'an
萨伊,sa'yi
三颗飞星,san'ke'fei'xing
三日连珠,san'ri'lian'zhu
三日凌空,san'ri'ling'kong
三体,san'ti
三体舰队,san'ti'jian'dui
三体叛军,san'ti'pan'jun
三体叛军成员,san'ti'pan'jun'cheng'yuan
三体危机,san'ti'wei'ji
三体问题,san'ti'wen'ti
三体运动,san'ti'yun'dong
三维,san'wei
沙瑞山,sha'rui'shan
山杉惠子,shan'shan'hui'zi
绍琳,shao'lin
神风特攻队,shen'feng'te'gong'dui
深海加速液,shen'hai'jia'su'ye
深海状态,shen'hai'zhuang'tai
神级战争,shen'ji'zhan'zheng
神经回路,shen'jing'hui'lu
神经元,shen'jing'yuan
深空号,shen'kong'hao
审判日号,shen'pan'ri'hao
深水王子,shen'shui'wang'zi
申玉菲,shen'yu'fei
生存是文明的第一需要,sheng'cun'shi'wen'ming'de'di'yi'xu'yao
圣母的眼泪,sheng'mu'de'yan'lei
生物分子计算机,sheng'wu'fen'zi'ji'suan'ji
失败主义,shi'bai'zhu'yi
时间之外的往事,shi'jian'zhi'wai'de'wang'shi
世界属于三体,shi'jie'shu'yu'san'ti
史强,shi'qiang
史瓦西半径,shi'wa'xi'ban'jing
十维,shi'wei
史晓明,shi'xiao'ming
十一维,shi'yi'wei
双层隐喻,shuang'ceng'yin'yu
斯科特上校,si'ke'te'shang'xiao
死神永生,si'shen'yong'sheng
斯坦顿,si'tan'dun
四维,si'wei
死线,si'xian
思想钢印,si'xiang'gang'yin
太空电梯,tai'kong'dian'ti
太空军,tai'kong'jun
太空军事理论,tai'kong'jun'shi'li'lun
太空战争理论,tai'kong'zhan'zheng'li'lun
太阳系防御计划,tai'yang'xi'fang'yu'ji'hua
太阳系舰队防御联席会议,tai'yang'xi'jian'dui'fang'yu'lian'xi'hui'yi
太阳系预警系统,tai'yang'xi'yu'jing'xi'tong
坍缩,tan'suo
探知可逆定律,tan'zhi'ke'ni'ding'lv
唐红静,tang'hong'jing
饕餮海,tao'tie'hai
饕餮鱼,tao'tie'yu
逃亡主义,tao'wang'zhu'yi
提尔匹兹号,ti'er'pi'zi'hao
天启号,tian'qi'hao
天梯二号,tian'ti'er'hao
天梯三号,tian'ti'san'hao
天梯一号,tian'ti'yi'hao
天渊蜥蜴,tian'yuan'xi'yi
天渊族,tian'yuan'zu
托卡马克,tuo'ka'ma'ke
脱水,tuo'shui
瓦季姆,wa'ji'mu
万有引力号,wan'you'yin'li'hao
王晋康,wang'jin'kang
汪淼,wang'miao
魏成,wei'cheng
维德,wei'de
维度攻击,wei'du'gong'ji
维度逆转,wei'du'ni'zhuan
微观维度,wei'guan'wei'du
危机纪元,wei'ji'ji'yuan
未来史学派,wei'lai'shi'xue'pai
维纳,wei'na
威摄后,wei'she'hou
威摄纪元,wei'she'ji'yuan
韦氏条纹,wei'shi'tiao'wen
文明免疫力,wen'ming'mian'yi'li
无工质聚变推进系统,wu'gong'zhi'ju'bian'tui'jin'xi'tong
无故事王国,wu'gu'shi'wang'guo
无壳子弹,wu'ke'zi'dan
雾伞,wu'san
五维,wu'wei
吴岩,wu'yan
吴岳,wu'yue
物种共产主义,wu'zhong'gong'chan'zhu'yi
希恩斯,xi'en'si
西奈噩梦,xi'nai'e'meng
西子,xi'zi
夏笳,xia'jia
限制性三体问题,xian'zhi'xing'san'ti'wen'ti
乡村教师,xiang'cun'jiao'shi
消灭人类暴政,xiao'mie'ren'lei'bao'zheng
谢顿,xie'dun
幸存派,xing'cun'pai
星环,xing'huan
星环城市政府,xing'huan'cheng'shi'zheng'fu
星环号,xing'huan'hao
星环集团,xing'huan'ji'tuan
星环加速器,xing'huan'jia'su'qi
星际歼击机,xing'ji'jian'ji'ji
星际逃亡计划,xing'ji'tao'wang'ji'hua
星际鱼雷,xing'ji'yu'lei
星舰地球,xing'jian'di'qiu
行星防御理事会,xing'xing'fang'yu'li'shi'hui
行星防御理事会战略情报局,xing'xing'fang'yu'li'shi'hui'zhan'lue'qing'bao'ju
星云工坊,xing'yun'gong'fang
星之所在科幻书店,xing'zhi'suo'zai'ke'huan'shu'dian
徐冰冰,xu'bing'bing
雪浪纸,xue'lang'zhi
亚洲舰队,ya'zhou'jian'dui
严峰,yan'feng
严锋,yan'feng
掩体计划,yan'ti'ji'hua
掩体纪元,yan'ti'ji'yuan
阳光计划,yang'guang'ji'hua
杨晋文,yang'jin'wen
杨卫宁,yang'wei'ning
姚海军,yao'hai'jun
摇篮触发系统,yao'lan'chu'fa'xi'tong
叶文洁,ye'wen'jie
叶文雪,ye'wen'xue
叶哲泰,ye'zhe'tai
一颗飞星,yi'ke'fei'xing
