阿巴斯派,a'ba'si'pai
阿布穆斯林派,a'bu'mu'si'lin'pai
阿尔及利亚伊斯兰学者协会,a'er'ji'li'ya'yi'si'lan'xue'zhe'xie'hui
阿富汗圣战者伊斯兰联盟,a'fu'han'sheng'zhan'zhe'yi'si'lan'lian'meng
阿夫塔赫派,a'fu'ta'he'pai
阿赫巴尔学派,a'he'ba'er'xue'pai
阿赫里哈克派,a'he'li'ha'ke'pai
阿赫默德教团,a'he'mo'de'jiao'tuan
阿赫默德派,a'he'mo'de'pai
阿赫默底亚教派,a'he'mo'di'ya'jiao'pai
阿拉维派,a'la'wei'pai
阿里伊拉希派,a'li'yi'la'xi'pai
阿迈勒运动,a'mai'le'yun'dong
阿萨辛派,a'sa'xin'pai
阿札里加派,a'zha'li'jia'pai
艾巴德派,ai'ba'de'pai
艾海里逊乃,ai'hai'li'xun'nai
艾赫,ai'he
埃及穆斯林兄弟会,ai'ji'mu'si'lin'xiong'di'hui
埃及圣战者组织,ai'ji'sheng'zhan'zhe'zu'zhi
埃及乌玛党,ai'ji'wu'ma'dang
艾什尔里派,ai'shen'er'li'pai
爱资哈尔最高管理委员会,ai'zi'ha'er'zui'gao'guan'li'wei'yuan'hui
艾兹赖格派,ai'zi'lai'ge'pai
澳大利亚伊斯兰理事会联盟,ao'da'li'ya'yi'si'lan'li'shi'hui'lian'meng
奥地利穆斯林社会服务社,ao'di'li'mu'si'lin'she'hui'fu'wu'she
奥札仪学派,ao'zha'yi'xue'pai
巴布教派,ba'bu'jiao'pai
巴布亚新几内亚伊斯兰协会,ba'bu'ya'xin'ji'nei'ya'yi'si'lan'xie'hui
巴达维教团,ba'da'wei'jiao'tuan
巴尔库克派,ba'er'ku'ke'pai
巴哈教派,ba'ha'jiao'pai
巴基斯坦伊斯兰学者协会,ba'ji'si'tan'yi'si'lan'xue'zhe'xie'hui
巴克利教团,ba'ke'li'jiao'tuan
巴雷利学派,ba'lei'li'xue'pai
巴颓尼叶派,ba'tui'ni'ye'pai
巴希尔派,ba'xi'er'pai
巴彦派,ba'yan'pai
白尔蒂党,bai'er'di'dang
白拉姆教团,bai'la'mu'jiao'tuan
白派,bai'pai
白山派,bai'shan'pai
白优姆教团,bai'you'mu'jiao'tuan
板桥门宦,ban'qiao'men'huan
北美伊斯兰协会,bei'mei'yi'si'lan'xie'hui
北平伊斯兰学友会,bei'ping'yi'si'lan'xue'you'hui
北山门宦,bei'shan'men'huan
北庄门宦,bei'zhuang'men'huan
毕家场门宦,bi'jia'chang'men'huan
比克塔西教团,bi'ke'ta'xi'jiao'tuan
表义学派,biao'yi'xue'pai
波哈拉派,bo'ha'la'pai
裁决派,cai'jue'pai
崇真派,chong'zhen'pai
纯凯桑派,chun'kai'sang'pai
纯穆尔吉亚派,chun'mu'er'ji'ya'pai
达尔卡维教团,da'er'ka'wei'jiao'tuan
大拱北门宦,da'gong'bei'men'huan
达哈布教团,da'ha'bu'jiao'tuan
大食法,da'shi'fa
大食教度,da'shi'jiao'du
达伍德派,da'wu'de'pai
德加维教团,de'jia'wei'jiao'tuan
德鲁兹派,de'lu'zi'pai
迪拉尔派,di'la'er'pai
低声派,di'sheng'pai
东南亚暨太平洋地区伊斯兰宣教理事会,dong'nan'ya'ji'tai'ping'yang'di'qu'yi'si'lan'xuan'jiao'li'shi'hui
东亚清真总会,dong'ya'qing'zhen'zong'hui
厄立特里亚解放阵线,e'li'te'li'ya'jie'fang'zhen'xian
法德里教团,fa'de'li'jiao'tuan
反宿命论派,fan'su'ming'lun'pai
菲达因组织,fei'da'yin'zu'zhi
斐济穆斯林联盟,fei'ji'mu'si'lin'lian'meng
非赛莱菲与逊尼苏非学派,fei'sai'lai'fei'yu'xun'ni'su'fei'xue'pai
菲特彦兄弟会,fei'te'yan'xiong'di'hui
非洲伊斯兰协调理事会,fei'zhou'yi'si'lan'xie'tiao'li'shi'hui
非遵法派,fei'zun'fa'pai
富图瓦,fu'tu'wa
盖德尔派,gai'de'er'pai
盖德里叶派,gai'de'li'ye'pai
高声派,gao'sheng'pai
高赵家门宦,gao'zhao'jia'men'huan
格底林耶,ge'di'lin'ye
格底木,ge'di'mu
公一派,gong'yi'pai
古行,gu'xing
光明追求者组织,guang'ming'zhui'qiu'zhe'zu'zhi
光塔派,guang'ta'pai
光阴派,guang'yin'pai
圭亚那伊斯兰联合总会,gui'ya'na'yi'si'lan'lian'he'zong'hui
国际伊斯兰学生组织联合会,guo'ji'yi'si'lan'xue'sheng'zu'zhi'lian'he'hui
国际伊斯兰银行协会,guo'ji'yi'si'lan'yin'hang'xie'hui
国际伊斯兰组织,guo'ji'yi'si'lan'zu'zhi
哈尔瓦提教团,ha'er'wa'ti'jiao'tuan
哈菲兹派,ha'fei'zi'pai
哈鲁拉派,ha'lu'la'pai
哈乃斐学派,ha'nai'fei'xue'pai
哈塔布派,ha'ta'bu'pai
哈特米教团,ha'te'mi'jiao'tuan
哈瓦利吉派,ha'wa'li'ji'pai
哈希姆派,ha'xi'mu'pai
罕百里学派,han'bai'li'xue'pai
汉学派,han'xue'pai
号召党,hao'zhao'dang
黑山派,hei'shan'pai
洪门门宦,hong'men'men'huan
侯鲁非派,hou'lu'fei'pai
侯鲁勒派,hou'lu'le'pai
虎非耶,hu'fei'ye
胡拉米派,hu'la'mi'pai
胡门门宦,hu'men'men'huan
华寺门宦,hua'si'men'huan
回回教,hui'hui'jiao
回回教门,hui'hui'jiao'men
回教,hui'jiao
霍加派,huo'jia'pai
