按劲,an'jin
八门劲别,ba'men'jin'bie
八门五步,ba'men'wu'bu
白鹤亮翅,bai'he'liang'chi
摆脚跌叉,bai'jiao'die'cha
摆脚跌岔,bai'jiao'die'cha
白蛇吐信,bai'she'tu'xin
白猿献果,bai'yuan'xian'guo
搬拦捶,ban'lan'chui
搬拦肘,ban'lan'zhou
抱虎归山,bao'hu'gui'shan
抱头推山,bao'tou'tui'shan
背折靠,bei'zhe'kao
绷法,beng'fa
庇身捶,bi'shen'chui
掤劲,bing'jin
掤捋挤按采挒肘靠,bing'luo'ji'an'cai'lie'zhou'kao
采劲,cai'jin
侧仰左腕,ce'yang'zuo'wan
缠丝,chan'si
缠丝劲,chan'si'jin
沉肩垂肘,chen'jian'chui'zhou
沉肩坠肘,chen'jian'zhui'zhou
陈氏太极刀,chen'shi'tai'ji'dao
陈氏太极剑,chen'shi'tai'ji'jian
陈氏太极拳,chen'shi'tai'ji'quan
陈氏太极拳老架二路,chen'shi'tai'ji'quan'lao'jia'er'lu
陈氏太极拳老架一路,chen'shi'tai'ji'quan'lao'jia'yi'lu
初收,chu'shou
穿心肘,chuan'xin'zhou
川字步,chuan'zi'bu
摧刚炼柔,cui'gang'lian'rou
单鞭,dan'bian
弹抖,dan'dou
当头炮,dang'tou'pao
倒插,dao'cha
倒卷肱,dao'juan'gong
倒撵猴,dao'nian'hou
倒骑麟,dao'qi'lin
倒骑龙,dao'qi'long
蹬一根,deng'yi'gen
顶匾丢抗,ding'bian'diu'kang
顶劲,ding'jin
懂劲,dong'jin
夺二肱,duo'er'gong
翻花舞袖,fan'hua'wu'xiu
翻身单摆莲,fan'shen'dan'bai'lian
翻身二起,fan'shen'er'qi
翻身二起脚,fan'shen'er'qi'jiao
翻身三甬背,fan'shen'san'yong'bei
飞步拗鸾肘,fei'bu'niu'luan'zhou
风摆荷叶,feng'bai'he'ye
风扫梅花,feng'sao'mei'hua
伏虎,fu'hu
盖步云手,gai'bu'yun'shou
高探马,gao'tan'ma
高探马带穿掌,gao'tan'ma'dai'chuan'zhang
裹鞭,guo'bian
海底翻花,hai'di'fan'hua
海底针,hai'di'zhen
含胸,han'xiong
含胸拔背,han'xiong'ba'bei
含胸塌腰,han'xiong'ta'yao
合手,he'shou
合太极,he'tai'ji
横斜飞式,heng'xie'fei'shi
后脚伸直,hou'jiao'shen'zhi
后招,hou'zhao
黄河三搅水,huang'he'san'jiao'shui
回身右蹬脚,hui'shen'you'deng'jiao
回头当门炮,hui'tou'dang'men'pao
击地锤,ji'di'chui
击地捶,ji'di'chui
挤劲,ji'jin
践步打捶,jian'bu'da'chui
肩与胯合,jian'yu'kua'he
节节贯串,jie'jie'guan'chuan
进步搬拦捶,jin'bu'ban'lan'chui
进步云手,jin'bu'yun'shou
进步栽捶,jin'bu'zai'chui
进步指裆捶,jin'bu'zhi'dang'chui
金刚捣碓,jin'gang'dao'dui
金鸡独立,jin'ji'du'li
井阑直入,jing'lan'zhi'ru
井揽直入,jing'lan'zhi'ru
井栏直入,jing'lan'zhi'ru
开合手,kai'he'shou
开手,kai'shou
靠劲,kao'jin
濑扎衣,lai'zha'yi
揽雀尾,lan'que'wei
揽雀尾绷法,lan'que'wei'beng'fa
揽雀尾捋法,lan'que'wei'luo'fa
懒扎衣,lan'zha'yi
立定时,li'ding'shi
连珠炮,lian'zhu'pao
两足直踏,liang'zu'zhi'ta
挒劲,lie'jin
六封四闭,liu'feng'si'bi
捋劲,luo'jin
螺旋缠丝,luo'xuan'chan'si
抹眉红,mo'mei'hong
内外相合,nei'wai'xiang'he
逆缠,ni'chan
逆缠丝,ni'chan'si
拗鸾肘,niu'luan'zhou
劈架子,pi'jia'zi
披身捶,pi'shen'chui
撇身锤,pie'shen'chui
撇身捶,pie'shen'chui
平行分开,ping'xing'fen'kai
扑面掌,pu'mian'zhang
气沉丹田,qi'chen'dan'tian
起势,qi'shi
气与力合,qi'yu'li'he
前蹚拗步,qian'tang'niu'bu
前招,qian'zhao
前招后招,qian'zhao'hou'zhao
青龙摆尾,qing'long'bai'wei
青龙出水,qing'long'chu'shui
屈膝踏实,qu'xi'ta'shi
屈膝坐实,qu'xi'zuo'shi
雀地龙,que'di'long
如封似闭,ru'feng'si'bi
三换掌,san'huan'zhang
三通背,san'tong'bei
扫堂腿,sao'tang'tui
煞腰压肘,sha'yao'ya'zhou
闪通背,shan'tong'bei
扇通背,shan'tong'bei
上步揽雀尾,shang'bu'lan'que'wei
上步七星,shang'bu'qi'xing
上下相随,shang'xia'xiang'sui
舍己从人,she'ji'cong'ren
十字摆莲,shi'zi'bai'lian
十字脚,shi'zi'jiao
十字手,shi'zi'shou
十字腿,shi'zi'tui
手挥琵琶,shou'hui'pi'pa
收势,shou'shi
兽头式,shou'tou'shi
守我之静,shou'wo'zhi'jing
手心向内,shou'xin'xiang'nei
双重,shuang'chong
双峰贯耳,shuang'feng'guan'er
双推手,shuang'tui'shou
双推掌,shuang'tui'zhang
双震脚,shuang'zhen'jiao
双撞捶,shuang'zhuang'chui
顺缠,shun'chan
顺缠丝,shun'chan'si
顺鸾肘,shun'luan'zhou
四稍,si'shao
松活弹抖,song'huo'dan'dou
松腰胯,song'yao'kua
太极起式,tai'ji'qi'shi
太极拳起势,tai'ji'quan'qi'shi
太极桩,tai'ji'zhuang
提手上势,ti'shou'shang'shi
体用兼全,ti'yong'jian'quan
退步打虎式,tui'bu'da'hu'shi
退步跨虎,tui'bu'kua'hu
退步压肘,tui'bu'ya'zhou
退步云手,tui'bu'yun'shou
