挨倒,ai'dao
挨拢,ai'long
耙耙,ba'ba
巴巴掌,ba'ba'zhang
耙呆呆,ba'dai'dai
巴倒,ba'dao
巴尔,ba'er
耙活,ba'huo
白尔家,bai'er'jia
白逛逛,bai'guang'guang
摆哈尔,bai'ha'er
白明白眼,bai'ming'bai'yan
白明日眼,bai'ming'ri'yan
摆起,bai'qi
白恰恰,bai'qia'qia
白耍尔,bai'shua'er
扳不东,ban'bu'dong
扳不弯,ban'bu'wan
半路高,ban'lu'gao
板澡,ban'zao
帮机巴,bang'ji'ba
棒克,bang'ke
棒老二,bang'lao'er
宝器,bao'qi
刨臊,bao'sao
背倒起,bei'dao'qi
背时,bei'shi
背时鬼,bei'shi'gui
捹不脱,ben'bu'tuo
边打边日,bian'da'bian'ri
标高尿,biao'gao'niao
标了,biao'le
钵儿,bo'er
不摆了,bu'bai'le
不落板,bu'luo'ban
不落教,bu'luo'jiao
草鸡子,cao'ji'zi
产实,chan'shi
产实不完,chan'shi'bu'wan
超哥,chao'ge
扯活闪,che'huo'shan
扯五扯陆,che'wu'che'lu
撑抖,cheng'dou
岀及,chu'ji
戳事,chuo'shi
打摆手,da'bai'shou
打估眼,da'gu'yan
打哈哈,da'ha'ha
打恍,da'huang
打晃,da'huang
打呡笑,da'min'xiao
打甩手,da'shuai'shou
打调,da'tiao
逮猫儿,dai'mao'er
担来,dan'lai
但球藤,dan'qiu'teng
倒批霉,dao'pi'mei
灯阿荡勒,deng'a'dang'le
等倒,deng'dao
嘀哒,di'da
滴滴尔,di'di'er
滴滴娃儿,di'di'wa'er
地瞎,di'xia
点把点,dian'ba'dian
点点红,dian'dian'hong
点都不,dian'dou'bu
丁丁巴尔,ding'ding'ba'er
冬瓜灰,dong'gua'hui
东睃西睃,dong'suo'xi'suo
斗不够,dou'bu'gou
逗及闹不扯票,dou'ji'nao'bu'che'piao
斗拢,dou'long
都是,dou'shi
斗十四,dou'shi'si
斗碗,dou'wan
对确了,dui'que'le
鹅尔,e'er
嗯肮子,en'ang'zi
耳巴子,er'ba'zi
贰柒拾,er'qi'shi
耳屎你,er'shi'ni
费得很,fei'de'hen
非机吧,fei'ji'ba
干黄鳝,gan'huang'shan
干勒,gan'le
干鸭娃儿,gan'ya'wa'er
搞白耍尔,gao'bai'shua'er
搞萨梯,gao'sa'ti
诰一哈,gao'yi'ha
诰一盘,gao'yi'pan
哥老倌,ge'lao'guan
估黯,gu'an
估倒,gu'dao
孤及,gu'ji
姑孃,gu'niang
姑孃家,gu'niang'jia
孤起,gu'qi
估眼,gu'yan
刮苦,gua'ku
拐了,guai'le
光森,guang'sen
归雅,gui'ya
归一,gui'yi
锅老倌,guo'lao'guan
哈包,ha'bao
哈不戳戳,ha'bu'chuo'chuo
哈不戳戳勒,ha'bu'chuo'chuo'le
哈哈儿,ha'ha'er
哈开,ha'kai
