半边山,ban'bian'shan
包家,bao'jia
鼻田,bi'tian
财政游园,cai'zheng'you'yuan
长青厂,chang'qing'chang
城标广场,cheng'biao'guang'chang
城投大厦,cheng'tou'da'sha
崔家园,cui'jia'yuan
灯笼桥,deng'long'qiao
第八小学,di'ba'xiao'xue
店前,dian'qian
电信大楼,dian'xin'da'lou
东门菜场,dong'men'cai'chang
东浦市场,dong'pu'shi'chang
冬泳基地,dong'yong'ji'di
都市春天,du'shi'chun'tian
凤凰市场,feng'huang'shi'chang
冯家,feng'jia
赣西农批市场,gan'xi'nong'pi'shi'chang
赣西实训中心,gan'xi'shi'xun'zhong'xin
高士北路口,gao'shi'bei'lu'kou
高士路,gao'shi'lu
个体街,ge'ti'jie
公交公司,gong'jiao'gong'si
公交招呼站,gong'jiao'zhao'hu'zhan
公交总站,gong'jiao'zong'zhan
古江哩,gu'jiang'li
鼓楼路口,gu'lou'lu'kou
官园小区,guan'yuan'xiao'qu
广电大楼,guang'dian'da'lou
国光超市,guo'guang'chao'shi
国家粮库,guo'jia'liang'ku
果园场,guo'yuan'chang
鸿运星城,hong'yun'xing'cheng
湖田,hu'tian
湖田中学,hu'tian'zhong'xue
化成岩,hua'cheng'yan
花家坪,hua'jia'ping
环卫处,huan'wei'chu
火车站,huo'che'zhan
技术学院南校区,ji'shu'xue'yuan'nan'xiao'qu
建材市场,jian'cai'shi'chang
箭道市场,jian'dao'shi'chang
江轴,jiang'zhou
交警大队,jiao'jing'da'dui
交警支队,jiao'jing'zhi'dui
街心花园,jie'xin'hua'yuan
金桥上水人家,jin'qiao'shang'shui'ren'jia
锦秀花苑,jin'xiu'hua'yuan
锦秀山庄,jin'xiu'shan'zhuang
景福花苑,jing'fu'hua'yuan
桔园新村,ju'yuan'xin'cun
兰家坪,lan'jia'ping
雷桥,lei'qiao
丽景山庄,li'jing'shan'zhuang
理想家园,li'xiang'jia'yuan
林桥,lin'qiao
刘坊,liu'fang
麻纺厂,ma'fang'chang
马王塘开发区,ma'wang'tang'kai'fa'qu
麦田港,mai'tian'gang
贸易广场,mao'yi'guang'chang
梅花,mei'hua
门楼,men'lou
明月路,ming'yue'lu
明月山,ming'yue'shan
明月山管理局,ming'yue'shan'guan'li'ju
南工业园区,nan'gong'ye'yuan'qu
鸟山,niao'shan
农机公司,nong'ji'gong'si
派出所,pai'chu'suo
彭坊,peng'fang
坪田,ping'tian
汽车北站,qi'che'bei'zhan
汽车西站,qi'che'xi'zhan
汽车总站,qi'che'zong'zhan
七家岭,qi'jia'ling
青龙,qing'long
区计生委,qu'ji'sheng'wei
人民家电,ren'min'jia'dian
三九分厂,san'jiu'fen'chang
三龙电气,san'long'dian'qi
三中,san'zhong
沙背桥,sha'bei'qiao
商城,shang'cheng
社埠,she'bu
石背,shi'bei
市城管局,shi'cheng'guan'ju
市二医院,shi'er'yi'yuan
市法院,shi'fa'yuan
市服务中心,shi'fu'wu'zhong'xin
石化大厦,shi'hua'da'sha
市环保局,shi'huan'bao'ju
市六医院,shi'liu'yi'yuan
市农发行,shi'nong'fa'hang
市七医院,shi'qi'yi'yuan
市人民医院,shi'ren'min'yi'yuan
市委,shi'wei
市行政中心,shi'xing'zheng'zhong'xin
十运村,shi'yun'cun
双桥头,shuang'qiao'tou
水上学校,shui'shang'xue'xiao
四方井,si'fang'jing
苏瓜塘,su'gua'tang
潭前,tan'qian
体育中心,ti'yu'zhong'xin
天桥,tian'qiao
田心,tian'xin
天泽医院,tian'ze'yi'yuan
铁路道口,tie'lu'dao'kou
桐树下,tong'shu'xia
土垅,tu'long
万福亭,wan'fu'ting
温汤,wen'tang
渥江,wo'jiang
乌石桥,wu'shi'qiao
下巩,xia'gong
下雷桥,xia'lei'qiao
下浦,xia'pu
下浦粮站,xia'pu'liang'zhan
仙巩,xian'gong
新建医院,xin'jian'yi'yuan
新市政府,xin'shi'zheng'fu
星颖家私城,xing'ying'jia'si'cheng
秀江御景,xiu'jiang'yu'jing
学院西校区,xue'yuan'xi'xiao'qu
阳光大酒店,yang'guang'da'jiu'dian
阳光华庭,yang'guang'hua'ting
阳光家居城,yang'guang'jia'ju'cheng
阳光新城,yang'guang'xin'cheng
窑前,yao'qian
宜春大桥,yi'chun'da'qiao
宜春学院,yi'chun'xue'yuan
宜春中学,yi'chun'zhong'xue
一机厂,yi'ji'chang
易家坊,yi'jia'fang
一寺,yi'si
一寺路口,yi'si'lu'kou
一中,yi'zhong
预备役团,yu'bei'yi'tuan
袁梅,yuan'mei
原区政府,yuan'qu'zheng'fu
袁山东路,yuan'shan'dong'lu
袁山公园,yuan'shan'gong'yuan
袁山公园北门,yuan'shan'gong'yuan'bei'men
原市委,yuan'shi'wei
源仙台,yuan'xian'tai
袁州区保健院,yuan'zhou'qu'bao'jian'yuan
占卜洲,zhan'bu'zhou
湛郎桥,zhan'lang'qiao
张家山,zhang'jia'shan
张家山粮库,zhang'jia'shan'liang'ku
朝阳东路,zhao'yang'dong'lu
朝阳西路,zhao'yang'xi'lu
朝阳西路口,zhao'yang'xi'lu'kou
浙赣友好医院,zhe'gan'you'hao'yi'yuan
正荣,zheng'rong
正荣街,zheng'rong'jie
职业技术学院,zhi'ye'ji'shu'xue'yuan
中山电影院,zhong'shan'dian'ying'yuan
醉仙楼,zui'xian'lou
