暗能量,an'neng'liang
暗物质,an'wu'zhi
暴涨,bao'zhang
暴涨理论,bao'zhang'li'lun
暴涨模型,bao'zhang'mo'xing
暴涨宇宙学,bao'zhang'yu'zhou'xue
暴涨子,bao'zhang'zi
变声速,bian'sheng'su
标度,biao'du
标度不变性,biao'du'bu'bian'xing
标度因子,biao'du'yin'zi
表观视界,biao'guan'shi'jie
标量模式,biao'liang'mo'shi
标量扰动,biao'liang'rao'dong
标量涨落,biao'liang'zhang'luo
玻耳兹曼方程,bo'er'zi'man'fang'cheng
超新星,chao'xin'xing
尺度因子,chi'du'yin'zi
出视界,chu'shi'jie
磁单极,ci'dan'ji
大爆炸,da'bao'zha
大场,da'chang
大场暴涨,da'chang'bao'zhang
单场,dan'chang
单场暴涨,dan'chang'bao'zhang
单场暴涨模型,dan'chang'bao'zhang'mo'xing
单极,dan'ji
等价原理,deng'jia'yuan'li
度规理论,du'gui'li'lun
度规扰动,du'gui'rao'dong
多场,duo'chang
多场暴涨,duo'chang'bao'zhang
多场暴涨模型,duo'chang'bao'zhang'mo'xing
多极矩,duo'ji'ju
多极矩辐射,duo'ji'ju'fu'she
多普勒效应,duo'pu'le'xiao'ying
多世界,duo'shi'jie
多宇宙,duo'yu'zhou
二阶扰动,er'jie'rao'dong
非高斯,fei'gao'si
非高斯性,fei'gao'si'xing
非线性扰动,fei'xian'xing'rao'dong
弗里德曼方程,fu'li'de'man'fang'cheng
辐射,fu'she
辐射为主时期,fu'she'wei'zhu'shi'qi
伽马射线,ga'ma'she'xian
伽马射线暴,ga'ma'she'xian'bao
高阶导数,gao'jie'dao'shu
高阶导数引力,gao'jie'dao'shu'yin'li
高斯分布,gao'si'fen'bu
高斯性,gao'si'xing
各向同性,ge'xiang'tong'xing
各向异性,ge'xiang'yi'xing
共动,gong'dong
共动规范,gong'dong'gui'fan
共动曲率扰动,gong'dong'qu'lv'rao'dong
共动坐标,gong'dong'zuo'biao
功率谱,gong'lv'pu
功率谱函数,gong'lv'pu'han'shu
共振吸收,gong'zhen'xi'shou
关联函数,guan'lian'han'shu
广义相对论,guang'yi'xiang'dui'lun
光子,guang'zi
哈勃参数,ha'bo'can'shu
哈勃常数,ha'bo'chang'shu
哈勃空间望远镜,ha'bo'kong'jian'wang'yuan'jing
红移,hong'yi
红移因子,hong'yi'yin'zi
加速膨胀,jia'su'peng'zhang
假真空,jia'zhen'kong
减速膨胀,jian'su'peng'zhang
经典扰动,jing'dian'rao'dong
经典涨落,jing'dian'zhang'luo
绝热扰动,jue're'rao'dong
蓝移,lan'yi
理想流体,li'xiang'liu'ti
粒子视界,li'zi'shi'jie
两点函数,liang'dian'han'shu
量子扰动,liang'zi'rao'dong
量子涨落,liang'zi'zhang'luo
临界波长,lin'jie'bo'chang
临界密度,lin'jie'mi'du
慢滚,man'gun
慢滚暴涨,man'gun'bao'zhang
慢滚近似,man'gun'jin'si
密度矩阵,mi'du'ju'zhen
密度扰动,mi'du'rao'dong
膜世界,mo'shi'jie
膜宇宙,mo'yu'zhou
膜宇宙学,mo'yu'zhou'xue
内禀温度涨落,nei'bing'wen'du'zhang'luo
偶极,ou'ji
偶极辐射,ou'ji'fu'she
偶极矩,ou'ji'ju
平坦性问题,ping'tan'xing'wen'ti
曲率,qu'lv
曲率扰动,qu'lv'rao'dong
曲率涨落,qu'lv'zhang'luo
曲率子,qu'lv'zi
曲率子机制,qu'lv'zi'ji'zhi
全息原理,quan'xi'yuan'li
扰动,rao'dong
热大爆炸,re'da'bao'zha
热大爆炸宇宙学,re'da'bao'zha'yu'zhou'xue
热历史,re'li'shi
热平衡,re'ping'heng
三点函数,san'dian'han'shu
熵扰动,shang'rao'dong
声速,sheng'su
事件视界,shi'jian'shi'jie
视界,shi'jie
视界问题,shi'jie'wen'ti
矢量模式,shi'liang'mo'shi
矢量扰动,shi'liang'rao'dong
矢量涨落,shi'liang'zhang'luo
双场暴涨,shuang'chang'bao'zhang
四点函数,si'dian'han'shu
随机暴涨,sui'ji'bao'zhang
拓扑缺陷,tuo'pu'que'xian
微波背景,wei'bo'bei'jing
微波背景辐射,wei'bo'bei'jing'fu'she
微波背景各向异性,wei'bo'bei'jing'ge'xiang'yi'xing
微波各向异性,wei'bo'ge'xiang'yi'xing
微波各向异性探测器,wei'bo'ge'xiang'yi'xing'tan'ce'qi
威尔金森微波各向异性探测器,wei'er'jin'sen'wei'bo'ge'xiang'yi'xing'tan'ce'qi
温度扰动,wen'du'rao'dong
温度扰动各向异性,wen'du'rao'dong'ge'xiang'yi'xing
温度涨落,wen'du'zhang'luo
物质为主时期,wu'zhi'wei'zhu'shi'qi
线性扰动,xian'xing'rao'dong
弦宇宙学,xian'yu'zhou'xue
相变,xiang'bian
小场,xiao'chang
小场暴涨,xiao'chang'bao'zhang
亚稳态,ya'wen'tai
亚稳态真空,ya'wen'tai'zhen'kong
一阶扰动,yi'jie'rao'dong
引力波,yin'li'bo
引力辐射,yin'li'fu'she
引力红移,yin'li'hong'yi
引力透镜,yin'li'tou'jing
引力微子,yin'li'wei'zi
引力子,yin'li'zi
永恒暴涨,yong'heng'bao'zhang
预加热,yu'jia're
宇宙线,yu'zhou'xian
宇宙学,yu'zhou'xue
宇宙学常数,yu'zhou'xue'chang'shu
宇宙学扰动,yu'zhou'xue'rao'dong
宇宙学相变,yu'zhou'xue'xiang'bian
原初扰动,yuan'chu'rao'dong
张量模式,zhang'liang'mo'shi
张量扰动,zhang'liang'rao'dong
张量涨落,zhang'liang'zhang'luo
涨落,zhang'luo
真空能,zhen'kong'neng
真空衰变,zhen'kong'shuai'bian
重加热,zhong'jia're
中微子,zhong'wei'zi
转移函数,zhuan'yi'han'shu
转移矩阵,zhuan'yi'ju'zhen
最后散射,zui'hou'san'she
