阿什福德学园,a'shen'fu'de'xue'yuan
阿修罗王,a'xiu'luo'wang
爱丽丝梦游仙境,ai'li'si'meng'you'xian'jing
艾美洛公主,ai'mei'luo'gong'zhu
八头司飒姬,ba'tou'si'sa'ji
白姬抄,bai'ji'chao
百目鬼,bai'mu'gui
百目鬼静,bai'mu'gui'jing
阪神国,ban'shen'guo
冰姬,bing'ji
布兰榭,bu'lan'xie
苍轨征一郎,cang'gui'zheng'yi'lang
持国天,chi'guo'tian
冲浦清花,chong'pu'qing'hua
创龙传,chuang'long'chuan
大川七濑,da'chuan'qi'lai
大道寺,da'dao'si
帝释天,di'shi'tian
丁姬,ding'ji
东京巴比伦,dong'jing'ba'bi'lun
珐伊,fa'yi
反叛的鲁路修,fan'pan'de'lu'lu'xiu
菲力欧,fei'li'ou
飞王,fei'wang
凤凰寺风,feng'huang'si'feng
风疾,feng'ji
抚子,fu'zi
乾达婆王,gan'da'po'wang
高野山密宗,gao'ye'shan'mi'zong
观月歌帆,guan'yue'ge'fan
鬼咒岚,gui'zhou'lan
国会大厦,guo'hui'da'sha
合法禁药,he'fa'jin'yao
黑钢,hei'gang
黑色骑士团,hei'se'qi'shi'tuan
黑耀,hei'yao
红榴,hong'liu
花户小鸠,hua'hu'xiao'jiu
花萤,hua'ying
皇北都,huang'bei'du
皇昴流,huang'mao'liu
皇一门,huang'yi'men
吉祥天,ji'xiang'tian
技艺,ji'yi
加陵频伽,jia'ling'pin'jia
迦楼罗王,jia'lou'luo'wang
金翅鸟,jin'chi'niao
玖楼国,jiu'lou'guo
九曜,jiu'yao
玖月牙晓,jiu'yue'ya'xiao
可鲁贝洛斯,ke'lu'bei'luo'si
孔雀,kong'que
库洛牌,ku'luo'pai
蓝迪斯,lan'di'si
蓝晶,lan'jing
利佳,li'jia
李莓铃,li'mei'ling
李小狼,li'xiao'lang
铃鹿,ling'lu
榴辉,liu'hui
龙王,long'wang
龙啸海,long'xiao'hai
陆王,lu'wang
罗刹,luo'cha
猫井三宫,mao'jing'san'gong
猫依让刃,mao'yi'rang'ren
命运之轮开始旋转,ming'yun'zhi'lun'kai'shi'xuan'zhuan
魔法骑士,mo'fa'qi'shi
摩歌拿,mo'ge'na
木之本,mu'zhi'ben
木之本隆藤,mu'zhi'ben'long'teng
木之本桃矢,mu'zhi'ben'tao'shi
奈绪子,nai'xu'zi
七封印,qi'feng'yin
麒饲游人,qi'si'you'ren
七御使,qi'yu'shi
浅黄笙悟,qian'huang'sheng'wu
犬鬼,quan'gui
人形电脑天使心,ren'xing'dian'nao'tian'shi'xin
三原千岁,san'yuan'qian'sui
三原王二郎,san'yuan'wang'er'lang
三原一郎,san'yuan'yi'lang
沙罗,sha'luo
上野公园,shang'ye'gong'yuan
少女情怀总是诗,shao'nv'qing'huai'zong'shi'shi
舍脂,she'zhi
式神,shi'shen
狮堂光,shi'tang'guang
枢木朱雀,shu'mu'zhu'que
司狼神威,si'lang'shen'wei
四叶草,si'ye'cao
四月一日灵异事件簿,si'yue'yi'ri'ling'yi'shi'jian'bu
苏摩,su'mo
碎轨,sui'gui
桃生封真,tao'sheng'feng'zhen
桃生小鸟,tao'sheng'xiao'niao
藤本清和,teng'ben'qing'he
藤堂镜志朗,teng'tang'jing'zhi'lang
天使领域,tian'shi'ling'yu
天王,tian'wang
透辉,tou'hui
维札特,wei'zha'te
五百阿藏,wu'bai'a'cang
锡菲罗,xi'fei'luo
喜欢就是喜欢,xi'huan'jiu'shi'xi'huan
夏澄火炼,xia'cheng'huo'lian
夏丽,xia'li
霞月,xia'yue
小叽,xiao'ji
小鸠,xiao'jiu
小可,xiao'ke
小库洛,xiao'ku'luo
小葵,xiao'kui
谢加图,xie'jia'tu
新春香传,xin'chun'xiang'chuan
星见,xing'jian
型事双星,xing'shi'shuang'xing
栩堂琇一郎,xu'tang'xiu'yi'lang
栩堂宗一郎,xu'tang'zong'yi'lang
学园侦探团,xue'yuan'zhen'tan'tuan
夜叉王,ye'cha'wang
夜摩刀,ye'mo'dao
伊达尔,yi'da'er
伊格鲁,yi'ge'lu
壹原侑子,yi'yuan'you'zi
银月,yin'yue
鹰村苏芳,ying'cun'su'fang
樱冢护,ying'zhong'hu
樱冢星史郎,ying'zhong'xing'shi'lang
樱冢雪华,ying'zhong'xue'hua
影赘,ying'zhui
有洙川空汰,you'zhu'chuan'kong'tai
增长目,zeng'zhang'mu
真神斗织,zhen'shen'dou'zhi
真神时鼓,zhen'shen'shi'gu
知世,zhi'shi
织叶,zhi'ye
志勇草薙,zhi'yong'cao'ti
猪尾吕义,zhu'wei'lv'yi
