安装孔,an'zhuang'kong
凹點,ao'dian
凹陷,ao'xian
靶孔,ba'kong
靶形,ba'xing
白斑,bai'ban
白邊,bai'bian
白點,bai'dian
白度,bai'du
板边插头,ban'bian'cha'tou
板翘,ban'qiao
板彎,ban'wan
板弯翘,ban'wan'qiao
曝光,bao'guang
薄膜,bao'mo
薄膜混合电路,bao'mo'hun'he'dian'lu
薄膜开关,bao'mo'kai'guan
包装,bao'zhuang
背板,bei'ban
背光,bei'guang
背裸盘,bei'luo'pan
表格原点,biao'ge'yuan'dian
表面,biao'mian
表面處理,biao'mian'chu'li
標準板,biao'zhun'ban
丙烯酸树脂,bing'xi'suan'shu'zhi
薄基板,bo'ji'ban
玻璃布,bo'li'bu
玻璃纤维,bo'li'xian'wei
玻璃纖維布,bo'li'xian'wei'bu
玻璃纤维垫,bo'li'xian'wei'dian
薄铜箔,bo'tong'bo
不饱和聚酯,bu'bao'he'ju'zhi
不同層此,bu'tong'ceng'ci
布图设计,bu'tu'she'ji
布線,bu'xian
布线,bu'xian
布线器,bu'xian'qi
布线完成率,bu'xian'wan'cheng'lv
不织布,bu'zhi'bu
裁板,cai'ban
裁切線,cai'qie'xian
仓库,cang'ku
測點,ce'dian
測量,ce'liang
层次设计,ceng'ci'she'ji
层压板,ceng'ya'ban
长方形焊盘,chang'fang'xing'han'pan
成品板,cheng'pin'ban
程式帶,cheng'shi'dai
成型,cheng'xing
尺寸,chi'cun
尺寸安全性,chi'cun'an'quan'xing
沖壓,chong'ya
抽樣數,chou'yang'shuo
处理剂含量,chu'li'ji'han'liang
处理织物,chu'li'zhi'wu
吹孔,chui'kong
磁帶,ci'dai
磁片,ci'pian
粗面,cu'mian
搭橋,da'qiao
单面覆铜箔层压板,dan'mian'fu'tong'bo'ceng'ya'ban
单面印制板,dan'mian'yin'zhi'ban
单丝,dan'si
导电箔,dao'dian'bo
导电图形,dao'dian'tu'xing
道角,dao'jiao
导通孔,dao'tong'kong
导线层,dao'xian'ceng
导线面,dao'xian'mian
燈蕊效應,deng'rui'xiao'ying
墊板,dian'ban
电测,dian'ce
电镀,dian'du
电解铜箔,dian'jie'tong'bo
电路模拟,dian'lu'mo'ni
疊板結構,die'ban'jie'gou
定位孔,ding'wei'kong
定位梢,ding'wei'shao
鍍金,du'jin
镀金,du'jin
