八齿碎米藓,ba'chi'sui'mi'xian
扁叶毛口藓,bian'ye'mao'kou'xian
长蒴藓,chang'shuo'xian
长蒴藓属,chang'shuo'xian'shu
丛生光萼苔,cong'sheng'guang'e'tai
丛生裂叶苔,cong'sheng'lie'ye'tai
丛生真藓,cong'sheng'zhen'xian
丛藓科,cong'xian'ke
粗肋羽藓,cu'lei'yu'xian
大叶藓,da'ye'xian
大叶藓属,da'ye'xian'shu
地钱,di'qian
地钱科,di'qian'ke
地钱属,di'qian'shu
东亚金发藓,dong'ya'jin'fa'xian
东亚毛灰藓,dong'ya'mao'hui'xian
钝叶匐灯藓,dun'ye'fu'deng'xian
钝叶提灯藓,dun'ye'ti'deng'xian
多齿紫萼藓,duo'chi'zi'e'xian
耳叶苔科,er'ye'tai'ke
耳叶苔属,er'ye'tai'shu
反纽藓属,fan'niu'xian'shu
泛生墙藓,fan'sheng'qiang'xian
凤尾藓科,feng'wei'xian'ke
凤尾藓属,feng'wei'xian'shu
匐灯藓,fu'deng'xian
匐灯藓属,fu'deng'xian'shu
钩叶羽藓,gou'ye'yu'xian
光萼苔科,guang'e'tai'ke
光萼苔属,guang'e'tai'shu
广叶绢藓,guang'ye'juan'xian
葫芦藓,hu'lu'xian
葫芦藓科,hu'lu'xian'ke
葫芦藓属,hu'lu'xian'shu
黄牛毛藓,huang'niu'mao'xian
灰白青藓,hui'bai'qing'xian
灰藓科,hui'xian'ke
尖叶提灯藓,jian'ye'ti'deng'xian
金发藓科,jin'fa'xian'ke
金发藓属,jin'fa'xian'shu
绢藓科,juan'xian'ke
绢藓属,juan'xian'shu
卷叶湿地藓,juan'ye'shi'di'xian
盔瓣耳叶苔,kui'ban'er'ye'tai
阔叶小石藓,kuo'ye'xiao'shi'xian
立碗藓,li'wan'xian
立碗藓属,li'wan'xian'shu
裂叶苔科,lie'ye'tai'ke
裂叶苔属,lie'ye'tai'shu
鳞叶藓,lin'ye'xian
鳞叶藓属,lin'ye'xian'shu
瘤冠苔科,liu'guan'tai'ke
绿片苔,lv'pian'tai
绿片苔科,lv'pian'tai'ke
绿片苔属,lv'pian'tai'shu
毛灰藓属,mao'hui'xian'shu
毛尖紫萼藓,mao'jian'zi'e'xian
毛口藓属,mao'kou'xian'shu
美喙藓属,mei'hui'xian'shu
密叶尖喙藓,mi'ye'jian'hui'xian
密叶绢藓,mi'ye'juan'xian
密叶美喙藓,mi'ye'mei'hui'xian
木藓,mu'xian
木藓属,mu'xian'shu
南亚瓦鳞苔,nan'ya'wa'lin'tai
扭口藓属,niu'kou'xian'shu
牛毛藓科,niu'mao'xian'ke
牛毛藓属,niu'mao'xian'shu
牛舌藓属,niu'she'xian'shu
暖地长蒴藓,nuan'di'chang'shuo'xian
欧洲凤尾藓,ou'zhou'feng'wei'xian
平藓科,ping'xian'ke
钱苔,qian'tai
钱苔科,qian'tai'ke
钱苔属,qian'tai'shu
墙藓属,qiang'xian'shu
青藓科,qing'xian'ke
青藓属,qing'xian'shu
曲尾藓科,qu'wei'xian'ke
陕西鳞叶藓,shan'xi'lin'ye'xian
蛇苔,she'tai
蛇苔科,she'tai'ke
蛇苔属,she'tai'shu
石地钱,shi'di'qian
石地钱属,shi'di'qian'shu
湿地藓属,shi'di'xian'shu
石生耳叶苔,shi'sheng'er'ye'tai
树生藓科,shu'sheng'xian'ke
碎米藓,sui'mi'xian
碎米藓科,sui'mi'xian'ke
碎米藓属,sui'mi'xian'shu
穗枝木藓,sui'zhi'mu'xian
缩叶藓,suo'ye'xian
缩叶藓科,suo'ye'xian'ke
缩叶藓属,suo'ye'xian'shu
提灯藓科,ti'deng'xian'ke
瓦鳞苔属,wa'lin'tai'shu
无纹紫背苔,wu'wen'zi'bei'tai
细鳞苔科,xi'lin'tai'ke
细叶泽藓,xi'ye'ze'xian
仙鹤藓,xian'he'xian
仙鹤藓属,xian'he'xian'shu
小反纽藓,xiao'fan'niu'xian
小扭口藓,xiao'niu'kou'xian
小牛舌藓,xiao'niu'she'xian
小蛇苔,xiao'she'tai
羊角藓,yang'jiao'xian
羊角藓属,yang'jiao'xian'shu
叶苔,ye'tai
叶苔科,ye'tai'ke
叶苔属,ye'tai'shu
疣灯藓,you'deng'xian
疣灯藓属,you'deng'xian'shu
羽藓科,yu'xian'ke
羽藓属,yu'xian'shu
泽藓属,ze'xian'shu
长叶鳞叶藓,zhang'ye'lin'ye'xian
真藓,zhen'xian
真藓科,zhen'xian'ke
真藓属,zhen'xian'shu
中华缩叶藓,zhong'hua'suo'ye'xian
钟帽藓,zhong'mao'xian
钟帽藓属,zhong'mao'xian'shu
珠藓科,zhu'xian'ke
紫背苔属,zi'bei'tai'shu
紫萼藓科,zi'e'xian'ke
紫萼藓属,zi'e'xian'shu
