啊搭,a'da
阿木林,a'mu'lin
阿曲细,a'qu'xi
挨模样,ai'mu'yang
肮馊,ang'sou
掰断,bai'duan
白乌龟,bai'wu'gui
白相,bai'xiang
半二不三,ban'er'bu'san
扮皵丝,ban'que'si
坌泥土,ben'ni'tu
滗干,bi'gan
便当,bian'dang
煿菜,bo'cai
不识薡蕫,bu'shi'ding'dong
侪都,chai'dou
拆家牌,chai'jia'pai
缠夹二先生,chan'jia'er'xian'sheng
场化,chang'hua
长远,chang'yuan
辰光,chen'guang
吃素碰着月大,chi'su'peng'zhe'yue'da
吃膯掉,chi'tun'diao
出头椽子,chu'tou'chuan'zi
窜鱼钓白鱼,cuan'yu'diao'bai'yu
汏干净,da'gan'jing
大好佬,da'hao'lao
大颈水老乌,da'jing'shui'lao'wu
大老官,da'lao'guan
倒扳帐,dao'ban'zhang
道地,dao'di
戥戥分量,deng'deng'fen'liang
点戏,dian'xi
掉不落,diao'bu'luo
吊长丝瓜,diao'chang'si'gua
吊人中,diao'ren'zhong
厾掉,du'diao
厾给我,du'gei'wo
端正,duan'zheng
驐掉,dun'diao
钝钝渠,dun'dun'qu
钝人,dun'ren
沰雨,duo'yu
阨塞,e'sai
呒没,fu'mei
弗哉,fu'zai
隑了墙头上,gai'le'qiang'tou'shang
干折,gan'zhe
佮车,ge'che
疙瘩,ge'da
箇搭,ge'da
搿牢,ge'lao
箇么,ge'me
箇能,ge'neng
汩汩嘴,gu'gu'zui
拐翻,guai'fan
熯饼,han'bing
喊应,han'ying
绗被头,hang'bei'tou
夯拨郎当,hang'bo'lang'dang
好出色,hao'chu'se
好哉,hao'zai
和调,he'diao
黑踢莫塔,hei'ti'mo'ta
横戳枪,heng'chuo'qiang
喖咙,hu'long
淴浴,hu'yu
搳拳,hua'quan
豁边,huo'bian
镬子,huo'zi
急撑棚,ji'cheng'peng
辑觅,ji'mi
鸡搧膀,ji'shan'bang
鸡膯,ji'tun
假痴假呆,jia'chi'jia'dai
家生,jia'sheng
家主婆,jia'zhu'po
搛菜,jian'cai
肩胛,jian'jia
讲则,jiang'ze
讲章,jiang'zhang
交关,jiao'guan
结葛缕多,jie'ge'lv'duo
结棍,jie'gun
筋韧,jin'ren
颈根,jing'gen
囥起来,kang'qi'lai
壳帐,ke'zhang
困觉,kun'jiao
困一寣,kun'yi'hu
蜡蜡黄,la'la'huang
老鬼三,lao'gui'san
勒稻树头,le'dao'shu'tou
勒嘿,le'hei
勒啷,le'lang
乐脉,le'mai
累堆,lei'dui
俚搭,li'da
扚人,li'ren
里向,li'xiang
连刀切,lian'dao'qie
六月债还得快,liu'yue'zhai'hai'de'kuai
乱念三官经,luan'nian'san'guan'jing
纶衣裳,lun'yi'shang
卖野人头,mai'ye'ren'tou
毛病出勒董浜,mao'bing'chu'le'dong'bang
渳渳老酒,mi'mi'lao'jiu
米糁,mi'shen
蔑屑,mie'xie
模模,mo'mo
哪亨,na'heng
哪能,na'neng
倷笃,nai'du
囡儿,nan'er
粘手货,nian'shou'huo
弄怂,nong'song
浓油赤酱,nong'you'chi'jiang
派喇,pai'la
拚得,pan'de
跑一埭,pao'yi'dai
喷蛆,pen'qu
蟛蜞,peng'qi
撇汤油,pie'tang'you
潽出来,pu'chu'lai
齐巧,qi'qiao
七猪八牛,qi'zhu'ba'niu
掮皮箱,qian'pi'xiang
敲钉转脚,qiao'ding'zhuan'jiao
揿牢,qin'lao
青肚皮猢狲,qing'du'pi'hu'sun
青头,qing'tou
恘人,qiu'ren
热吹颇烫,re'chui'po'tang
热昏,re'hun
日朝,ri'chao
肉里钿,rou'li'dian
啥个,sha'ge
稍微,shao'wei
奢遮,she'zhe
伸后脚,shen'hou'jiao
生活,sheng'huo
实梗,shi'geng
事体,shi'ti
适意,shi'yi
收作,shou'zuo
书包翻身,shu'bao'fan'shen
私弊夹帐,si'bi'jia'zhang
死猫活贼,si'mao'huo'zei
搨累,ta'lei
搨眼药,ta'yan'yao
堂娘娘,tang'niang'niang
挑发,tiao'fa
铜钿,tong'dian
投五投六,tou'wu'tou'liu
抟纸头,tuan'zhi'tou
氽了水面上,tun'le'shui'mian'shang
毻毛,tuo'mao
托人托了王伯伯,tuo'ren'tuo'le'wang'bo'bo
脱掭,tuo'tian
搲一把,wa'yi'ba
完秀,wan'xiu
王六,wang'liu
脗缝,wen'feng
殟塞,wen'sai
窝色,wo'se
嬉讶,xi'ya
瞎七搭八,xia'qi'da'ba
闲话,xian'hua
像煞,xiang'sha
踃地光,xiao'di'guang
小竖子,xiao'shu'zi
小细娘,xiao'xi'niang
邪气,xie'qi
宣宣红,xuan'xuan'hong
雪雪白,xue'xue'bai
寻着蕈窠,xun'zhe'xun'ke
挜给,ya'gei
偃长短,yan'chang'duan
眼红,yan'hong
眼热,yan're
一坒,yi'bi
一埭里,yi'dai'li
一埭字,yi'dai'zi
一对搭拉苏,yi'dui'da'la'su
一趸当,yi'dun'dang
一塌刮子,yi'ta'gua'zi
一渧水,yi'ti'shui
因头,yin'tou
造僭,zao'jian
照牌头,zhao'pai'tou
真玓瓅,zhen'di'li
篫齐,zhu'qi
斫柴,zhuo'chai
捉死蟹,zhuo'si'xie
作成,zuo'cheng
做人家,zuo'ren'jia
做啥嗄,zuo'sha'a
作兴,zuo'xing
做则,zuo'ze
