卑南,bei'nan
长滨,chang'bin
成功镇,cheng'gong'zhen
池上,chi'shang
初鹿,chu'lu
初屯,chu'tun
大埔村,da'bu'cun
大鸟,da'niao
大桥,da'qiao
达仁,da'ren
大武,da'wu
大竹村,da'zhu'cun
电光里,dian'guang'li
顶永丰,ding'yong'feng
东河,dong'he
多良,duo'liang
丰里村,feng'li'cun
丰田,feng'tian
富岗,fu'gang
富隆,fu'long
富兴村,fu'xing'cun
富兴山,fu'xing'shan
高台,gao'tai
关山镇,guan'shan'zhen
海端,hai'duan
和平村,he'ping'cun
红石,hong'shi
红叶村,hong'ye'cun
嘉丰村,jia'feng'cun
加拿村,jia'na'cun
嘉平,jia'ping
嘉武,jia'wu
金峰,jin'feng
锦园村,jin'yuan'cun
金樽,jin'zun
郡界,jun'jie
咖啡园,ka'fei'yuan
康乐里,kang'le'li
客庄,ke'zhuang
兰屿,lan'yu
鲤鱼山,li'yu'shan
隆昌村,long'chang'cun
龙泉,long'quan
龙田村,long'tian'cun
鹿鸣,lu'ming
鹿野,lu'ye
马马尾,ma'ma'wei
梅山,mei'shan
美山,mei'shan
南坑,nan'keng
南田村,nan'tian'cun
南溪,nan'xi
南兴,nan'xing
宁浦,ning'pu
彭佳屿,peng'jia'yu
前寮,qian'liao
清水,qing'shui
瑞丰,rui'feng
三和村,san'he'cun
山里,shan'li
上大溪,shang'da'xi
上建和,shang'jian'he
石山,shi'shan
泰安村,tai'an'cun
台东县,tai'dong'xian
泰和村,tai'he'cun
太麻里,tai'ma'li
土坂村,tu'ban'cun
拖狗,tuo'gou
武陵村,wu'ling'cun
下槟榔,xia'bing'lang
小马,xiao'ma
新丰,xin'feng
新港山,xin'gang'shan
新化村,xin'hua'cun
新良,xin'liang
新武,xin'wu
新兴村,xin'xing'cun
信义里,xin'yi'li
延平,yan'ping
岩湾,yan'wan
永安村,yong'an'cun
永康村,yong'kang'cun
永乐里,yong'le'li
月眉,yue'mei
真柄,zhen'bing
振兴村,zhen'xing'cun
知本,zhi'ben
知本温泉,zhi'ben'wen'quan
中福,zhong'fu
