阿巴顿,a'ba'dun
阿塔克,a'ta'ke
爱丽丝,ai'li'si
黯晶,an'jing
黯晶套装,an'jing'tao'zhuang
奥修斯,ao'xiu'si
巴尔,ba'er
巴雷特嘉年华,ba'lei'te'jia'nian'hua
白羊座,bai'yang'zuo
白钻,bai'zuan
匕首,bi'shou
缤纷魔幻,bin'fen'mo'huan
冰与火套装,bing'yu'huo'tao'zhuang
波形战刃,bo'xing'zhan'ren
裁决,cai'jue
叉子,cha'zi
赤龙之牙,chi'long'zhi'ya
处女座,chu'nv'zuo
锤子,chui'zi
迪奥,di'ao
地雷,di'lei
电爆枪雷神,dian'bao'qiang'lei'shen
点券,dian'quan
夺魂之镰,duo'hun'zhi'lian
恶魔手雷,e'mo'shou'lei
梵汶黛尔,fan'wen'dai'er
飞行雷,fei'xing'lei
凤翎,feng'ling
凤舞,feng'wu
封印战锤,feng'yin'zhan'chui
钢铁豆娃,gang'tie'dou'wa
诡秘之殇,gui'mi'zhi'shang
海格薇,hai'ge'wei
悍战左轮,han'zhan'zuo'lun
蝴蝶刀,hu'die'dao
蝴蝶刀黑金,hu'die'dao'hei'jin
幻影,huan'ying
辉煌,hui'huang
加百列,jia'bai'lie
嘉年华,jia'nian'hua
加特林雷霆,jia'te'lin'lei'ting
僵尸,jiang'shi
金牛座,jin'niu'zuo
禁区,jin'qu
巨蟹座,ju'xie'zuo
卡牌,ka'pai
卡特罗,ka'te'luo
兰图,lan'tu
老母体,lao'mu'ti
雷明顿,lei'ming'dun
蕾娜,lei'na
雷神之怒,lei'shen'zhi'nu
雷神之怒圣裁,lei'shen'zhi'nu'sheng'cai
雷腾,lei'teng
丽奈,li'nai
礼券,li'quan
龙钢重剑,long'gang'zhong'jian
龙骑兵,long'qi'bing
路西法,lu'xi'fa
洛克,luo'ke
螺旋双峰,luo'xuan'shuang'feng
绿钻,lv'zuan
马来剑,ma'lai'jian
马来剑黑金,ma'lai'jian'hei'jin
灭魔圣翼,mie'mo'sheng'yi
灭世,mie'shi
命运,ming'yun
魔剑,mo'jian
摩羯座,mo'jie'zuo
魔蛇,mo'she
魔蛇之瞳,mo'she'zhi'tong
娜塔莉亚,na'ta'li'ya
尼泊尔,ni'bo'er
逆鳞,ni'lin
泡泡水枪,pao'pao'shui'qiang
喷喷水枪,pen'pen'shui'qiang
破晓帝,po'xiao'di
破晓君,po'xiao'jun
气锤嘉年华,qi'chui'jia'nian'hua
欺霜,qi'shuang
青芒钢翼,qing'mang'gang'yi
燃烧瓶,ran'shao'ping
荣耀,rong'yao
荣耀电玩,rong'yao'dian'wan
萨维奇,sa'wei'qi
傻比,sha'bi
沙利尔,sha'li'er
沙漠之鹰冰与火,sha'mo'zhi'ying'bing'yu'huo
闪灵,shan'ling
摄魂,she'hun
射手座,she'shou'zuo
神木弓,shen'mu'gong
收割者,shou'ge'zhe
曙光,shu'guang
双发短弩,shuang'fa'duan'nu
双生冰与火,shuang'sheng'bing'yu'huo
水瓶座,shui'ping'zuo
斯特拉,si'te'la
碎星灭,sui'xing'mie
碎星破,sui'xing'po
钛能护臂,tai'neng'hu'bi
特瑞,te'rui
天秤座,tian'cheng'zuo
痛苦女王,tong'ku'nv'wang
无畏冰与火,wu'wei'bing'yu'huo
希尔达,xi'er'da
希望电玩,xi'wang'dian'wan
希望圣光,xi'wang'sheng'guang
吸血鬼,xi'xue'gui
小僵尸,xiao'jiang'shi
信念血与光,xin'nian'xue'yu'guang
熊猫背包,xiong'mao'bei'bao
玄冰剑,xuan'bing'jian
血钻,xue'zuan
亚瑟,ya'se
夜幕黯晶,ye'mu'an'jing
影刃黯晶,ying'ren'an'jing
勇气,yong'qi
勇气狮心,yong'qi'shi'xin
狱龙破,yu'long'po
远古战斧,yuan'gu'zhan'fu
灾星黯晶,zai'xing'an'jing
真龙,zhen'long
炙冰燃,zhi'bing'ran
炙冰霜,zhi'bing'shuang
重型手雷,zhong'xing'shou'lei
朱雀炎轮,zhu'que'yan'lun
