半永久修复,ban'yong'jiu'xiu'fu
标准轨距,biao'zhun'gui'ju
拆装式金属结构梁,chai'zhuang'shi'jin'shu'jie'gou'liang
拆装式金属结构桥墩,chai'zhuang'shi'jin'shu'jie'gou'qiao'dun
厂矿企业专用线,chang'kuang'qi'ye'zhuan'yong'xian
车站,che'zhan
次重型,ci'zhong'xing
单线铁路,dan'xian'tie'lu
道岔,dao'cha
道床,dao'chuang
道床厚度,dao'chuang'hou'du
到发线,dao'fa'xian
电工机械,dian'gong'ji'xie
调车线,diao'che'xian
反轰炸,fan'hong'zha
反轰炸抢修,fan'hong'zha'qiang'xiu
反遮断,fan'zhe'duan
防爬,fang'pa
防爬设备,fang'pa'she'bei
浮动基础,fu'dong'ji'chu
浮渡,fu'du
浮桥器材,fu'qiao'qi'cai
复线铁路,fu'xian'tie'lu
干线,gan'xian
钢轨,gang'gui
钢轨重量,gang'gui'zhong'liang
钢筋机械,gang'jin'ji'xie
高路堤,gao'lu'di
管区,guan'qu
轨道,gui'dao
轨距,gui'ju
轨枕,gui'zhen
轨枕根数,gui'zhen'gen'shu
涵洞,han'dong
合并运转,he'bing'yun'zhuan
横向铁路,heng'xiang'tie'lu
环形铁路线路,huan'xing'tie'lu'xian'lu
环形线,huan'xing'xian
混凝土机械,hun'ning'tu'ji'xie
机车,ji'che
简易铁路轮渡,jian'yi'tie'lu'lun'du
建筑器材,jian'zhu'qi'cai
军事专用线,jun'shi'zhuan'yong'xian
军用梁,jun'yong'liang
军用桥墩,jun'yong'qiao'dun
扣件,kou'jian
力争确保线,li'zheng'que'bao'xian
路基,lu'ji
木工机械,mu'gong'ji'xie
木排架,mu'pai'jia
配线,pei'xian
起重运输机械,qi'zhong'yun'shu'ji'xie
牵出线,qian'chu'xian
前进抢修,qian'jin'qiang'xiu
抢修,qiang'xiu
抢修列车,qiang'xiu'lie'che
桥渡,qiao'du
桥梁,qiao'liang
桥梁器材,qiao'liang'qi'cai
桥梁水工机械,qiao'liang'shui'gong'ji'xie
轻微破坏,qing'wei'po'huai
轻型,qing'xing
全国铁路网,quan'guo'tie'lu'wang
确保线,que'bao'xian
深路堑,shen'lu'qian
隧道,sui'dao
隧道石方机械,sui'dao'shi'fang'ji'xie
铁道兵,tie'dao'bing
铁道兵师,tie'dao'bing'shi
铁路保障,tie'lu'bao'zhang
铁路保障地段,tie'lu'bao'zhang'di'duan
铁路保障计划,tie'lu'bao'zhang'ji'hua
铁路保障战略预备队,tie'lu'bao'zhang'zhan'lue'yu'bei'dui
铁路保障重点,tie'lu'bao'zhang'zhong'dian
铁路便桥,tie'lu'bian'qiao
铁路便栈,tie'lu'bian'zhan
铁路地段,tie'lu'di'duan
铁路反遮断,tie'lu'fan'zhe'duan
铁路浮桥,tie'lu'fu'qiao
铁路干线,tie'lu'gan'xian
铁路工程技术保障任务,tie'lu'gong'cheng'ji'shu'bao'zhang'ren'wu
铁路工程机械,tie'lu'gong'cheng'ji'xie
铁路工程器材,tie'lu'gong'cheng'qi'cai
铁路环形线,tie'lu'huan'xing'xian
铁路技术工程保障,tie'lu'ji'shu'gong'cheng'bao'zhang
铁路建设,tie'lu'jian'she
铁路建筑物,tie'lu'jian'zhu'wu
铁路轮渡,tie'lu'lun'du
铁路密度,tie'lu'mi'du
铁路抢建,tie'lu'qiang'jian
铁路抢修,tie'lu'qiang'xiu
铁路抢修方案,tie'lu'qiang'xiu'fang'an
铁路抢修技术标准,tie'lu'qiang'xiu'ji'shu'biao'zhun
铁路抢修能力,tie'lu'qiang'xiu'neng'li
铁路抢修预备队,tie'lu'qiang'xiu'yu'bei'dui
铁路抢运,tie'lu'qiang'yun
铁路轻微破坏,tie'lu'qing'wei'po'huai
铁路区段,tie'lu'qu'duan
铁路区间,tie'lu'qu'jian
铁路枢纽,tie'lu'shu'niu
铁路通过能力,tie'lu'tong'guo'neng'li
铁路网,tie'lu'wang
铁路网密度,tie'lu'wang'mi'du
铁路维修,tie'lu'wei'xiu
铁路线保障分类,tie'lu'xian'bao'zhang'fen'lei
铁路修复,tie'lu'xiu'fu
铁路严重破坏,tie'lu'yan'zhong'po'huai
铁路迂回线,tie'lu'yu'hui'xian
铁路运输,tie'lu'yun'shu
铁路运输军事管理,tie'lu'yun'shu'jun'shi'guan'li
铁路遮断,tie'lu'zhe'duan
铁路侦察,tie'lu'zhen'cha
铁路支线,tie'lu'zhi'xian
铁路中等破坏,tie'lu'zhong'deng'po'huai
铁路重点目标,tie'lu'zhong'dian'mu'biao
铁路舟桥,tie'lu'zhou'qiao
铁路舟桥部队,tie'lu'zhou'qiao'bu'dui
铁路舟桥器材,tie'lu'zhou'qiao'qi'cai
铁路专用线,tie'lu'zhuan'yong'xian
通车小时,tong'che'xiao'shi
通信器材,tong'xin'qi'cai
通信信号设施,tong'xin'xin'hao'she'shi
现场指挥所,xian'chang'zhi'hui'suo
线路封锁,xian'lu'feng'suo
线路开通,xian'lu'kai'tong
线路土方机械,xian'lu'tu'fang'ji'xie
续行行车,xu'xing'xing'che
严重破坏,yan'zhong'po'huai
一般保障线,yi'ban'bao'zhang'xian
一般重点线,yi'ban'zhong'dian'xian
应急修复,ying'ji'xiu'fu
永久修复,yong'jiu'xiu'fu
迂回线,yu'hui'xian
运输管理,yun'shu'guan'li
窄轨,zhai'gui
