阿德里亚,a'de'li'ya
阿尔亚黑鹰,a'er'ya'hei'ying
阿骨,a'gu
阿惑,a'huo
阿勒山,a'le'shan
阿力安,a'li'an
阿力木,a'li'mu
阿丽斯,a'li'si
阿娜莎,a'na'sha
阿萨,a'sa
阿萨禾帝,a'sa'he'di
阿史德,a'shi'de
阿诗慕,a'shi'mu
阿斯曼,a'si'man
阿斯特拉,a'si'te'la
阿西伊,a'xi'yi
阿依珊,a'yi'shan
阿扎特,a'zha'te
阿珍,a'zhen
艾帝武,ai'di'wu
埃勒斯,ai'le'si
艾维,ai'wei
艾维船长,ai'wei'chuan'zhang
安蒂诺克,an'di'nuo'ke
暗金,an'jin
安那托利亚语,an'na'tuo'li'ya'yu
安特洛普,an'te'luo'pu
暗之雾,an'zhi'wu
巴巴鲁嘟,ba'ba'lu'du
霸都,ba'dou
八极,ba'ji
巴卡,ba'ka
巴拉斯,ba'la'si
巴罗伊,ba'luo'yi
巴日提,ba'ri'ti
八套,ba'tao
巴特洛,ba'te'luo
巴吾尔江,ba'wu'er'jiang
巴赞,ba'zan
拜帝,bai'di
百夫长,bai'fu'zhang
白虎小昊,bai'hu'xiao'hao
白虎阵,bai'hu'zhen
百里革,bai'li'ge
白马寺,bai'ma'si
白毛巨人,bai'mao'ju'ren
白面蛛,bai'mian'zhu
柏萨卢斯,bai'sa'lu'si
白蛇白灵,bai'she'bai'ling
败天,bai'tian
白鹰,bai'ying
白玉,bai'yu
拜占庭,bai'zhan'ting
暴焕,bao'huan
宝力格,bao'li'ge
爆烈箭,bao'lie'jian
暴灭,bao'mie
暴燃术,bao'ran'shu
暴雪,bao'xue
暴焰,bao'yan
暴焰波,bao'yan'bo
暴焰魂,bao'yan'hun
北邙山,bei'mang'shan
背水,bei'shui
奔雷步,ben'lei'bu
本源,ben'yuan
壁流,bi'liu
必杀剑,bi'sha'jian
镖服,biao'fu
标记,biao'ji
镖旗,biao'qi
镖师,biao'shi
冰壁术,bing'bi'shu
兵丁,bing'ding
冰缚,bing'fu
冰魂,bing'hun
冰极,bing'ji
冰密,bing'mi
冰女,bing'nv
冰魄,bing'po
冰气,bing'qi
冰气攻击,bing'qi'gong'ji
冰气护体,bing'qi'hu'ti
兵器厅,bing'qi'ting
冰蛇,bing'she
冰慑,bing'she
冰神之女,bing'shen'zhi'nv
冰系,bing'xi
冰炎,bing'yan
冰玉,bing'yu
冰云,bing'yun
泊船地,bo'chuan'di
伯岳吾,bo'yue'wu
布肩,bu'jian
布克拉,bu'ke'la
布莱克,bu'lai'ke
步利,bu'li
布力干德,bu'li'gan'de
布帽,bu'mao
布尼斯,bu'ni'si
布袍,bu'pao
布手,bu'shou
布头,bu'tou
布腿,bu'tui
布鞋,bu'xie
布胸,bu'xiong
残月,can'yue
藏鬼,cang'gui
沧极,cang'ji
苍龙,cang'long
曹留影,cao'liu'ying
侧殿,ce'dian
嘲讽,chao'feng
超越,chao'yue
陈坚,chen'jian
沉舟,chen'zhou
赤塔,chi'ta
赤蝎,chi'xie
赤炎花,chi'yan'hua
赤眼魔,chi'yan'mo
重头,chong'tou
宠物双,chong'wu'shuang
穿云,chuan'yun
慈恩寺,ci'en'si
翠花,cui'hua
崔平,cui'ping
寸雷,cun'lei
大安塔,da'an'ta
大刀,da'dao
大梦敦煌,da'meng'dun'huang
大唐盛世,da'tang'sheng'shi
大瓦力,da'wa'li
大雄殿,da'xiong'dian
大眼,da'yan
袋鼠,dai'shu
单手,dan'shou
稻草精,dao'cao'jing
道服,dao'fu
道肩,dao'jian
道帽,dao'mao
道手,dao'shou
道头,dao'tou
道腿,dao'tui
道鞋,dao'xie
道胸,dao'xiong
盗贼,dao'zei
盗贼村,dao'zei'cun
德弥特洛,de'mi'te'luo
蒂娜,di'na
地系,di'xi
地震,di'zhen
电刃,dian'ren
电系,dian'xi
点穴术,dian'xue'shu
定慧,ding'hui
都伦日,dou'lun'ri
毒露蛇鳞,du'lu'she'lin
毒沙蛛,du'sha'zhu
独眼,du'yan
钝化,dun'hua
敦煌,dun'huang
盾术强化,dun'shu'qiang'hua
恶灵,e'ling
贰霜,er'shuang
二套,er'tao
发火术,fa'huo'shu
法空,fa'kong
法贤,fa'xian
法杖,fa'zhang
反解真经,fan'jie'zhen'jing
防盾术,fang'dun'shu
防具,fang'ju
防卷,fang'juan
房玄龄,fang'xuan'ling
飞虫,fei'chong
飞虎,fei'hu
飞花,fei'hua
飞剑,fei'jian
绯瑾,fei'jin
飞龙,fei'long
飞天门,fei'tian'men
飞天神功,fei'tian'shen'gong
飞天双鳞剑,fei'tian'shuang'lin'jian
飞影,fei'ying
飞贼,fei'zei
飞贼团,fei'zei'tuan
飞贼团要塞,fei'zei'tuan'yao'sai
风华绝代,feng'hua'jue'dai
烽火,feng'huo
风门,feng'men
风起云涌,feng'qi'yun'yong
蜂矢,feng'shi
冯寿,feng'shou
冯轩,feng'xuan
风影,feng'ying
风云,feng'yun
冯掌柜,feng'zhang'gui
风之村落,feng'zhi'cun'luo
风之蛇,feng'zhi'she
富村,fu'cun
复活心诀,fu'huo'xin'jue
膏肓,gao'huang
格奥里文,ge'ao'li'wen
哥布林,ge'bu'lin
哥纳玛,ge'na'ma
攻卷,gong'juan
古力,gu'li
古力亚,gu'li'ya
古尼莎,gu'ni'sha
固炎,gu'yan
挂机克星,gua'ji'ke'xing
怪力,guai'li
光环,guang'huan
鬼兵,gui'bing
归魂,gui'hun
归灵,gui'ling
鬼面,gui'mian
鬼面虫,gui'mian'chong
归命,gui'ming
鬼枪术,gui'qiang'shu
鬼神,gui'shen
归生,gui'sheng
鬼生花,gui'sheng'hua
