彩楼春又名抛球乐,cai'lou'chun'you'ming'pao'qiu'le
出队子,chu'dui'zi
刮地风,gua'di'feng
刮地风犯,gua'di'feng'fan
黄钟宫,huang'zhong'gong
降黄龙衮,jiang'huang'long'gun
接接高,jie'jie'gao
节节高犯,jie'jie'gao'fan
九条龙,jiu'tiao'long
六么令,liu'me'ling
柳叶儿亦入双调,liu'ye'er'yi'ru'shuang'diao
女冠子,nv'guan'zi
倾杯序,qing'bei'xu
塞雁儿,sai'yan'er
神仗儿犯,shen'zhang'er'fan
神仗儿后,shen'zhang'er'hou
神仗儿亦入南吕,shen'zhang'er'yi'ru'nan'lv
侍香金童,shi'xiang'jin'tong
水仙,shui'xian
四门子,si'men'zi
天净沙,tian'jing'sha
文如锦,wen'ru'jin
喜迁莺,xi'qian'ying
兴隆引又名兴龙引,xing'long'yin'you'ming'xing'long'yin
愿成双,yuan'cheng'shuang
寨儿令,zhai'er'ling
者刺古,zhe'ci'gu
昼夜乐,zhou'ye'le
醉花阴,zui'hua'yin
