挨黑打,ai'hei'da
挨球,ai'qiu
挨球了,ai'qiu'le
挨头子,ai'tou'zi
安得儿逸,an'de'er'yi
暗起,an'qi
安逸,an'yi
安逸得,an'yi'de
傲起,ao'qi
坝坝,ba'ba
粑粑,ba'ba
巴巴掌,ba'ba'zhang
巴不得,ba'bu'de
霸道,ba'dao
粑倒烫,ba'dao'tang
爸儿,ba'er
粑耳朵,ba'er'duo
耙红苕,ba'hong'shao
粑活,ba'huo
耙活,ba'huo
巴结,ba'jie
巴结狗儿,ba'jie'gou'er
巴连不得,ba'lian'bu'de
巴适,ba'shi
粑伊儿,ba'yi'er
耙伊儿,ba'yi'er
把住,ba'zhu
掰掰儿,bai'bai'er
白逛逛,bai'guang'guang
白伙食,bai'huo'shi
白火石,bai'huo'shi
白卡卡,bai'ka'ka
摆龙门阵,bai'long'men'zhen
摆牌子,bai'pai'zi
白眼油,bai'yan'you
拜子,bai'zi
掰子,bai'zi
白嘴儿,bai'zui'er
板板,ban'ban
拌壳儿,ban'ke'er
板命,ban'ming
拌桶,ban'tong
半中断腰,ban'zhong'duan'yao
梆梆车,bang'bang'che
帮臭,bang'chou
帮干忙,bang'gan'mang
帮紧,bang'jin
棒客,bang'ke
棒老二,bang'lao'er
帮硬,bang'ying
帮重,bang'zhong
宝宝器器,bao'bao'qi'qi
爆肚子,bao'du'zi
宝儿,bao'er
宝儿宝儿,bao'er'bao'er
包谷,bao'gu
抱鸡婆,bao'ji'po
宝器,bao'qi
宝气,bao'qi
宝塞塞,bao'sai'sai
保险,bao'xian
爆眼子,bao'yan'zi
背时,bei'shi
绷起,beng'qi
边花儿,bian'hua'er
标得,biao'de
标跟我,biao'gen'wo
标喊,biao'han
标喊我,biao'han'wo
标来,biao'lai
标了,biao'le
标切,biao'qie
标走,biao'zou
憋憋,bie'bie
憋慌了,bie'huang'le
憋遭,bie'zao
冰粉儿,bing'fen'er
冰欠,bing'qian
钵钵鸡,bo'bo'ji
钵钵肉,bo'bo'rou
不摆了,bu'bai'le
不存在,bu'cun'zai
不经事,bu'jing'shi
不开腔,bu'kai'qiang
不罗教,bu'luo'jiao
不落教,bu'luo'jiao
不孃,bu'niang
不球懂,bu'qiu'dong
不认黄,bu'ren'huang
不识疼,bu'shi'teng
不甩识,bu'shuai'shi
不胎害,bu'tai'hai
不虚你,bu'xu'ni
擦黑,ca'hei
踩假水,cai'jia'shui
藏猫儿,cang'mao'er
苍蝇儿,cang'ying'er
苍蝇儿馆子,cang'ying'er'guan'zi
苍蝇馆子,cang'ying'guan'zi
苍蝇屎,cang'ying'shi
螬虫,cao'chong
操哥,cao'ge
操社会,cao'she'hui
操油说,cao'you'shuo
草纸,cao'zhi
草猪,cao'zhu
叉叉,cha'cha
叉叉裤,cha'cha'ku
衩衩裤,cha'cha'ku
查渣面,cha'zha'mian
铲铲,chan'chan
颤翎子,chan'ling'zi
缠头儿,chan'tou'er
场坝头,chang'ba'tou
长虫,chang'chong
长杆子,chang'gan'zi
长毛兔,chang'mao'tu
超哥,chao'ge
扯把子,che'ba'zi
扯白撩谎,che'bai'liao'huang
扯布,che'bu
扯称,che'cheng
扯垛子,che'duo'zi
扯个幌子,che'ge'huang'zi
扯拐,che'guai
扯过来,che'guo'lai
扯过切,che'guo'qie
扯过去,che'guo'qu
扯忽闪,che'hu'shan
扯环筋,che'huan'jin
扯谎,che'huang
扯谎俩白,che'huang'lia'bai
扯火闪,che'huo'shan
扯筋,che'jin
扯筋郭孽,che'jin'guo'nie
扯开,che'kai
扯了,che'le
扯马股,che'ma'gu
扯扑汗,che'pu'han
