澳科,ao'ke
澳鳾科,ao'shi'ke
澳鸦科,ao'ya'ke
八色鸫科,ba'se'dong'ke
霸鹟科,ba'weng'ke
百灵科,bai'ling'ke
斑食蜜鸟科,ban'shi'mi'niao'ke
鸨科,bao'ke
鹎科,bei'ke
伯劳科,bo'lao'ke
彩鹬科,cai'yu'ke
草鸮科,cao'xiao'ke
长尾山雀科,chang'wei'shan'que'ke
嘲鸫科,chao'dong'ke
齿鹑科,chi'chun'ke
鸱鸮科,chi'xiao'ke
垂耳鸦科,chui'er'ya'ke
锤头鹳科,chui'tou'guan'ke
鹑鸫科,chun'dong'ke
刺鹩科,ci'liao'ke
刺尾鸫科,ci'wei'dong'ke
刺嘴莺科,ci'zui'ying'ke
丛鵙科,cong'ju'ke
窜鸟科,cuan'niao'ke
翠鴗科,cui'li'ke
翠鸟科,cui'niao'ke
戴菊科,dai'ju'ke
戴胜科,dai'sheng'ke
戴胜目,dai'sheng'mu
地三宝鸟科,di'san'bao'niao'ke
鸫科,dong'ke
杜鹃科,du'juan'ke
短尾鴗科,duan'wei'li'ke
短嘴旋木雀科,duan'zui'xuan'mu'que'ke
鹗科,e'ke
鸸鹋科,er'miao'ke
反嘴鹬科,fan'zui'yu'ke
非洲食蜜鸟科,fei'zhou'shi'mi'niao'ke
凤冠雉科,feng'guan'zhi'ke
蜂虎科,feng'hu'ke
蜂鸟科,feng'niao'ke
蜂鸟目,feng'niao'mu
凤头鹦鹉科,feng'tou'ying'wu'ke
凤头雨燕科,feng'tou'yu'yan'ke
佛法僧科,fo'fa'seng'ke
佛法僧目,fo'fa'seng'mu
割草鸟科,ge'cao'niao'ke
鸽形目,ge'xing'mu
钩嘴鵙科,gou'zui'ju'ke
鹳科,guan'ke
管舌鸟科,guan'she'niao'ke
鹳形目,guan'xing'mu
冠啄果鸟科,guan'zhuo'guo'niao'ke
海雀科,hai'que'ke
海燕科,hai'yan'ke
鹤科,he'ke
和平鸟科,he'ping'niao'ke
鹤鸵科,he'tuo'ke
鹤鸵目,he'tuo'mu
河乌科,he'wu'ke
鹤形目,he'xing'mu
鸻科,heng'ke
鸻形目,heng'xing'mu
红鹤科,hong'he'ke
红鹤目,hong'he'mu
鸌科,hu'ke
鸌形目,hu'xing'mu
画眉科,hua'mei'ke
花蜜鸟科,hua'mi'niao'ke
鹮科,huan'ke
鹮嘴鹬科,huan'zui'yu'ke
黄鹂科,huang'li'ke
火鸡科,huo'ji'ke
极乐鸟科,ji'le'niao'ke
鹡鸰科,ji'ling'ke
棘头鵙科,ji'tou'ju'ke
几维目,ji'wei'mu
鸡形目,ji'xing'mu
尖喙鸟科,jian'hui'niao'ke
鲣鸟科,jian'niao'ke
剪嘴鸥科,jian'zui'ou'ke
叫鹤科,jiao'he'ke
蕉鹃科,jiao'juan'ke
鹪鹩科,jiao'liao'ke
娇鹟科,jiao'weng'ke
叫鸭科,jiao'ya'ke
鲸头鹳科,jing'tou'guan'ke
鸠鸽科,jiu'ge'ke
巨嘴鸟科,ju'zui'niao'ke
鹃三宝鸟科,juan'san'bao'niao'ke
卷尾科,juan'wei'ke
鹃形目,juan'xing'mu
军舰鸟科,jun'jian'niao'ke
盔鵙科,kui'ju'ke
阔嘴鸟科,kuo'zui'niao'ke
喇叭声鹤科,la'ba'sheng'he'ke
蛎鹬科,li'yu'ke
连雀科,lian'que'ke
椋鸟科,liang'niao'ke
鴷雀科,lie'que'ke
鴷形目,lie'xing'mu
林鸱科,lin'chi'ke
林戴胜科,lin'dai'sheng'ke
领鹑科,ling'chun'ke
鸬鹚科,lu'ci'ke
鹭鹤科,lu'he'ke
鹭科,lu'ke
鹭鹰科,lu'ying'ke
裸鼻鸱科,luo'bi'chi'ke
裸鼻雀科,luo'bi'que'ke
裸眉鸫科,luo'mei'dong'ke
绿森莺科,lv'sen'ying'ke
蟆口鸱科,ma'kou'chi'ke
梅花雀科,mei'hua'que'ke
美洲鹫科,mei'zhou'jiu'ke
美洲雀科,mei'zhou'que'ke
美洲鸵鸟科,mei'zhou'tuo'niao'ke
美洲鸵鸟目,mei'zhou'tuo'niao'mu
鹲科,meng'ke
拟鹑科,ni'chun'ke
拟鹂科,ni'li'ke
鸥科,ou'ke
攀雀科,pan'que'ke
蓬头鴷科,peng'tou'lie'ke
企鹅科,qi'e'ke
企鹅目,qi'e'mu
潜鸟科,qian'niao'ke
潜鸟目,qian'niao'mu
鞘嘴鸥科,qiao'zui'ou'ke
琴鸟科,qin'niao'ke
鸲鹟科,qu'weng'ke
曲嘴森莺科,qu'zui'sen'ying'ke
雀鹎科,que'bei'ke
雀科,que'ke
鹊鹩科,que'liao'ke
雀形目,que'xing'mu
日鳽科,ri'zhan'ke
蚋莺科,rui'ying'ke
伞鸟科,san'niao'ke
三趾鹑科,san'zhi'chun'ke
森莺科,sen'ying'ke
沙鸡科,sha'ji'ke
沙鸡目,sha'ji'mu
山椒鸟科,shan'jiao'niao'ke
山雀科,shan'que'ke
扇尾莺科,shan'wei'ying'ke
蛇鹈科,she'ti'ke
麝雉科,she'zhi'ke
麝雉目,she'zhi'mu
石鸻科,shi'heng'ke
鳾科,shi'ke
食蚊鸟科,shi'wen'niao'ke
鼠鸟科,shu'niao'ke
鼠鸟目,shu'niao'mu
水雉科,shui'zhi'ke
丝鹟科,si'weng'ke
松鸡科,song'ji'ke
薮鸟科,sou'niao'ke
隼科,sun'ke
隼形目,sun'xing'mu
太平鸟科,tai'ping'niao'ke
鹈鹕科,ti'hu'ke
鹈形目,ti'xing'mu
鹈燕科,ti'yan'ke
鸵鸟科,tuo'niao'ke
鸵鸟目,tuo'niao'mu
弯嘴鹛科,wan'zui'mei'ke
王鹟科,wang'weng'ke
维达雀科,wei'da'que'ke
纹旋木雀科,wen'xuan'mu'que'ke
鹟科,weng'ke
鹟鴷科,weng'lie'ke
鹀科,wu'ke
无翼科,wu'yi'ke
无翼目,wu'yi'mu
吸蜜鸟科,xi'mi'niao'ke
犀鸟科,xi'niao'ke
犀鸟目,xi'niao'mu
细尾鹩莺科,xi'wei'liao'ying'ke
响蜜鴷科,xiang'mi'lie'ke
啸鹟科,xiao'weng'ke
鸮形目,xiao'xing'mu
蟹鸻科,xie'heng'ke
信天翁科,xin'tian'weng'ke
形目,xing'mu
绣眼鸟科,xiu'yan'niao'ke
须鴷科,xu'lie'ke
旋壁雀科,xuan'bi'que'ke
旋木雀科,xuan'mu'que'ke
鸦科,ya'ke
鸭科,ya'ke
鸦雀科,ya'que'ke
燕鸻科,yan'heng'ke
燕鵙科,yan'ju'ke
燕科,yan'ke
岩鹨科,yan'liu'ke
岩鹛科,yan'mei'ke
燕鸥科,yan'ou'ke
燕雀科,yan'que'ke
雁形目,yan'xing'mu
