拜日望,bai'ri'wang
查干萨仁,cha'gan'sa'ren
插种节,cha'zhong'jie
朝山会,chao'shan'hui
吃新节,chi'xin'jie
虫王节,chong'wang'jie
达玛节,da'ma'jie
达努节,da'nu'jie
刀杆节,dao'gan'jie
德里哇,de'li'wa
斗牛节,dou'niu'jie
俄喜节,e'xi'jie
干巴节,gan'ba'jie
赶歌会,gan'ge'hui
赶秋节,gan'qiu'jie
古尔邦节,gu'er'bang'jie
姑娘节,gu'niang'jie
关门节,guan'men'jie
过苗年,guo'miao'nian
盍司节,he'si'jie
花炮节,hua'pao'jie
花山节,hua'shan'jie
回婚节,hui'hun'jie
回甲节,hui'jia'jie
祭敖包,ji'ao'bao
吉佳姆,ji'jia'mu
祭牛节,ji'niu'jie
卡雀哇,ka'que'wa
开门节,kai'men'jie
开斋节,kai'zhai'jie
库尔班节,ku'er'ban'jie
郎扎热甲节,lang'zha're'jia'jie
老人节,lao'ren'jie
晾桥节,liang'qiao'jie
龙王会,long'wang'hui
骡马会,luo'ma'hui
罗让扎花,luo'rang'zha'hua
马奶节,ma'nai'jie
米阔鲁节,mi'kuo'lu'jie
沐浴节,mu'yu'jie
那达慕,na'da'mu
农具会,nong'ju'hui
诺鲁孜节,nuo'lu'zi'jie
盘王节,pan'wang'jie
驱鬼节,qu'gui'jie
绕三灵,rao'san'ling
肉孜节,rou'zi'jie
三月街,san'yue'jie
晒衣节,shai'yi'jie
赏花节,shang'hua'jie
上九节,shang'jiu'jie
圣纪节,sheng'ji'jie
收获节,shou'huo'jie
耍歌堂节,shua'ge'tang'jie
耍海会,shua'hai'hui
耍望节,shua'wang'jie
酥油花灯节,su'you'hua'deng'jie
锁龙,suo'long
添仓节,tian'cang'jie
望果节,wang'guo'jie
乌日贡,wu'ri'gong
鲜花节,xian'hua'jie
仙女节,xian'nv'jie
响浪节,xiang'lang'jie
新米节,xin'mi'jie
雪顿节,xue'dun'jie
月半节,yue'ban'jie
澡塘会,zao'tang'hui
祝著节,zhu'zhu'jie
转山会,zhuan'shan'hui
