阿里山鄉,a'li'shan'xiang
阿蓮區,a'lian'qu
安定區,an'ding'qu
安南區,an'nan'qu
安平區,an'ping'qu
安樂區,an'yue'qu
八德市,ba'de'shi
八里區,ba'li'qu
白河區,bai'he'qu
白沙鄉,bai'sha'xiang
板橋區,ban'qiao'qu
寶山鄉,bao'shan'xiang
褒忠鄉,bao'zhong'xiang
北埔鄉,bei'bu'xiang
北斗鎮,bei'dou'zhen
北竿鄉,bei'gan'xiang
北港鎮,bei'gang'zhen
北門區,bei'men'qu
卑南鄉,bei'nan'xiang
北區,bei'qu
北投區,bei'tou'qu
北屯區,bei'tun'qu
布袋鎮,bu'dai'zhen
草屯鎮,cao'tun'zhen
長濱鄉,chang'bin'xiang
長治鄉,chang'zhi'xiang
潮州鎮,chao'zhou'zhen
成功鎮,cheng'gong'zhen
池上鄉,chi'shang'xiang
春日鄉,chun'ri'xiang
莿桐鄉,ci'tong'xiang
大安區,da'an'qu
大埔鄉,da'bu'xiang
大城鄉,da'cheng'xiang
大村鄉,da'cun'xiang
大肚區,da'du'qu
大湖鄉,da'hu'xiang
大甲區,da'jia'qu
大里區,da'li'qu
大寮區,da'liao'qu
大林鎮,da'lin'zhen
大內區,da'nei'qu
大埤鄉,da'pi'xiang
達仁鄉,da'ren'xiang
大社區,da'she'qu
大樹區,da'shu'qu
大同區,da'tong'qu
大同鄉,da'tong'xiang
大武鄉,da'wu'xiang
大溪鎮,da'xi'zhen
大雅區,da'ya'qu
大園鄉,da'yuan'xiang
淡水區,dan'shui'qu
東港鎮,dong'gang'zhen
東河鄉,dong'he'xiang
東區,dong'qu
東山區,dong'shan'qu
冬山鄉,dong'shan'xiang
東勢區,dong'shi'qu
東勢鄉,dong'shi'xiang
東石鄉,dong'shi'xiang
東引鄉,dong'yin'xiang
斗六市,dou'liu'shi
斗南鎮,dou'nan'zhen
峨眉鄉,e'mei'xiang
二林鎮,er'lin'zhen
二崙鄉,er'lun'xiang
二水鄉,er'shui'xiang
番路鄉,fan'lu'xiang
枋寮鄉,fang'liao'xiang
枋山鄉,fang'shan'xiang
芳苑鄉,fang'yuan'xiang
芬園鄉,fen'yuan'xiang
豐濱鄉,feng'bin'xiang
鳳林鎮,feng'lin'zhen
鳳山區,feng'shan'qu
豐原區,feng'yuan'qu
富里鄉,fu'li'xiang
復興鄉,fu'xing'xiang
福興鄉,fu'xing'xiang
岡山區,gang'shan'qu
高樹鄉,gao'shu'xiang
高雄,gao'xiong
高雄市,gao'xiong'shi
公館鄉,gong'guan'xiang
貢寮區,gong'liao'qu
古坑鄉,gu'keng'xiang
鼓山區,gu'shan'qu
關廟區,guan'miao'qu
關山鎮,guan'shan'zhen
官田區,guan'tian'qu
關西鎮,guan'xi'zhen
觀音鄉,guan'yin'xiang
光復鄉,guang'fu'xiang
歸仁區,gui'ren'qu
國姓鄉,guo'xing'xiang
海端鄉,hai'duan'xiang
和美鎮,he'mei'zhen
和平區,he'ping'qu
恆春鎮,heng'chun'zhen
橫山鄉,heng'shan'xiang
後壁區,hou'bi'qu
后里區,hou'li'qu
後龍鎮,hou'long'zhen
湖口鄉,hu'kou'xiang
湖內區,hu'nei'qu
虎尾鎮,hu'wei'zhen
湖西鄉,hu'xi'xiang
花蓮,hua'lian
花蓮市,hua'lian'shi
花蓮縣,hua'lian'xuan
花壇鄉,hua'tan'xiang
吉安鄉,ji'an'xiang
集集鎮,ji'ji'zhen
基隆,ji'long
基隆市,ji'long'shi
佳冬鄉,jia'dong'xiang
佳里區,jia'li'qu
甲仙區,jia'xian'qu
嘉義,jia'yi
嘉義市,jia'yi'shi
嘉義縣,jia'yi'xuan
尖石鄉,jian'shi'xiang
將軍區,jiang'jun'qu
礁溪鄉,jiao'xi'xiang
金城鎮,jin'cheng'zhen
金峰鄉,jin'feng'xiang
金湖鎮,jin'hu'zhen
金門,jin'men
金門縣,jin'men'xuan
金寧鄉,jin'ning'xiang
金沙鎮,jin'sha'zhen
金山區,jin'shan'qu
九如鄉,jiu'ru'xiang
車城鄉,ju'cheng'xiang
莒光鄉,ju'guang'xiang
崁頂鄉,kan'ding'xiang
口湖鄉,kou'hu'xiang
來義鄉,lai'yi'xiang
蘭嶼鄉,lan'yu'xiang
里港鄉,li'gang'xiang
連江,lian'jiang
連江縣,lian'jiang'xuan
烈嶼鄉,lie'yu'xiang
林邊鄉,lin'bian'xiang
林口區,lin'kou'qu
麟洛鄉,lin'luo'xiang
林內鄉,lin'nei'xiang
林園區,lin'yuan'qu
苓雅區,ling'ya'qu
六甲區,liu'jia'qu
六腳鄉,liu'jue'xiang
六龜區,liu'qiu'qu
琉球鄉,liu'qiu'xiang
柳營區,liu'ying'qu
龍井區,long'jing'qu
龍崎區,long'qi'qu
龍潭鄉,long'tan'xiang
鹿草鄉,lu'cao'xiang
鹿港鎮,lu'gang'zhen
鹿谷鄉,lu'gu'xiang
鹿野鄉,lu'ye'xiang
蘆洲區,lu'zhou'qu
路竹區,lu'zhu'qu
蘆竹鄉,lu'zhu'xiang
崙背鄉,lun'bei'xiang
羅東鎮,luo'dong'zhen
綠島鄉,lv'dao'xiang
麻豆區,ma'dou'qu
馬公市,ma'gong'shi
瑪家鄉,ma'jia'xiang
麥寮鄉,mai'liao'xiang
滿州鄉,man'zhou'xiang
茂林區,mao'lin'qu
美濃區,mei'nong'qu
梅山鄉,mei'shan'xiang
彌陀區,mi'tuo'qu
苗栗,miao'li
苗栗市,miao'li'shi
苗栗縣,miao'li'xuan
民雄鄉,min'xiong'xiang
名間鄉,ming'jian'xiang
牡丹鄉,mu'dan'xiang
那瑪夏區,na'ma'xia'qu
南澳鄉,nan'ao'xiang
南竿鄉,nan'gan'xiang
南港區,nan'gang'qu
南化區,nan'hua'qu
南區,nan'qu
南投,nan'tou
