阿克塞哈萨克族自治县,a'ke'sai'ha'sa'ke'zu'zi'zhi'xian
安西县,an'xi'xian
白银市,bai'yin'shi
成县,cheng'xian
崇信县,chong'xin'xian
迭部县,die'bu'xian
定西市,ding'xi'shi
东乡族自治县,dong'xiang'zu'zi'zhi'xian
敦煌市,dun'huang'shi
甘谷县,gan'gu'xian
皋兰县,gao'lan'xian
高台县,gao'tai'xian
古浪县,gu'lang'xian
广河县,guang'he'xian
合水县,he'shui'xian
和政县,he'zheng'xian
合作市,he'zuo'shi
华池县,hua'chi'xian
华亭县,hua'ting'xian
环县,huan'xian
会宁县,hui'ning'xian
徽县,hui'xian
嘉峪关市,jia'yu'guan'shi
金昌市,jin'chang'shi
金塔县,jin'ta'xian
泾川县,jing'chuan'xian
静宁县,jing'ning'xian
景泰县,jing'tai'xian
靖远县,jing'yuan'xian
酒泉市,jiu'quan'shi
康乐县,kang'le'xian
康县,kang'xian
兰州市,lan'zhou'shi
礼县,li'xian
两当县,liang'dang'xian
临潭县,lin'tan'xian
临洮县,lin'tao'xian
临夏市,lin'xia'shi
临夏县,lin'xia'xian
临泽县,lin'ze'xian
灵台县,ling'tai'xian
陇南市,long'nan'shi
陇西县,long'xi'xian
碌曲县,lu'qu'xian
玛曲县,ma'qu'xian
民乐县,min'le'xian
民勤县,min'qin'xian
岷县,min'xian
宁县,ning'xian
平凉市,ping'liang'shi
秦安县,qin'an'xian
庆城县,qing'cheng'xian
清水县,qing'shui'xian
庆阳市,qing'yang'shi
山丹县,shan'dan'xian
肃北蒙古族自治县,su'bei'meng'gu'zu'zi'zhi'xian
肃南裕固族自治县,su'nan'yu'gu'zu'zi'zhi'xian
宕昌县,tan'chang'xian
天水市,tian'shui'shi
天祝藏族自治县,tian'zhu'zang'zu'zi'zhi'xian
通渭县,tong'wei'xian
渭源县,wei'yuan'xian
文县,wen'xian
武山县,wu'shan'xian
武威市,wu'wei'shi
西和县,xi'he'xian
夏河县,xia'he'xian
永昌县,yong'chang'xian
永登县,yong'deng'xian
永靖县,yong'jing'xian
玉门市,yu'men'shi
榆中县,yu'zhong'xian
张家川回族自治县,zhang'jia'chuan'hui'zu'zi'zhi'xian
漳县,zhang'xian
张掖市,zhang'ye'shi
镇原县,zhen'yuan'xian
正宁县,zheng'ning'xian
舟曲县,zhou'qu'xian
庄浪县,zhuang'lang'xian
卓尼县,zhuo'ni'xian
