大乐炽然怀柔宫殿中,da'le'chi'ran'huai'rou'gong'dian'zhong
法身无量光佛金刚法,fa'shen'wu'liang'guang'fo'jin'gang'fa
金刚日大光明之威德,jin'gang'ri'da'guang'ming'zhi'wei'de
乐空妙观察之智慧身,le'kong'miao'guan'cha'zhi'zhi'hui'shen
莲花王驾御轮回涅盘,lian'hua'wang'jia'yu'lun'hui'nie'pan
秘密智慧班札哇拉西,mi'mi'zhi'hui'ban'zha'wa'la'xi
世间自在大慈大悲身,shi'jian'zi'zai'da'ci'da'bei'shen
无贪具乐莲花之自性,wu'tan'ju'le'lian'hua'zhi'zi'xing
降服万法大自在嘿噜嘎,xiang'fu'wan'fa'da'zi'zai'hei'lu'ga
