阿婆情熟牡丹开,a'po'qing'shu'mu'dan'kai
白水遍沟塍,bai'shui'bian'gou'cheng
百岁身心几日闲,bai'sui'shen'xin'ji'ri'xian
白屋抱关人,bai'wu'bao'guan'ren
白屋被深仁,bai'wu'bei'shen'ren
白须太守亦何痴,bai'xu'tai'shou'yi'he'chi
白须宗孙侍坐时,bai'xu'zong'sun'shi'zuo'shi
白雪歌偏丽,bai'xue'ge'pian'li
白眼向人多意气,bai'yan'xiang'ren'duo'yi'qi
白银双阙恋,bai'yin'shuang'que'lian
白鹰来自海东头,bai'ying'lai'zi'hai'dong'tou
白羽飞书未解纷,bai'yu'fei'shu'wei'jie'fen
白与粉花连,bai'yu'fen'hua'lian
白羽拂衣轻,bai'yu'fu'yi'qing
白玉郎仍少,bai'yu'lang'reng'shao
白羽飘玉京,bai'yu'piao'yu'jing
白羽三千出井陉,bai'yu'san'qian'chu'jing'xing
白羽三千骑,bai'yu'san'qian'qi
白云本是乔松伴,bai'yun'ben'shi'qiao'song'ban
白云当岭雨,bai'yun'dang'ling'yu
白云帝城远,bai'yun'di'cheng'yuan
白云断处见明月,bai'yun'duan'chu'jian'ming'yue
白云何处逢来客,bai'yun'he'chu'feng'lai'ke
白云兼似雪,bai'yun'jian'si'xue
白云离离渡霄汉,bai'yun'li'li'du'xiao'han
白云鳞鳞满河汉,bai'yun'lin'lin'man'he'han
白云流水如闲步,bai'yun'liu'shui'ru'xian'bu
白云漫与相亲,bai'yun'man'yu'xiang'qin
白云如水流,bai'yun'ru'shui'liu
白云随浪散,bai'yun'sui'lang'san
白云相逐水相通,bai'yun'xiang'zhu'shui'xiang'tong
白云消散尽,bai'yun'xiao'san'jin
百战初休十万师,bai'zhan'chu'xiu'shi'wan'shi
百战无军食,bai'zhan'wu'jun'shi
百丈那能牵,bai'zhang'na'neng'qian
百雉拱双戟,bai'zhi'gong'shuang'ji
柏之异者山中灵,bai'zhi'yi'zhe'shan'zhong'ling
百中有光辉,bai'zhong'you'guang'hui
白昼谈经罢,bai'zhou'tan'jing'ba
班白皆持酒,ban'bai'jie'chi'jiu
半被落花埋,ban'bei'luo'hua'mai
颁赐恩逾洽,ban'ci'en'yu'qia
半酣秋风起,ban'han'qiu'feng'qi
伴鹤惭仙侣,ban'he'can'xian'lv
半和战兵骨,ban'he'zhan'bing'gu
半偈留何处,ban'ji'liu'he'chu
半空方避石,ban'kong'fang'bi'shi
半没胡儿磨剑石,ban'mei'hu'er'mo'jian'shi
板桥人渡泉声,ban'qiao'ren'du'quan'sheng
半侵山色里,ban'qin'shan'se'li
半是宫中歌舞人,ban'shi'gong'zhong'ge'wu'ren
板屋月明春,ban'wu'yue'ming'chun
半夜回舟入楚乡,ban'ye'hui'zhou'ru'chu'xiang
半夜酒醒兰蕙香,ban'ye'jiu'xing'lan'hui'xiang
半夜军书至,ban'ye'jun'shu'zhi
半夜鲤鱼来上滩,ban'ye'li'yu'lai'shang'tan
半夜起边声,ban'ye'qi'bian'sheng
半夜中峰有磬声,ban'ye'zhong'feng'you'qing'sheng
伴鱼浮水上,ban'yu'fu'shui'shang
半在水中央,ban'zai'shui'zhong'yang
半子自成名,ban'zi'zi'cheng'ming
傍岸砂砾堆,bang'an'sha'li'dui
邦君采菊地,bang'jun'cai'ju'di
谤书喧朝市,bang'shu'xuan'chao'shi
谤议不自辨,bang'yi'bu'zi'bian
宝钿香蛾翡翠裙,bao'dian'xiang'e'fei'cui'qun
报非旧城郭,bao'fei'jiu'cheng'guo
褒谷通岷岭,bao'gu'tong'min'ling
报国期努力,bao'guo'qi'nu'li
薄宦相萦若网牵,bao'huan'xiang'ying'ruo'wang'qian
薄宦修礼数,bao'huan'xiu'li'shu
薄宦早趋尘,bao'huan'zao'qu'chen
宝剑拗不折,bao'jian'niu'bu'zhe
宝镜窥妆影,bao'jing'kui'zhuang'ying
保厘才半仗,bao'li'cai'ban'zhang
薄溜漫青石,bao'liu'man'qing'shi
宝瓶无破响,bao'ping'wu'po'xiang
宝器金罍重,bao'qi'jin'lei'zhong
抱琴闻雁来,bao'qin'wen'yan'lai
保庆台榭古,bao'qing'tai'xie'gu
宝瑟愁应商,bao'se'chou'ying'shang
抱孙堪种树,bao'sun'kan'zhong'shu
宝塔宝楼阁,bao'ta'bao'lou'ge
褒斜行客过,bao'xie'xing'ke'guo
豹袖紫貂裘,bao'xiu'zi'diao'qiu
曝药树阴稠,bao'yao'shu'yin'chou
宝舆升座发神钟,bao'yu'sheng'zuo'fa'shen'zhong
报雨早霞生,bao'yu'zao'xia'sheng
抱责栖微躬,bao'ze'qi'wei'gong
悲春懒独行,bei'chun'lan'du'xing
悲春上古原,bei'chun'shang'gu'yuan
杯翠夕阳曛,bei'cui'xi'yang'xun
北斗不可斟,bei'dou'bu'ke'zhen
北斗横斜汉,bei'dou'heng'xie'han
悲风惨惨雨修修,bei'feng'can'can'yu'xiu'xiu
北风长至远,bei'feng'chang'zhi'yuan
北风吹裙带,bei'feng'chui'qun'dai
北风凋白草,bei'feng'diao'bai'cao
北风河梁上,bei'feng'he'liang'shang
北风卷蓬根,bei'feng'juan'peng'gen
北风如有寄,bei'feng'ru'you'ji
北风微雨虚堂秋,bei'feng'wei'yu'xu'tang'qiu
背关馀古木,bei'guan'yu'gu'mu
北郭晚晴山更远,bei'guo'wan'qing'shan'geng'yuan
被褐饮瓢终不改,bei'he'yin'piao'zhong'bu'gai
悲恨自兹断,bei'hen'zi'zi'duan
悲欢共此辰,bei'huan'gong'ci'chen
背江居隙地,bei'jiang'ju'xi'di
悲君为我曹,bei'jun'wei'wo'cao
北客音书欲寄谁,bei'ke'yin'shu'yu'ji'shui
悲来却忆汉天子,bei'lai'que'yi'han'tian'zi
悲来欲恸神,bei'lai'yu'tong'shen
悲凉外物亲,bei'liang'wai'wu'qin
碑留太史书,bei'liu'tai'shi'shu
悲莫悲于此,bei'mo'bei'yu'ci
卑栖君就禄,bei'qi'jun'jiu'lu
卑情不敢论,bei'qing'bu'gan'lun
北阙驰心极,bei'que'chi'xin'ji
北人归欲尽,bei'ren'gui'yu'jin
悲荣俱是分,bei'rong'ju'shi'fen
北阮那怜南阮贫,bei'ruan'na'lian'nan'ruan'pin
北上辽阳城,bei'shang'liao'yang'cheng
悲伤去住心,bei'shang'qu'zhu'xin
碑沈字灭昔人远,bei'shen'zi'mie'xi'ren'yuan
卑束会君难,bei'shu'hui'jun'nan
悲啼百万行,bei'ti'bai'wan'xing
北望南郊消息断,bei'wang'nan'jiao'xiao'xi'duan
悲翁更忆太平年,bei'weng'geng'yi'tai'ping'nian
悲翁回首望承明,bei'weng'hui'shou'wang'cheng'ming
悲笑屡相和,bei'xiao'lv'xiang'he
北雁又南飞,bei'yan'you'nan'fei
贝叶欲翻迷锦字,bei'ye'yu'fan'mi'jin'zi
贝叶字无穷,bei'ye'zi'wu'qiong
倍欲惜芳年,bei'yu'xi'fang'nian
北苑罗裙带,bei'yuan'luo'qun'dai
杯粘落花片,bei'zhan'luo'hua'pian
北逐驱獯虏,bei'zhu'qu'xun'lu
北走雁门寒,bei'zou'yan'men'han
奔迸辞故里,ben'beng'ci'gu'li
本朝光汉代,ben'chao'guang'han'dai
奔狐将迸雉,ben'hu'jiang'beng'zhi
本家零落尽,ben'jia'ling'luo'jin
本结弟兄交,ben'jie'di'xiong'jiao
奔吏殷成雷,ben'li'yin'cheng'lei
本师留度门,ben'shi'liu'du'men
本以势利交,ben'yi'shi'li'jiao
本意宿东林,ben'yi'su'dong'lin
菶茸何年值,beng'rong'he'nian'zhi
毕逋拨剌月衔城,bi'bu'bo'la'yue'xian'cheng
碧草缦如线,bi'cao'man'ru'xian
碧窗月落琴声断,bi'chuang'yue'luo'qin'sheng'duan
鄙词何所拟,bi'ci'he'suo'ni
避地莫知贤,bi'di'mo'zhi'xian
俾尔之愉悦兮,bi'er'zhi'yu'yue'xi
璧方镜员流不断,bi'fang'jing'yuan'liu'bu'duan
彼方韶景无时节,bi'fang'shao'jing'wu'shi'jie
闭阁层城白日曛,bi'ge'ceng'cheng'bai'ri'xun
闭户不曾出,bi'hu'bu'ceng'chu
闭户临寒竹,bi'hu'lin'han'zhu
毕竟不封侯,bi'jing'bu'feng'hou
避酒许先归,bi'jiu'xu'xian'gui
碧空云尽火星流,bi'kong'yun'jin'huo'xing'liu
比来已向人间老,bi'lai'yi'xiang'ren'jian'lao
薜荔欲依松,bi'li'yu'yi'song
薜荔作禅庵,bi'li'zuo'chan'an
薜鹿莫徭洞,bi'lu'mo'yao'dong
