阿婆情熟牡丹开,a'po'qing'shu'mu'dan'kai
回头指阴山,hui'tou'zhi'yin'shan
回望不通秦,hui'wang'bu'tong'qin
回望湓城远,hui'wang'pen'cheng'yuan
回望忆江滨,hui'wang'yi'jiang'bin
回想敛馀眷,hui'xiang'lian'yu'juan
回雪从风暗有情,hui'xue'cong'feng'an'you'qing
悔学秦人南避地,hui'xue'qin'ren'nan'bi'di
回阳噪乱鸦,hui'yang'zao'luan'ya
会友闻昨夜,hui'you'wen'zuo'ye
回瞻二妙非吾侣,hui'zhan'er'miao'fei'wu'lv
回瞻相好因垂泪,hui'zhan'xiang'hao'yin'chui'lei
回瞻终未屡,hui'zhan'zhong'wei'lv
回舟暮寂寥,hui'zhou'mu'ji'liao
回朱点白闻至尊,hui'zhu'dian'bai'wen'zhi'zun
灰煮蜡楷光烂然,hui'zhu'la'kai'guang'lan'ran
回转沙岸近,hui'zhuan'sha'an'jin
会作王门曳裾客,hui'zuo'wang'men'ye'ju'ke
昏霭雾中悲世界,hun'ai'wu'zhong'bei'shi'jie
昏孱夙自保,hun'chan'su'zi'bao
昏旦呈新候,hun'dan'cheng'xin'hou
魂当别处销,hun'dang'bie'chu'xiao
魂断看花只恨春,hun'duan'kan'hua'zhi'hen'chun
昏昏竟若何,hun'hun'jing'ruo'he
昏昏醉老夫,hun'hun'zui'lao'fu
混迹威长在,hun'ji'wei'zhang'zai
昏明看日御,hun'ming'kan'ri'yu
荤膻居已绝,hun'shan'ju'yi'jue
混俗性灵常乐道,hun'su'xing'ling'chang'le'dao
浑未有花开,hun'wei'you'hua'kai
瀖濩晶莹无定物,huo'hu'jing'ying'wu'ding'wu
祸近防难及,huo'jin'fang'nan'ji
祸来非有萌,huo'lai'fei'you'meng
火雷劈山珠喷日,huo'lei'pi'shan'zhu'pen'ri
靃靡汀草碧,huo'mi'ting'cao'bi
矐睒划破蚩尤旗,huo'shan'hua'po'chi'you'qi
火树凤楼前,huo'shu'feng'lou'qian
火随黄道见,huo'sui'huang'dao'jian
镬汤所熬煎,huo'tang'suo'ao'jian
或闻樵人语,huo'wen'qiao'ren'yu
火焰烧人雪喷风,huo'yan'shao'ren'xue'pen'feng
火云三月合,huo'yun'san'yue'he
或在醉中逢夜雪,huo'zai'zui'zhong'feng'ye'xue
汲黯直为邻,ji'an'zhi'wei'lin
寄傲与君同,ji'ao'yu'jun'tong
机罢女应过,ji'ba'nv'ying'guo
即被啼莺占,ji'bei'ti'ying'zhan
几变陶家柳,ji'bian'tao'jia'liu
积冰营不下,ji'bing'ying'bu'xia
几场花下醉如泥,ji'chang'hua'xia'zui'ru'ni
几朝仙籁耳中生,ji'chao'xian'lai'er'zhong'sheng
几处花下人,ji'chu'hua'xia'ren
几处见休兵,ji'chu'jian'xiu'bing
几处术苗香,ji'chu'shu'miao'xiang
几吹著枯木,ji'chui'zhu'ku'mu
及此明月光,ji'ci'ming'yue'guang
及此烟霞暮,ji'ci'yan'xia'mu
积翠暧遥原,ji'cui'ai'yao'yuan
积翠流霞满坑谷,ji'cui'liu'xia'man'keng'gu
记得初嫁君,ji'de'chu'jia'jun
几度曾相梦,ji'du'ceng'xiang'meng
几度遣荣枯,ji'du'qian'rong'ku
几度停舟访未能,ji'du'ting'zhou'fang'wei'neng
几度毡房泪湿衣,ji'du'zhan'fang'lei'shi'yi
几多黄叶落蛛丝,ji'duo'huang'ye'luo'zhu'si
几多珠翠落香尘,ji'duo'zhu'cui'luo'xiang'chen
及尔空衰暮,ji'er'kong'shuai'mu
藉芳怜岸草,ji'fang'lian'an'cao
藉芳临紫陌,ji'fang'lin'zi'mo
羁飞本难定,ji'fei'ben'nan'ding
羁孤力行早,ji'gu'li'xing'zao
济海岂无舟,ji'hai'qi'wu'zhou
霁后江城风景凉,ji'hou'jiang'cheng'feng'jing'liang
几回风起望胡威,ji'hui'feng'qi'wang'hu'wei
几回逢著天台客,ji'hui'feng'zhu'tian'tai'ke
几回新秋影,ji'hui'xin'qiu'ying
几回吟断四愁诗,ji'hui'yin'duan'si'chou'shi
羁魂惨惨生边愁,ji'hun'can'can'sheng'bian'chou
羁魂愁似绝,ji'hun'chou'si'jue
寂寂闭层城,ji'ji'bi'ceng'cheng
寂寂江城无所闻,ji'ji'jiang'cheng'wu'suo'wen
寂寂天桥车马绝,ji'ji'tian'qiao'che'ma'jue
济济延多士,ji'ji'yan'duo'shi
寂寂虞篇德已闻,ji'ji'yu'pian'de'yi'wen
几家废井生青草,ji'jia'fei'jing'sheng'qing'cao
几见尘飞沧海竭,ji'jian'chen'fei'cang'hai'jie
季江留被在,ji'jiang'liu'bei'zai
济江篇已出,ji'jiang'pian'yi'chu
几劫道场现,ji'jie'dao'chang'xian
即今法曲无人唱,ji'jin'fa'qu'wu'ren'chang
汲井及清源,ji'jing'ji'qing'yuan
汲井凿高原,ji'jing'zao'gao'yuan
汲井滋园蔬,ji'jing'zi'yuan'shu
冀君清夜一申哀,ji'jun'qing'ye'yi'shen'ai
嵇康本厌喧,ji'kang'ben'yan'xuan
嵇康书论多归兴,ji'kang'shu'lun'duo'gui'xing
羁客春来心欲碎,ji'ke'chun'lai'xin'yu'sui
寂历山深将夜深,ji'li'shan'shen'jiang'ye'shen
寂历曙更筹,ji'li'shu'geng'chou
寂历兹夜永,ji'li'zi'ye'yong
寂寥灯下不胜愁,ji'liao'deng'xia'bu'sheng'chou
寂寥惊远语,ji'liao'jing'yuan'yu
寂寥蓬户中,ji'liao'peng'hu'zhong
即林若溪绝,ji'lin'ruo'xi'jue
几路通员峤,ji'lu'tong'yuan'qiao
几落无辜刑,ji'luo'wu'gu'xing
羁旅长堪醉,ji'lv'chang'kan'zui
羁旅忽相遇,ji'lv'hu'xiang'yu
羁旅十馀年,ji'lv'shi'yu'nian
积梦江湖阔,ji'meng'jiang'hu'kuo
机鸣舂响日暾暾,ji'ming'chong'xiang'ri'tun'tun
鸡鸣觉近村,ji'ming'jue'jin'cun
寂寞罢琴风满树,ji'mo'ba'qin'feng'man'shu
寂寞柴门掩,ji'mo'chai'men'yan
寂寞多年老宦,ji'mo'duo'nian'lao'huan
寂寞过朝昏,ji'mo'guo'chao'hun
寂寞过年华,ji'mo'guo'nian'hua
寂寞几回归,ji'mo'ji'hui'gui
寂寞经声竹阴暮,ji'mo'jing'sheng'zhu'yin'mu
寂寞离人觞,ji'mo'li'ren'shang
寂寞前山暮,ji'mo'qian'shan'mu
寂寞日长谁问疾,ji'mo'ri'chang'shui'wen'ji
寂寞疏钟后,ji'mo'shu'zhong'hou
寂寞心自知,ji'mo'xin'zi'zhi
寂寞伊川上,ji'mo'yi'chuan'shang
寂寞重门掩,ji'mo'zhong'men'yan
寂寞住山阴,ji'mo'zhu'shan'yin
寂寞自心知,ji'mo'zi'xin'zhi
急难何日见,ji'nan'he'ri'jian
几年沧海别,ji'nian'cang'hai'bie
几年湖海挹馀芳,ji'nian'hu'hai'yi'yu'fang
几年江路永,ji'nian'jiang'lu'yong
几年亲酒会,ji'nian'qin'jiu'hui
笄年下相门,ji'nian'xia'xiang'men
疾驱千里骏,ji'qu'qian'li'jun
鸡犬傍篱栅,ji'quan'bang'li'zha
鸡犬相和汉古村,ji'quan'xiang'he'han'gu'cun
鸡人更唱处,ji'ren'geng'chang'chu
鸡人晓漏长,ji'ren'xiao'lou'chang
羁人掩泪望秦天,ji'ren'yan'lei'wang'qin'tian
羁人状鸟栖,ji'ren'zhuang'niao'qi
几日劳登涉,ji'ri'lao'deng'she
积日满荒陂,ji'ri'man'huang'bei
计日西归在,ji'ri'xi'gui'zai
几日政声闻户外,ji'ri'zheng'sheng'wen'hu'wai
及汝既生,ji'ru'ji'sheng
汲少井味变,ji'shao'jing'wei'bian
鸡声出涧深,ji'sheng'chu'jian'shen
几时裁尺素,ji'shi'cai'chi'su
几时曾向高天上,ji'shi'ceng'xiang'gao'tian'shang
寄食年将老,ji'shi'nian'jiang'lao
饥食松花渴饮泉,ji'shi'song'hua'ke'yin'quan
即是小长安,ji'shi'xiao'chang'an
寄食依邻里,ji'shi'yi'lin'li
记室有参卿,ji'shi'you'can'qing
几时犹滞拙,ji'shi'you'zhi'zhuo
寄书常切到常迟,ji'shu'chang'qie'dao'chang'chi
汲书荀勖定,ji'shu'xun'xu'ding
既苏复吼拗仍怒,ji'su'fu'hou'niu'reng'nu
迹随飞鸟灭,ji'sui'fei'niao'mie
急弹好,ji'tan'hao
迹忝已成方恋赏,ji'tian'yi'cheng'fang'lian'shang
几条蛛网下风庭,ji'tiao'zhu'wang'xia'feng'ting
既为随阳雁,ji'wei'sui'yang'yan
即我此身如此人,ji'wo'ci'shen'ru'ci'ren
机息知名误,ji'xi'zhi'ming'wu
既下同建瓴,ji'xia'tong'jian'ling
机闲任昼昏,ji'xian'ren'zhou'hun
寄谢金门侣,ji'xie'jin'men'lv
寄谢南宫客,ji'xie'nan'gong'ke
寄谢西飞鸟,ji'xie'xi'fei'niao
己须还复白,ji'xu'hai'fu'bai
几许岁华销道路,ji'xu'sui'hua'xiao'dao'lu
几许遗黎泣,ji'xu'yi'li'qi
迹学禅心厌有名,ji'xue'chan'xin'yan'you'ming
冀雪大国耻,ji'xue'da'guo'chi
积雪商山道,ji'xue'shang'shan'dao
积学早成道,ji'xue'zao'cheng'dao
羁雁出塞绕黄云,ji'yan'chu'sai'rao'huang'yun
几叶落云中,ji'ye'luo'yun'zhong
几夜梦旌旃,ji'ye'meng'jing'zhan
即应嫁贼生贼儿,ji'ying'jia'zei'sheng'zei'er
羁游不定同云聚,ji'you'bu'ding'tong'yun'ju
羁游复牵役,ji'you'fu'qian'yi
及有群蜂肆毒,ji'you'qun'feng'si'du
既有虚心鉴,ji'you'xu'xin'jian
寄与阿连题数行,ji'yu'a'lian'ti'shu'xing
急雨江帆重,ji'yu'jiang'fan'zhong
积雨暮凄凄,ji'yu'mu'qi'qi
迹与儒生合,ji'yu'ru'sheng'he
寄语塞外胡,ji'yu'sai'wai'hu
寄与山阴山里僧,ji'yu'shan'yin'shan'li'seng
及与同结发,ji'yu'tong'jie'fa
几与武皇登,ji'yu'wu'huang'deng
寄语丈夫雄,ji'yu'zhang'fu'xiong
羁猿一叫一回惊,ji'yuan'yi'jiao'yi'hui'jing
积云藏嶮路,ji'yun'cang'xian'lu
迹在人亡处,ji'zai'ren'wang'chu
迹在是非端,ji'zai'shi'fei'duan
几载遗正音,ji'zai'yi'zheng'yin
季札是乡人,ji'zha'shi'xiang'ren
寄宅湘川口,ji'zhai'xiang'chuan'kou
寄宅忆山阴,ji'zhai'yi'shan'yin
即知兵心苦,ji'zhi'bing'xin'ku
及至见君归,ji'zhi'jian'jun'gui
及至悟生死,ji'zhi'wu'sheng'si
机杼暗传秋,ji'zhu'an'chuan'qiu
计拙是和亲,ji'zhuo'shi'he'qin
继组鄙夫留,ji'zu'bi'fu'liu
积阻关河固,ji'zu'guan'he'gu
夹岸纷纷送君去,jia'an'fen'fen'song'jun'qu
家臣亦依然,jia'chen'yi'yi'ran
家宠五诸侯,jia'chong'wu'zhu'hou
家传成栋美,jia'chuan'cheng'dong'mei
夹道天渠远,jia'dao'tian'qu'yuan
甲第歌钟乐五侯,jia'di'ge'zhong'yue'wu'hou
甲第朱门耸高戟,jia'di'zhu'men'song'gao'ji
贾傅竟行矣,jia'fu'jing'xing'yi
家国身犹负,jia'guo'shen'you'fu
家寄五湖间,jia'ji'wu'hu'jian
家家尽唱升平曲,jia'jia'jin'chang'sheng'ping'qu
家家门外长安道,jia'jia'men'wai'chang'an'dao
家家听管弦,jia'jia'ting'guan'xian
家家有画旗,jia'jia'you'hua'qi
家近小山当海畔,jia'jin'xiao'shan'dang'hai'pan
佳句得愁新,jia'ju'de'chou'xin
嘉客会初筵,jia'ke'hui'chu'yan
嘉谋事最亲,jia'mou'shi'zui'qin
嘉谋翊圣明,jia'mou'yi'sheng'ming
嫁女莫望高,jia'nv'mo'wang'gao
家贫故旧怜,jia'pin'gu'jiu'lian
家贫念聚粮,jia'pin'nian'ju'liang
家贫仍受赐,jia'pin'reng'shou'ci
家贫僮仆慢,jia'pin'tong'pu'man
家贫惟种竹,jia'pin'wei'zhong'zhu
佳人比香草,jia'ren'bi'xiang'cao
佳人愁些,jia'ren'chou'xie
佳人梦馀思,jia'ren'meng'yu'si
佳人无还期,jia'ren'wu'hai'qi
佳人夐青天,jia'ren'xiong'qing'tian
佳人窅何许,jia'ren'yao'he'xu
家人亦念我,jia'ren'yi'nian'wo
家人由未知,jia'ren'you'wei'zhi
佳人玉立生此方,jia'ren'yu'li'sheng'ci'fang
家山伯禹穴,jia'shan'bo'yu'xue
佳山路不远,jia'shan'lu'bu'yuan
贾生独未达,jia'sheng'du'wei'da
贾生只是三年谪,jia'sheng'zhi'shi'san'nian'zhe
家世素业儒,jia'shi'su'ye'ru
家事在南荒,jia'shi'zai'nan'huang
假手诚知拙,jia'shou'cheng'zhi'zhuo
家似流萍任所之,jia'si'liu'ping'ren'suo'zhi
家童拾薪几拗折,jia'tong'shi'xin'ji'ao'zhe
家为朋徒罄,jia'wei'peng'tu'qing
甲兮乙兮,jia'xi'yi'xi
架险凌虚随指顾,jia'xian'ling'xu'sui'zhi'gu
笳箫汉思繁,jia'xiao'han'si'fan
笳箫最悲处,jia'xiao'zui'bei'chu
家训资风化,jia'xun'zi'feng'hua
迦叶迦旃延,jia'ye'jia'zhan'yan
嫁与将军天上住,jia'yu'jiang'jun'tian'shang'zhu
嫁与棹船郎,jia'yu'zhao'chuan'lang
家远多亲五郡兵,jia'yuan'duo'qin'wu'jun'bing
嘉愿有所从,jia'yuan'you'suo'cong
家在故林吴楚间,jia'zai'gu'lin'wu'chu'jian
家在梦中何日到,jia'zai'meng'zhong'he'ri'dao
家在数重围,jia'zai'shu'chong'wei
家在双峰兰若边,jia'zai'shuang'feng'lan're'bian
家在桐庐忆旧丘,jia'zai'tong'lu'yi'jiu'qiu
家在最深山,jia'zai'zui'shen'shan
家住丛台近,jia'zhu'cong'tai'jin
家住邯郸不是倡,jia'zhu'han'dan'bu'shi'chang
家住洛阳里,jia'zhu'luo'yang'li
家住义兴东舍溪,jia'zhu'yi'xing'dong'she'xi
家自俭年贫,jia'zi'jian'nian'pin
笳奏遝以哀,jia'zou'ta'yi'ai
见罢翻令恨识迟,jian'ba'fan'ling'hen'shi'chi
囝别郎罢,jian'bie'lang'ba
蹇步惭寸进,jian'bu'can'cun'jin
奸臣弄民柄,jian'chen'nong'min'bing
蹇辞惭自寡,jian'ci'can'zi'gua
建德津亭人别夜,jian'de'jin'ting'ren'bie'ye
謇谔王臣直,jian'e'wang'chen'zhi
荐鹗与云连,jian'e'yu'yun'lian
剑飞终上汉,jian'fei'zhong'shang'han
间关几日吟,jian'guan'ji'ri'yin
间关殊状鸟,jian'guan'shu'zhuang'niao
涧花寒夕雨,jian'hua'han'xi'yu
剑华霜雪明,jian'hua'shuang'xue'ming
简诲偏盈箧,jian'hui'pian'ying'qie
见即在忘归,jian'ji'zai'wang'gui
渐渐入吴音,jian'jian'ru'wu'yin
涧静见云多,jian'jing'jian'yun'duo
渐惊云树转,jian'jing'yun'shu'zhuan
渐觉鸟飞低,jian'jue'niao'fei'di
见君朝下欲归宅,jian'jun'chao'xia'yu'gui'zhai
见君何事不惭颜,jian'jun'he'shi'bu'can'yan
见君数行之洒落,jian'jun'shu'xing'zhi'sa'luo
建礼含香处,jian'li'han'xiang'chu
建礼通华省,jian'li'tong'hua'sheng
谏猎名空久,jian'lie'ming'kong'jiu
谏猎又非时,jian'lie'you'fei'shi
谏猎至长杨,jian'lie'zhi'chang'yang
涧梅伪作山中雪,jian'mei'wei'zuo'shan'zhong'xue
剑门兵革后,jian'men'bing'ge'hou
艰难逢事异,jian'nan'feng'shi'yi
艰难过此身,jian'nan'guo'ci'shen
艰难为客惯,jian'nan'wei'ke'guan
剑珮上青霄,jian'pei'shang'qing'xiao
见沙之磷磷,jian'sha'zhi'lin'lin
见少情难尽,jian'shao'qing'nan'jin
囝生闽方,jian'sheng'min'fang
渐识楚人言,jian'shi'chu'ren'yan
见时少,jian'shi'shao
贱士友朋讥,jian'shi'you'peng'ji
缄书到别墅,jian'shu'dao'bie'shu
涧鼠喧藤蔓,jian'shu'xuan'teng'wan
简书犹有畏,jian'shu'you'you'wei
见说南来处,jian'shuo'nan'lai'chu
见说秦兵至,jian'shuo'qin'bing'zhi
见说只今生草处,jian'shuo'zhi'jin'sheng'cao'chu
见素质仍贞,jian'su'zhi'reng'zhen
见弹欲求鸮,jian'tan'yu'qiu'xiao
剑文夜如水,jian'wen'ye'ru'shui
渐向庭闱近,jian'xiang'ting'wei'jin
艰辛历尽谁得知,jian'xin'li'jin'shui'de'zhi
见新莫忘故,jian'xin'mo'wang'gu
谏修郊庙开宸虑,jian'xiu'jiao'miao'kai'chen'lv
建牙连朔漠,jian'ya'lian'shuo'mo
剪叶补秋衣,jian'ye'bu'qiu'yi
贱亦不足叹,jian'yi'bu'zu'tan
兼以临深惧,jian'yi'lin'shen'ju
贱有区中役,jian'you'qu'zhong'yi
艰虞更问津,jian'yu'geng'wen'jin
渐欲休人事,jian'yu'xiu'ren'shi
渐远向南声,jian'yuan'xiang'nan'sheng
艰哉远游子,jian'zai'yuan'you'zi
建章宫阙成煨烬,jian'zhang'gong'que'cheng'wei'jin
坚贞扫地无,jian'zhen'sao'di'wu
渐知欢澹薄,jian'zhi'huan'dan'bao
建中甲子合上元,jian'zhong'jia'zi'he'shang'yuan
翦竹开广庭,jian'zhu'kai'guang'ting
渐逐晓参横,jian'zhu'xiao'can'heng
将必继管萧,jiang'bi'ji'guan'xiao
江边一老人,jiang'bian'yi'lao'ren
江波千里绿,jiang'bo'qian'li'lv
江潮赴楚船,jiang'chao'fu'chu'chuan
江城吹晓角,jiang'cheng'chui'xiao'jiao
将雏有旧曲,jiang'chu'you'jiu'qu
江春又足风,jiang'chun'you'zu'feng
江村风雪霁,jiang'cun'feng'xue'ji
江村日暮寻遗老,jiang'cun'ri'mu'xun'yi'lao
江村小儿好夸骋,jiang'cun'xiao'er'hao'kua'cheng
江村远鸡应,jiang'cun'yuan'ji'ying
江村竹苇深,jiang'cun'zhu'wei'shen
将刀斫水水复连,jiang'dao'zhuo'shui'shui'fu'lian
将底求名宦,jiang'di'qiu'ming'huan
江东万里外,jiang'dong'wan'li'wai
江帆次第来,jiang'fan'ci'di'lai
江分巴字水,jiang'fen'ba'zi'shui
江干入夜杵声秋,jiang'gan'ru'ye'chu'sheng'qiu
江干望不极,jiang'gan'wang'bu'ji
江阁暝烟微,jiang'ge'ming'yan'wei
将归汾水上,jiang'gui'fen'shui'shang
江海贱臣不拘绁,jiang'hai'jian'chen'bu'ju'xie
江海意何如,jiang'hai'yi'he'ru
江湖思渺然,jiang'hu'si'miao'ran
江湖烟雨暗渔蓑,jiang'hu'yan'yu'an'yu'suo
江湖意已终,jiang'hu'yi'yi'zhong
江湖音信稀,jiang'hu'yin'xin'xi
江湖又独归,jiang'hu'you'du'gui
江湖馀派少,jiang'hu'yu'pai'shao
江湖乍辽夐,jiang'hu'zha'liao'xiong
江湖正渺然,jiang'hu'zheng'miao'ran
江花晓落琉璃地,jiang'hua'xiao'luo'liu'li'di
江回汉转两不见,jiang'hui'han'zhuan'liang'bu'jian
江回客未归,jiang'hui'ke'wei'gui
将军促骑无人声,jiang'jun'cu'qi'wu'ren'sheng
将军带十围,jiang'jun'dai'shi'wei
将军得胜归,jiang'jun'de'sheng'gui
将军领疲兵,jiang'jun'ling'pi'bing
将军却恨杀人多,jiang'jun'que'hen'sha'ren'duo
将军失恩泽,jiang'jun'shi'en'ze
将军石上铭,jiang'jun'shi'shang'ming
将军夜引弓,jiang'jun'ye'yin'gong
江空天更低,jiang'kong'tian'geng'di
江林寂寂城鸦啼,jiang'lin'ji'ji'cheng'ya'ti
江柳断肠色,jiang'liu'duan'chang'se
江流向北宽,jiang'liu'xiang'bei'kuan
江流雁叫哀,jiang'liu'yan'jiao'ai
江流一水通,jiang'liu'yi'shui'tong
江楼覆棋好,jiang'lou'fu'qi'hao
江路又逢春,jiang'lu'you'feng'chun
江面昆明洗刷牵,jiang'mian'kun'ming'xi'shua'qian
将命宁知远,jiang'ming'ning'zhi'yuan
江明雨初歇,jiang'ming'yu'chu'xie
降魔须战否,jiang'mo'xu'zhan'fou
江南杜若青,jiang'nan'du'ruo'qing
江南寒食早,jiang'nan'han'shi'zao
江南季春天,jiang'nan'ji'chun'tian
江南渌水通朱阁,jiang'nan'lu'shui'tong'zhu'ge
江南曲尽归何处,jiang'nan'qu'jin'gui'he'chu
江南山深松桂闲,jiang'nan'shan'shen'song'gui'xian
江南无处不闻歌,jiang'nan'wu'chu'bu'wen'ge
江南艳歌京西舞,jiang'nan'yan'ge'jing'xi'wu
江平芦荻齐,jiang'ping'lu'di'qi
将祈竟何得,jiang'qi'jing'he'de
江清白鸟斜,jiang'qing'bai'niao'xie
江清寒照动,jiang'qing'han'zhao'dong
绛纱垂簟净,jiang'sha'chui'dian'jing
蒋山烽火起,jiang'shan'feng'huo'qi
江上弹冠见雪花,jiang'shang'dan'guan'jian'xue'hua
江上独行遥,jiang'shang'du'xing'yao
江上逢君春正阑,jiang'shang'feng'jun'chun'zheng'lan
江上青草为谁绿,jiang'shang'qing'cao'wei'shui'lv
江上双飞鸿,jiang'shang'shuang'fei'hong
江上无人转忆家,jiang'shang'wu'ren'zhuan'yi'jia
江上早闻齐和声,jiang'shang'zao'wen'qi'he'sheng
江声与屿兼,jiang'sheng'yu'yu'jian
匠氏度思,jiang'shi'du'si
江水东流横浩浩,jiang'shui'dong'liu'heng'hao'hao
江潭何处是通津,jiang'tan'he'chu'shi'tong'jin
江天虹影长,jiang'tian'hong'ying'chang
江天梅雨散,jiang'tian'mei'yu'san
江天夜露新,jiang'tian'ye'lu'xin
江头唯有泪阑干,jiang'tou'wei'you'lei'lan'gan
江芜连梦泽,jiang'wu'lian'meng'ze
江燕绕危樯,jiang'yan'rao'wei'qiang
江烟洗尽柳条轻,jiang'yan'xi'jin'liu'tiao'qing
江烟作夕岚,jiang'yan'zuo'xi'lan
江源南去永,jiang'yuan'nan'qu'yong
匠者受之无一词,jiang'zhe'shou'zhi'wu'yi'ci
江中正吹笛,jiang'zhong'zheng'chui'di
江转数程淹驿骑,jiang'zhuan'shu'cheng'yan'yi'qi
醮罢雨雷至,jiao'ba'yu'lei'zhi
椒房宠移子爱夺,jiao'fang'chong'yi'zi'ai'duo
交根接叶满泪痕,jiao'gen'jie'ye'man'lei'hen
椒桂之馥兮,jiao'gui'zhi'fu'xi
浇花绕石坛,jiao'hua'rao'shi'tan
矫矫烟雾翮,jiao'jiao'yan'wu'he
皎皎则亏,jiao'jiao'ze'kui
皎洁殊未已,jiao'jie'shu'wei'yi
交结五陵儿,jiao'jie'wu'ling'er
皎洁无瑕清玉壶,jiao'jie'wu'xia'qing'yu'hu
角立一方初退舍,jiao'li'yi'fang'chu'tui'she
较猎燕山经几春,jiao'lie'yan'shan'jing'ji'chun
蛟龙稽颡河伯虔,jiao'long'ji'sang'he'bo'qian
搅妾心肠间,jiao'qie'xin'chang'jian
交情分两地,jiao'qing'fen'liang'di
交情岂谓更萧条,jiao'qing'qi'wei'geng'xiao'tiao
皎然素色不因染,jiao'ran'su'se'bu'yin'ran
鲛人卖泪绡,jiao'ren'mai'lei'xiao
教人祈上升,jiao'ren'qi'shang'sheng
鲛人织绡采藕丝,jiao'ren'zhi'xiao'cai'ou'si
皦日媚春水,jiao'ri'mei'chun'shui
皎色新磨出,jiao'se'xin'mo'chu
矫首若为情,jiao'shou'ruo'wei'qing
交疏贫病里,jiao'shu'pin'bing'li
浇蔬引竹泉,jiao'shu'yin'zhu'quan
脚踏牛头上牛领,jiao'ta'niu'tou'shang'niu'ling
叫天天不闻,jiao'tian'tian'bu'wen
交映凝寒露,jiao'ying'ning'han'lu
教用儒门俭,jiao'yong'ru'men'jian
郊原鹏影到,jiao'yuan'peng'ying'dao
阶崩雪绕平,jie'beng'xue'rao'ping
节比青松当涧直,jie'bi'qing'song'dang'jian'zhi
皆称主人贤,jie'cheng'zhu'ren'xian
杰出淮楚灵,jie'chu'huai'chu'ling
结发事疆场,jie'fa'shi'jiang'chang
结发事远游,jie'fa'shi'yuan'you
接果移天性,jie'guo'yi'tian'xing
劫火定焚烧,jie'huo'ding'fen'shao
截绢买刀都市中,jie'juan'mai'dao'du'shi'zhong
借客试吴钩,jie'ke'shi'wu'gou
借寇尔何因,jie'kou'er'he'yin
结茅成暖室,jie'mao'cheng'nuan'shi
结茅同楚客,jie'mao'tong'chu'ke
结念醉芳樽,jie'nian'zui'fang'zun
解佩从休沐,jie'pei'cong'xiu'mu
解佩临清池,jie'pei'lin'qing'chi
皆去重湖水,jie'qu'zhong'hu'shui
结实如缀摩尼珠,jie'shi'ru'zhui'mo'ni'zhu
阶桐叶有声,jie'tong'ye'you'sheng
借问复为谁,jie'wen'fu'wei'shui
借问君欲何处来,jie'wen'jun'yu'he'chu'lai
接武空惭蹇,jie'wu'kong'can'jian
阶闲云自湿,jie'xian'yun'zi'shi
皆向此中分,jie'xiang'ci'zhong'fen
阶雪凌春积,jie'xue'ling'chun'ji
洁眼朝上清,jie'yan'chao'shang'qing
接舆亦是狂歌者,jie'yu'yi'shi'kuang'ge'zhe
嗟吁一朝遇,jie'yu'yi'zhao'yu
接枕话通宵,jie'zhen'hua'tong'xiao
戒子力为儒,jie'zi'li'wei'ru
金鞍玉勒锦连乾,jin'an'yu'le'jin'lian'qian
金陛立神羊,jin'bi'li'shen'yang
禁兵环素帟,jin'bing'huan'su'yi
近出白云司,jin'chu'bai'yun'si
尽出花钿与四邻,jin'chu'hua'dian'yu'si'lin
今出乃赢粮,jin'chu'nai'ying'liang
锦带入红尘,jin'dai'ru'hong'chen
晋代神仙白玉棺,jin'dai'shen'xian'bai'yu'guan
近得麻姑音信否,jin'de'ma'gu'yin'xin'fou
金貂主人汉三老,jin'diao'zhu'ren'han'san'lao
金鼎对筵调野膳,jin'ding'dui'yan'tiao'ye'shan
金风浦上吹黄叶,jin'feng'pu'shang'chui'huang'ye
金凤玉麟,jin'feng'yu'lin
巾拂艺亦精,jin'fu'yi'yi'jing
近隔洞庭波,jin'ge'dong'ting'bo
金革卧不暖,jin'ge'wo'bu'nuan
金根复京师,jin'gen'fu'jing'shi
金汞封仙骨,jin'gong'feng'xian'gu
矜功六郡良,jin'gong'liu'jun'liang
今还获所欲,jin'hai'huo'suo'yu
金合开香泻御炉,jin'he'kai'xiang'xie'yu'lu
金河欲渡马连嘶,jin'he'yu'du'ma'lian'si
槿花半点夕阳收,jin'hua'ban'dian'xi'yang'shou
禁花呈瑞色,jin'hua'cheng'rui'se
今华发非其辰,jin'hua'fa'fei'qi'chen
今欢亦愿留,jin'huan'yi'yuan'liu
禁火岸花然,jin'huo'an'hua'ran
金涧流不尽,jin'jian'liu'bu'jin
金简受玄箓,jin'jian'shou'xuan'lu
近接旅人居,jin'jie'lv'ren'ju
金镜让澄明,jin'jing'rang'cheng'ming
金井识双桐,jin'jing'shi'shuang'tong
近觉多衰鬓,jin'jue'duo'shuai'bin
金鐍装囊半是书,jin'jue'zhuang'nang'ban'shi'shu
襟旷去烦扰,jin'kuang'qu'fan'rao
今来部曲尽,jin'lai'bu'qu'jin
近来胡骑休南牧,jin'lai'hu'qi'xiu'nan'mu
今来尽是人间梦,jin'lai'jin'shi'ren'jian'meng
今来六亲远,jin'lai'liu'qin'yuan
近来频夜梦丹墀,jin'lai'pin'ye'meng'dan'chi
今来秋已暮,jin'lai'qiu'yi'mu
近来数夜飞霜重,jin'lai'shu'ye'fei'shuang'zhong
今来帅领红旌下,jin'lai'shuai'ling'hong'jing'xia
