暧暧澄湖光,ai'ai'cheng'hu'guang
白首无子孙,bai'shou'wu'zi'sun
白首下帷复何益,bai'shou'xia'wei'fu'he'yi
白首衔冤欲问天,bai'shou'xian'yuan'yu'wen'tian
白首相逢征战后,bai'shou'xiang'feng'zheng'zhan'hou
白首向沙场,bai'shou'xiang'sha'chang
白首一先生,bai'shou'yi'xian'sheng
柏树荣新垄,bai'shu'rong'xin'long
白水昏漠漠,bai'shui'hun'mo'mo
白水可洗心,bai'shui'ke'xi'xin
白水明汀洲,bai'shui'ming'ting'zhou
百万犹在握,bai'wan'you'zai'wo
白屋渐看秋草没,bai'wu'jian'kan'qiu'cao'mei
白雪和难成,bai'xue'he'nan'cheng
白雪飘辞律,bai'xue'piao'ci'lv
白杨萧萧悲故柯,bai'yang'xiao'xiao'bei'gu'ke
百忧变华发,bai'you'bian'hua'fa
白玉堂前一树梅,bai'yu'tang'qian'yi'shu'mei
百越城池枕海圻,bai'yue'cheng'chi'zhen'hai'qi
百越画图观,bai'yue'hua'tu'guan
百越今无事,bai'yue'jin'wu'shi
白月满寒山,bai'yue'man'han'shan
白月岂知心,bai'yue'qi'zhi'xin
白云处处通,bai'yun'chu'chu'tong
白云从出岫,bai'yun'cong'chu'xiu
白云独何适,bai'yun'du'he'shi
白云翻送客,bai'yun'fan'song'ke
白云飞鸟去寂寞,bai'yun'fei'niao'qu'ji'mo
白云乖始愿,bai'yun'guai'shi'yuan
白云何事欲相留,bai'yun'he'shi'yu'xiang'liu
白云家自有,bai'yun'jia'zi'you
白云将犬去,bai'yun'jiang'quan'qu
白云今如古,bai'yun'jin'ru'gu
白云来往未嫌贫,bai'yun'lai'wang'wei'xian'pin
白云留不住,bai'yun'liu'bu'zhu
白云流水忆佳期,bai'yun'liu'shui'yi'jia'qi
白云留永日,bai'yun'liu'yong'ri
白云千里万里,bai'yun'qian'li'wan'li
白云去不反,bai'yun'qu'bu'fan
白云如有意,bai'yun'ru'you'yi
白云西上催归念,bai'yun'xi'shang'cui'gui'nian
白云心已负,bai'yun'xin'yi'fu
白云心已矣,bai'yun'xin'yi'yi
白云心自远,bai'yun'xin'zi'yuan
白云依静渚,bai'yun'yi'jing'zhu
白云幽卧处,bai'yun'you'wo'chu
白云长在天,bai'yun'zhang'zai'tian
白云自虚盈,bai'yun'zi'xu'ying
百战残兵功未论,bai'zhan'can'bing'gong'wei'lun
百战苦不归,bai'zhan'ku'bu'gui
百丈深涧里,bai'zhang'shen'jian'li
白雉朝飞挟两雌,bai'zhi'chao'fei'xie'liang'ci
半壁栖夜魄,ban'bi'qi'ye'po
半道遥看骢马归,ban'dao'yao'kan'cong'ma'gui
半酣呼鹰出远郊,ban'han'hu'ying'chu'yuan'jiao
半逻莺满树,ban'luo'ying'man'shu
班女因猜下长信,ban'nv'yin'cai'xia'chang'xin
半山溪雨带斜晖,ban'shan'xi'yu'dai'xie'hui
半是乘槎便,ban'shi'cheng'cha'bian
斑竹对湘沅,ban'zhu'dui'xiang'yuan
斑竹自成林,ban'zhu'zi'cheng'lin
邦传蔽芾新,bang'chuan'bi'fei'xin
榜连溪水碧,bang'lian'xi'shui'bi
傍倚枯松根,bang'yi'ku'song'gen
宝刀留赠长相忆,bao'dao'liu'zeng'chang'xiang'yi
报德谁能不顾勋,bao'de'shui'neng'bu'gu'xun
报恩看铁剑,bao'en'kan'tie'jian
薄伐征貔虎,bao'fa'zheng'pi'hu
薄俸不自资,bao'feng'bu'zi'zi
宝凤衔花揲两螭,bao'feng'xian'hua'die'liang'chi
报国剑已折,bao'guo'jian'yi'zhe
薄宦知无媒,bao'huan'zhi'wu'mei
宝剑诚可用,bao'jian'cheng'ke'yong
宝剑捐江皋,bao'jian'juan'jiang'gao
宝镜凌曙开,bao'jing'ling'shu'kai
宝刃犹可试,bao'ren'you'ke'shi
宝瑟付齐娥,bao'se'fu'qi'e
鲍叔幸相知,bao'shu'xing'xiang'zhi
宝玉捐江皋,bao'yu'juan'jiang'gao
背楚方东走,bei'chu'fang'dong'zou
北斗戾南山摧,bei'dou'li'nan'shan'cui
被发之叟狂而痴,bei'fa'zhi'sou'kuang'er'chi
北方佳人东邻子,bei'fang'jia'ren'dong'lin'zi
北风吹羌笛,bei'feng'chui'qiang'di
北风动枯草,bei'feng'dong'ku'cao
北风秋雨寒,bei'feng'qiu'yu'han
北风雁急浮云秋,bei'feng'yan'ji'fu'yun'qiu
北风雨雪恨难裁,bei'feng'yu'xue'hen'nan'cai
悲歌和樵叟,bei'ge'he'qiao'sou
北海阴风动地来,bei'hai'yin'feng'dong'de'lai
背河更一战,bei'he'geng'yi'zhan
陂湖未澄碧,bei'hu'wei'cheng'bi
悲欢动黎元,bei'huan'dong'li'yuan
悲欢话所思,bei'huan'hua'suo'si
北客相逢疑姓秦,bei'ke'xiang'feng'yi'xing'qin
北虏传初解,bei'lu'chuan'chu'jie
北虏三十万,bei'lu'san'shi'wan
北落明星动光彩,bei'luo'ming'xing'dong'guang'cai
悲蛩满荆渚,bei'qiong'man'jing'zhu
碑缺曹娥宅,bei'que'cao'e'zhai
北阙九重谁许屈,bei'que'jiu'chong'shui'xu'qu
背日帝宫遥,bei'ri'di'gong'yao
北塔凌空虚,bei'ta'ling'kong'xu
碑苔几字灭,bei'tai'ji'zi'mie
北望无乡信,bei'wang'wu'xiang'xin
背为虎文龙翼骨,bei'wei'hu'wen'long'yi'gu
背岩春未发,bei'yan'chun'wei'fa
北游殊未还,bei'you'shu'wei'huan
陂泽闻鶬鹒,bei'ze'wen'cang'geng
北枝未发,bei'zhi'wei'fa
北中分与故交疏,bei'zhong'fen'yu'gu'jiao'shu
杯中忽复醉,bei'zhong'hu'fu'zui
杯中雪胸臆,bei'zhong'xue'xiong'yi
北逐楼烦王,bei'zhu'lou'fan'wang
北渚三更闻过雁,bei'zhu'san'geng'wen'guo'yan
北渚生芳草,bei'zhu'sheng'fang'cao
北走尽亭戍,bei'zou'jin'ting'shu
本持乡曲誉,ben'chi'xiang'qu'yu
本家关西族,ben'jia'guan'xi'zu
本惊时不住,ben'jing'shi'bu'zhu
本来清净所,ben'lai'qing'jing'suo
本来儒家子,ben'lai'ru'jia'zi
本来生灭尽,ben'lai'sheng'mie'jin
奔流到海不复回,ben'liu'dao'hai'bu'fu'hui
本谓才非据,ben'wei'cai'fei'ju
崩腾心为失,beng'teng'xin'wei'shi
碧草千万里,bi'cao'qian'wan'li
