暧暧澄湖光,ai'ai'cheng'hu'guang
金色身坏灭,jin'se'shen'huai'mie
金沙鸣珮环,jin'sha'ming'pei'huan
金沙熠熠动飙光,jin'sha'yi'yi'dong'biao'guang
禁深分直夜,jin'shen'fen'zhi'ye
今世沧浪情,jin'shi'cang'lang'qing
尽室今为客,jin'shi'jin'wei'ke
金石悬词律,jin'shi'xuan'ci'lv
晋水千庐合,jin'shui'qian'lu'he
今岁今宵尽,jin'sui'jin'xiao'jin
金锁夜不开,jin'suo'ye'bu'kai
金堂玉阙朝群仙,jin'tang'yu'que'chao'qun'xian
金梯与天接,jin'ti'yu'tian'jie
金天有青庙,jin'tian'you'qing'miao
津头云雨暗湘山,jin'tou'yun'yu'an'xiang'shan
今我单车复西上,jin'wo'dan'che'fu'xi'shang
今我一礼心,jin'wo'yi'li'xin
进无当代策,jin'wu'dang'dai'ce
巾舄生片云,jin'xi'sheng'pian'yun
今夕送归鞍,jin'xi'song'gui'an
晋阳寒食地,jin'yang'han'shi'di
金液徒堪荐,jin'ye'tu'kan'jian
今已访蓬瀛,jin'yi'fang'peng'ying
今移汉将坛,jin'yi'han'jiang'tan
锦衣绣翼何离褷,jin'yi'xiu'yi'he'li'shi
尽与浮云齐,jin'yu'fu'yun'qi
今与山鬼邻,jin'yu'shan'gui'lin
缙云讵比长沙远,jin'yun'ju'bi'chang'sha'yuan
进则耻保躬,jin'ze'chi'bao'gong
进则天下仰,jin'ze'tian'xia'yang
金章紫绶千馀骑,jin'zhang'zi'shou'qian'yu'qi
今朝忽见数花开,jin'zhao'hu'jian'shu'hua'kai
今朝江上客,jin'zhao'jiang'shang'ke
今朝偶见同袍友,jin'zhao'ou'jian'tong'pao'you
金樽渌酒生微波,jin'zun'lu'jiu'sheng'wei'bo
金樽清酒斗十千,jin'zun'qing'jiu'dou'shi'qian
金作蛟龙盘绣楹,jin'zuo'jiao'long'pan'xiu'ying
镜边含笑著春衣,jing'bian'han'xiao'zhu'chun'yi
荆钗任意撩新鬓,jing'chai'ren'yi'liao'xin'bin
井底玉冰洞地明,jing'di'yu'bing'dong'di'ming
静分岩响答,jing'fen'yan'xiang'da
旌麾独向东,jing'hui'du'xiang'dong
精魂托古木,jing'hun'tuo'gu'mu
荆棘烟尘满归路,jing'ji'yan'chen'man'gui'lu
精鉴逢山涛,jing'jian'feng'shan'tao
旌节陇城阴,jing'jie'long'cheng'yin
敬君中国来,jing'jun'zhong'guo'lai
竟看墓树如所言,jing'kan'mu'shu'ru'suo'yan
荆轲遂为血,jing'ke'sui'wei'xue
京口因家始愿违,jing'kou'yin'jia'shi'yuan'wei
经纶精微言,jing'lun'jing'wei'yan
荆门不堪别,jing'men'bu'kan'bie
荆门遥在目,jing'men'yao'zai'mu
惊年一叶落,jing'nian'yi'ye'luo
旌旆上江飞,jing'pei'shang'jiang'fei
旌旆悠悠上岭翻,jing'pei'you'you'shang'ling'fan
精魄今何之,jing'po'jin'he'zhi
旌旗猎猎榆关道,jing'qi'lie'lie'yu'guan'dao
旌旗十万宿长杨,jing'qi'shi'wan'su'chang'yang
惊禽栖不定,jing'qin'qi'bu'ding
惊秋空念归,jing'qiu'kong'nian'gui
竟日窗中岫,jing'ri'chuang'zhong'xiu
竟日馀香在,jing'ri'yu'xiang'zai
静扫阴山无鸟投,jing'sao'yin'shan'wu'niao'tou
荆山长号泣血人,jing'shan'chang'hao'qi'xue'ren
经史仍满腹,jing'shi'reng'man'fu
经霜抱节难,jing'shuang'bao'jie'nan
经霜更待攀,jing'shuang'geng'dai'pan
井税鹑衣乐,jing'shui'chun'yi'le
泾水横白烟,jing'shui'heng'bai'yan
静听关山闻一叫,jing'ting'guan'shan'wen'yi'jiao
静听松风寒,jing'ting'song'feng'han
荆吴相接水为乡,jing'wu'xiang'jie'shui'wei'xiang
经行长未还,jing'xing'chang'wei'huan
径须沽取对君酌,jing'xu'gu'qu'dui'jun'zhuo
井邑苍茫含暮烟,jing'yi'cang'mang'han'mu'yan
静者或相讥,jing'zhe'huo'xiang'ji
静者去躬耕,jing'zhe'qu'gong'geng
劲直随台柏,jing'zhi'sui'tai'bai
镜中无复少年时,jing'zhong'wu'fu'shao'nian'shi
荆州客独安,jing'zhou'ke'du'an
荆州麦熟茧成蛾,jing'zhou'mai'shu'jian'cheng'e
静坐金管阕,jing'zuo'jin'guan'que
迥出群峰当殿前,jiong'chu'qun'feng'dang'dian'qian
久被浮名系,jiu'bei'fu'ming'xi
久别长相忆,jiu'bie'chang'xiang'yi
久别耶溪客,jiu'bie'ye'xi'ke
旧宾伤未散,jiu'bin'shang'wei'san
九重今旰食,jiu'chong'jin'gan'shi
九重思晓奏,jiu'chong'si'xiao'zou
九重宣室召,jiu'chong'xuan'shi'zhao
旧传词赋客,jiu'chuan'ci'fu'ke
旧地愁看双树在,jiu'di'chou'kan'shuang'shu'zai
旧都怀作赋,jiu'du'huai'zuo'fu
旧馆何人宅,jiu'guan'he'ren'zhai
旧官移上象,jiu'guan'yi'shang'xiang
旧国穆陵关,jiu'guo'mu'ling'guan
旧国人未归,jiu'guo'ren'wei'gui
旧国无家访,jiu'guo'wu'jia'fang
旧国无来信,jiu'guo'wu'lai'xin
酒酣不识关西道,jiu'han'bu'shi'guan'xi'dao
旧剑锋芒尽,jiu'jian'feng'mang'jin
九江春草绿,jiu'jiang'chun'cao'lv
旧井依旧城,jiu'jing'yi'jiu'cheng
旧居太行北,jiu'ju'tai'hang'bei
旧客共沾衣,jiu'ke'gong'zhan'yi
久客将归失路蹊,jiu'ke'jiang'gui'shi'lu'qi
久客恋潇湘,jiu'ke'lian'xiao'xiang
久客田园废,jiu'ke'tian'yuan'fei
旧里树苍苍,jiu'li'shu'cang'cang
旧路经年别,jiu'lu'jing'nian'bie
旧路青山在,jiu'lu'qing'shan'zai
旧路依然此重过,jiu'lu'yi'ran'ci'zhong'guo
久迷空寂理,jiu'mi'kong'ji'li
旧浦满来移渡口,jiu'pu'man'lai'yi'du'kou
旧蒲雨抽节,jiu'pu'yu'chou'jie
旧人谁到翟公门,jiu'ren'shui'dao'zhai'gong'men
就日背长安,jiu'ri'bei'chang'an
九日采茱萸,jiu'ri'cai'zhu'yu
九日登高望,jiu'ri'deng'gao'wang
旧日仙成处,jiu'ri'xian'cheng'chu
旧石曹娥篆,jiu'shi'cao'e'zhuan
旧识窗前桂,jiu'shi'chuang'qian'gui
旧是帝王州,jiu'shi'di'wang'zhou
旧寺寻遗绪,jiu'si'xun'yi'xu
旧俗欢犹在,jiu'su'huan'you'zai
旧笋成寒竹,jiu'sun'cheng'han'zhu
酒香开瓮老,jiu'xiang'kai'weng'lao
旧业成青草,jiu'ye'cheng'qing'cao
旧业废春苗,jiu'ye'fei'chun'miao
旧业今已芜,jiu'ye'jin'yi'wu
旧业已应成茂草,jiu'ye'yi'ying'cheng'mao'cao
久已乖清言,jiu'yi'guai'qing'yan
九疑联绵皆相似,jiu'yi'lian'mian'jie'xiang'si
久依鄱水住,jiu'yi'po'shui'zhu
旧邑人稀经乱离,jiu'yi'ren'xi'jing'luan'li
旧邑云山里,jiu'yi'yun'shan'li
旧游成远道,jiu'you'cheng'yuan'dao
旧游经乱静,jiu'you'jing'luan'jing
旧游怜我长沙谪,jiu'you'lian'wo'chang'sha'zhe
旧游如梦里,jiu'you'ru'meng'li
九原唯望冢累累,jiu'yuan'wei'wang'zhong'lei'lei
九月湖上别,jiu'yue'hu'shang'bie
九月在南徐,jiu'yue'zai'nan'xu
久滞徒劳职,jiu'zhi'tu'lao'zhi
九族分离作楚囚,jiu'zu'fen'li'zuo'chu'qiu
举代称其贤,ju'dai'cheng'qi'xian
菊花能醉去官人,ju'hua'neng'zui'qu'guan'ren
举家相对却沾巾,ju'jia'xiang'dui'que'zhan'jin
举家行哭向田园,ju'jia'xing'ku'xiang'tian'yuan
俱怜一逐臣,ju'lian'yi'zhu'chen
巨灵安在哉,ju'ling'an'zai'zai
举目方如此,ju'mu'fang'ru'ci
举目伤芜没,ju'mu'shang'wu'mei
句曲盘江甸,ju'qu'pan'jiang'dian
举世皆尔为,ju'shi'jie'er'wei
巨石皆却立,ju'shi'jie'que'li
举世贪荆玉,ju'shi'tan'jing'yu
剧辛乐毅感恩分,ju'xin'yue'yi'gan'en'fen
倦此山路长,juan'ci'shan'lu'chang
娟娟寒露中,juan'juan'han'lu'zhong
卷帘高楼上,juan'lian'gao'lou'shang
娟魄已三孕,juan'po'yi'san'yun
卷帷望月空长叹,juan'wei'wang'yue'kong'chang'tan
觉后精神尚未回,jue'hou'jing'shen'shang'wei'hui
厥迹犹可望,jue'ji'you'ke'wang
绝漠大军还,jue'mo'da'jun'hai
绝巘东林寺,jue'yan'dong'lin'si
军败鼓声死,jun'bai'gu'sheng'si
君不见,jun'bu'jian
君不见长松百尺多劲节,jun'bu'jian'chang'song'bai'chi'duo'jing'jie
君不见朝歌屠叟辞棘津,jun'bu'jian'chao'ge'tu'sou'ci'ji'jin
君不见楚王台上红颜子,jun'bu'jian'chu'wang'tai'shang'hong'yan'zi
君不见东流水,jun'bu'jian'dong'liu'shui
君不见芳树枝,jun'bu'jian'fang'shu'zhi
君不见高山万仞连苍旻,jun'bu'jian'gao'shan'wan'ren'lian'cang'min
君不见高堂明镜悲白发,jun'bu'jian'gao'tang'ming'jing'bei'bai'fa
君不见高阳酒徒起草中,jun'bu'jian'gao'yang'jiu'tu'qi'cao'zhong
君不见黄河之水天上来,jun'bu'jian'huang'he'zhi'shui'tian'shang'lai
君不见骊山茂陵尽灰灭,jun'bu'jian'li'shan'mao'ling'jin'hui'mie
君不见梁上泥,jun'bu'jian'liang'shang'ni
君不见林下风,jun'bu'jian'lin'xia'feng
君不见门前柳,jun'bu'jian'men'qian'liu
君不见陌上花,jun'bu'jian'mo'shang'hua
君不见祁宫,jun'bu'jian'qi'gong
君不见山上苗,jun'bu'jian'shan'shang'miao
君不见铜鞮观,jun'bu'jian'tong'di'guan
君不见巫山神女作行云,jun'bu'jian'wu'shan'shen'nv'zuo'xing'yun
君不见吴中张翰称达生,jun'bu'jian'wu'zhong'zhang'han'cheng'da'sheng
君不见西郊云,jun'bu'jian'xi'jiao'yun
君不见昔时燕家重郭隗,jun'bu'jian'xi'shi'yan'jia'zhong'guo'wei
君不见岩下井,jun'bu'jian'yan'xia'jing
君不见宜春苑中九华殿,jun'bu'jian'yi'chun'yuan'zhong'jiu'hua'dian
君不见云中月,jun'bu'jian'yun'zhong'yue
君唱渡江吟,jun'chang'du'jiang'yin
君臣皆共怡,jun'chen'jie'gong'yi
君到长沙见几人,jun'dao'chang'sha'jian'ji'ren
军动马萧萧,jun'dong'ma'xiao'xiao
君更弹射何为乎,jun'geng'tan'she'he'wei'hu
君家杨柳渡,jun'jia'yang'liu'du
郡简容垂钓,jun'jian'rong'chui'diao
君见渔船时借问,jun'jian'yu'chuan'shi'jie'wen
君今不醉将安归,jun'jin'bu'zui'jiang'an'gui
君看章华宫,jun'kan'zhang'hua'gong
郡临新安渚,jun'lin'xin'an'zhu
君门献赋谁相达,jun'men'xian'fu'shui'xiang'da
君能举帆至淮南,jun'neng'ju'fan'zhi'huai'nan
君能一饮长城窟,jun'neng'yi'yin'chang'cheng'ku
军气横大荒,jun'qi'heng'da'huang
君起舞日西夕,jun'qi'wu'ri'xi'xi
君其振羽翮,jun'qi'zhen'yu'he
军前仍欲破重围,jun'qian'reng'yu'po'chong'wei
君去春江正淼茫,jun'qu'chun'jiang'zheng'miao'mang
君去道相思,jun'qu'dao'xiang'si
君去凋残后,jun'qu'diao'can'hou
君去吊灵均,jun'qu'diao'ling'jun
君去芳草绿,jun'qu'fang'cao'lv
君去问凋残,jun'qu'wen'diao'can
君失臣兮龙为鱼,jun'shi'chen'xi'long'wei'yu
君王不可见,jun'wang'bu'ke'jian
君王歌吹终不歇,jun'wang'ge'chui'zhong'bu'xie
君王正候五云车,jun'wang'zheng'hou'wu'yun'che
君问渔人意,jun'wen'yu'ren'yi
君无旧日情,jun'wu'jiu'ri'qing
君心见赏不见忘,jun'xin'jian'shang'bu'jian'wang
君行采采莫相忘,jun'xing'cai'cai'mo'xiang'wang
君行举首燕城路,jun'xing'ju'shou'yan'cheng'lu
君行为报三青鸟,jun'xing'wei'bao'san'qing'niao
君行意可得,jun'xing'yi'ke'de
君在江南相忆否,jun'zai'jiang'nan'xiang'yi'fou
君执幕中秘,jun'zhi'mu'zhong'mi
君子宜固思,jun'zi'yi'gu'si
君自忆山阴,jun'zi'yi'shan'yin
君作扬州客,jun'zuo'yang'zhou'ke
开閤延清风,kai'ge'yan'qing'feng
开花成凤实,kai'hua'cheng'feng'shi
开花每后时,kai'hua'mei'hou'shi
开口即有求,kai'kou'ji'you'qiu
开帘弹玉筝,kai'lian'tan'yu'zheng
开门见雀罗,kai'men'jian'que'luo
开门望长川,kai'men'wang'chang'chuan
开士旧名林,kai'shi'jiu'ming'lin
开唐天业盛,kai'tang'tian'ye'sheng
开田凿井白云中,kai'tian'zao'jing'bai'yun'zhong
开筵暂送君,kai'yan'zan'song'jun
看花几路迷,kan'hua'ji'lu'mi
看花听讼闲,kan'hua'ting'song'xian
看君此去荣,kan'jun'ci'qu'rong
看君发原隰,kan'jun'fa'yuan'xi
看历占春风,kan'li'zhan'chun'feng
看柳故年春,kan'liu'gu'nian'chun
看山采菊迟,kan'shan'cai'ju'chi
看山正独吟,kan'shan'zheng'du'yin
看心水无碍,kan'xin'shui'wu'ai
看著被风吹,kan'zhu'bei'feng'chui
看朱成碧颜始红,kan'zhu'cheng'bi'yan'shi'hong
看竹恨无君,kan'zhu'hen'wu'jun
看竹经霜少,kan'zhu'jing'shuang'shao
康乐爱山水,kang'le'ai'shan'shui
可悲燕丹事,ke'bei'yan'dan'shi
客程无地远,ke'cheng'wu'di'yuan
可夺单于垒,ke'duo'chan'yu'lei
客过二陵稀,ke'guo'er'ling'xi
客居烟波寄湘吴,ke'ju'yan'bo'ji'xiang'wu
客来舒长簟,ke'lai'shu'chang'dian
客里相逢款话深,ke'li'xiang'feng'kuan'hua'shen
可怜不得共芳菲,ke'lian'bu'de'gong'fang'fei
可怜歌舞惯相催,ke'lian'ge'wu'guan'xiang'cui
可怜今夜千门里,ke'lian'jin'ye'qian'men'li
可怜女儿三五许,ke'lian'nv'er'san'wu'xu
客路多逢汉骑营,ke'lu'duo'feng'han'qi'ying
客路方经楚,ke'lu'fang'jing'chu
客路风霜晓,ke'lu'feng'shuang'xiao
客路两崖开,ke'lu'liang'ya'kai
客路向南何处是,ke'lu'xiang'nan'he'chu'shi
客路再经春,ke'lu'zai'jing'chun
客路瞻太华,ke'lu'zhan'tai'hua
客马江上发,ke'ma'jiang'shang'fa
客散垂杨下,ke'san'chui'yang'xia
客散野亭空,ke'san'ye'ting'kong
客舍逢君未换衣,ke'she'feng'jun'wei'huan'yi
客舍无钱辄自安,ke'she'wu'qian'zhe'zi'an
客思闲偏极,ke'si'xian'pian'ji
客心豁初霁,ke'xin'huo'chu'ji
客心暮千里,ke'xin'mu'qian'li
客心仍在楚,ke'xin'reng'zai'chu
客心犹栩栩,ke'xin'you'xu'xu
客行渺无端,ke'xing'miao'wu'duan
可以横绝峨眉颠,ke'yi'heng'jue'e'mei'dian
可以徽黄金,ke'yi'hui'huang'jin
刻意吟云山,ke'yi'yin'yun'shan
客有哀时失职而听者,ke'you'ai'shi'shi'zhi'er'ting'zhe
客有住桂阳,ke'you'zhu'gui'yang
可争天下权,ke'zheng'tian'xia'quan
肯料泥涂辱,ken'liao'ni'tu'ru
肯料如今折腰事,ken'liao'ru'jin'zhe'yao'shi
铿鸣钟考朗鼓,keng'ming'zhong'kao'lang'gu
空把相如赋,kong'ba'xiang'ru'fu
空城垂故柳,kong'cheng'chui'gu'liu
空城秋气归,kong'cheng'qiu'qi'gui
空城问石头,kong'cheng'wen'shi'tou
空传古岸下,kong'chuan'gu'an'xia
恐逢故里莺花笑,kong'feng'gu'li'ying'hua'xiao
空复一猿哀,kong'fu'yi'yuan'ai
空谷耕田学子真,kong'gu'geng'tian'xue'zi'zhen
空谷无行径,kong'gu'wu'xing'jing
箜篌所悲竟不还,kong'hou'suo'bei'jing'bu'hai
空花随杖藜,kong'hua'sui'zhang'li
空见白云来,kong'jian'bai'yun'lai
空江人语响,kong'jiang'ren'yu'xiang
空郊晚骑单,kong'jiao'wan'qi'dan
空惊海上鸥,kong'jing'hai'shang'ou
空柯苍翠残,kong'ke'cang'cui'can
空愧学相如,kong'kui'xue'xiang'ru
空愧子猷过,kong'kui'zi'you'guo
空怜潮信回,kong'lian'chao'xin'hui
空怜江水平,kong'lian'jiang'shui'ping
空怜旧阴在,kong'lian'jiu'yin'zai
空怜琼树曾临匣,kong'lian'qiong'shu'ceng'lin'xia
空怜无处期,kong'lian'wu'chu'qi
空林网夕阳,kong'lin'wang'xi'yang
空林闲坐独焚香,kong'lin'xian'zuo'du'fen'xiang
空令登此楼,kong'ling'deng'ci'lou
空令浣沙态,kong'ling'huan'sha'tai
空令减衣带,kong'ling'jian'yi'dai
空令数行泪,kong'ling'shu'xing'lei
空留白日在人间,kong'liu'bai'ri'zai'ren'jian
空留楚客心,kong'liu'chu'ke'xin
空留一片石,kong'liu'yi'pian'shi
空媚幽林前,kong'mei'you'lin'qian
空门垂雀罗,kong'men'chui'que'luo
空山不见人,kong'shan'bu'jian'ren
空山不可闻,kong'shan'bu'ke'wen
空山更有人家,kong'shan'geng'you'ren'jia
空山寄此身,kong'shan'ji'ci'shen
空山寂寂开新垄,kong'shan'ji'ji'kai'xin'long
空山满咆哮,kong'shan'man'pao'xiao
空山梅冶烟,kong'shan'mei'ye'yan
空山泉落松窗静,kong'shan'quan'luo'song'chuang'jing
空山卧白云,kong'shan'wo'bai'yun
空山夏禹祠,kong'shan'xia'yu'ci
空山向郡城,kong'shan'xiang'jun'cheng
空山远客坟,kong'shan'yuan'ke'fen
空使沧洲人,kong'shi'cang'zhou'ren
空使忆君处,kong'shi'yi'jun'chu
空霜遂盈襟,kong'shuang'sui'ying'jin
空堂来霜气,kong'tang'lai'shuang'qi
空堂弥寂寞,kong'tang'mi'ji'mo
空堂生百忧,kong'tang'sheng'bai'you
空堂只是一灯悬,kong'tang'zhi'shi'yi'deng'xuan
空庭客至逢摇落,kong'ting'ke'zhi'feng'yao'luo
空庭新雨莓苔绿,kong'ting'xin'yu'mei'tai'lv
空为人所怜,kong'wei'ren'suo'lian
空羡向南枝,kong'xian'xiang'nan'zhi
空向两崖看,kong'xiang'liang'ya'kan
空悬明月待君王,kong'xuan'ming'yue'dai'jun'wang
空咏饮泉诗,kong'yong'yin'quan'shi
空馀白云在,kong'yu'bai'yun'zai
空馀草露湿罗衣,kong'yu'cao'lu'shi'luo'yi
空馀泪滴回潮,kong'yu'lei'di'hui'chao
空斋向暮山,kong'zhai'xiang'mu'shan
孔璋才素健,kong'zhang'cai'su'jian
空知行路难,kong'zhi'xing'lu'nan
空指行人往来处,kong'zhi'xing'ren'wang'lai'chu
空中飞去复飞来,kong'zhong'fei'qu'fu'fei'lai
空中寒磬夕,kong'zhong'han'qing'xi
空中闻异香,kong'zhong'wen'yi'xiang
空洲草径春,kong'zhou'cao'jing'chun
空洲夕烟敛,kong'zhou'xi'yan'lian
叩齿焚香出世尘,kou'chi'fen'xiang'chu'shi'chen
扣船应渔父,kou'chuan'ying'yu'fu
口道沧溟是我家,kou'dao'cang'ming'shi'wo'jia
口喷红光汗沟朱,kou'pen'hong'guang'han'gou'zhu
扣舷从此去,kou'xian'cong'ci'qu
口衔明月喷芙蓉,kou'xian'ming'yue'pen'fu'rong
口云七十馀,kou'yun'qi'shi'yu
苦饥候朝餐,ku'ji'hou'chao'can
枯涧为生泉,ku'jian'wei'sheng'quan
枯松倒挂倚绝壁,ku'song'dao'gua'yi'jue'bi
枯杨枯杨尔生稊,ku'yang'ku'yang'er'sheng'ti
快快悟灵龟,kuai'kuai'wu'ling'gui
狂风暴雨终摧折,kuang'feng'bao'yu'zhong'cui'zhe
狂风吹去落谁家,kuang'feng'chui'qu'luo'shui'jia
况复时闻乌夜啼,kuang'fu'shi'wen'wu'ye'ti
况复新秋一雁过,kuang'fu'xin'qiu'yi'yan'guo
狂客落魄尚如此,kuang'ke'luo'po'shang'ru'ci
狂虏怯知机,kuang'lu'qie'zhi'ji
况乃潇湘秋,kuang'nai'xiao'xiang'qiu
旷然见沧洲,kuang'ran'jian'cang'zhou
旷然谐远寻,kuang'ran'xie'yuan'xun
旷然烟霞收,kuang'ran'yan'xia'shou
况是洞中人,kuang'shi'dong'zhong'ren
况为士卒先,kuang'wei'shi'zu'xian
旷野自耕耘,kuang'ye'zi'geng'yun
狂因酿黍春,kuang'yin'niang'shu'chun
愧尔意相宽,kui'er'yi'xiang'kuan
愧将生事托,kui'jiang'sheng'shi'tuo
愧君犹遣慎风波,kui'jun'you'qian'shen'feng'bo
廓落时得意,kuo'luo'shi'de'yi
来乘使者轩,lai'cheng'shi'zhe'xuan
来访赤县仙,lai'fang'chi'xian'xian
来趋汉将营,lai'qu'han'jiang'ying
来去解相随,lai'qu'jie'xiang'sui
来去岂无心,lai'qu'qi'wu'xin
来去云无意,lai'qu'yun'wu'yi
来去云阳路,lai'qu'yun'yang'lu
来时浦口花迎入,lai'shi'pu'kou'hua'ying'ru
来往落帆过,lai'wang'luo'fan'guo
来往落湘沅,lai'wang'luo'xiang'yuan
来往片帆愁白波,lai'wang'pian'fan'chou'bai'bo
来往任风波,lai'wang'ren'feng'bo
来往石门难,lai'wang'shi'men'nan
来往逐云山,lai'wang'zhu'yun'shan
来为采葑菲,lai'wei'cai'feng'fei
来问太原卒,lai'wen'tai'yuan'zu
来问周公税,lai'wen'zhou'gong'shui
来寻羽客家,lai'xun'yu'ke'jia
赖有东床客,lai'you'dong'chuang'ke
赖有琼瑶资,lai'you'qiong'yao'zi
懒从华发乱,lan'cong'hua'fa'luan
兰筋权奇走灭没,lan'jin'quan'qi'zou'mie'mo
烂熳从天涯,lan'man'cong'tian'ya
懒慢羞趋府,lan'man'xiu'qu'fu
懒起下帘帷,lan'qi'xia'lian'wei
兰桡缦转傍汀沙,lan'rao'man'zhuan'bang'ting'sha
懒任垂竿老,lan'ren'chui'gan'lao
兰亭水尚流,lan'ting'shui'shang'liu
岚烟瀑水如向人,lan'yan'pu'shui'ru'xiang'ren
兰渚催新幄,lan'zhu'cui'xin'wo
郎去灞陵转惆怅,lang'qu'ba'ling'zhuan'chou'chang
老鬓莫凝霜,lao'bin'mo'ning'shuang
老得沧州趣,lao'de'cang'zhou'qu
老鹤无衰貌,lao'he'wu'shuai'mao
老将守孤城,lao'jiang'shou'gu'cheng
牢落对空洲,lao'luo'dui'kong'zhou
牢落机心尽,lao'luo'ji'xin'jin
老年空有泪沾衣,lao'nian'kong'you'lei'zhan'yi
老农持锸拜,lao'nong'chi'cha'bai
老农开古地,lao'nong'kai'gu'di
老去恋明时,lao'qu'lian'ming'shi
老人偏畏过芳菲,lao'ren'pian'wei'guo'fang'fei
老向南邦众所悲,lao'xiang'nan'bang'zhong'suo'bei
老至居人下,lao'zhi'ju'ren'xia
了义惠心能善诱,le'yi'hui'xin'neng'shan'you
了与悬解同,le'yu'xuan'jie'tong
雷公砰訇震天鼓,lei'gong'peng'hong'zhen'tian'gu
泪尽关山曲,lei'jin'guan'shan'qu
泪尽江楼北望归,lei'jin'jiang'lou'bei'wang'gui
泪淋浪以沾襟,lei'lin'lang'yi'zhan'jin
羸马朝自燕,lei'ma'chao'zi'yan
羸马望北走,lei'ma'wang'bei'zou
累辱群公荐,lei'ru'qun'gong'jian
罍觞且终宴,lei'shang'qie'zhong'yan
累世称其贤,lei'shi'cheng'qi'xian
累夕陪宴慰,lei'xi'pei'yan'wei
累幸忝宾荐,lei'xing'tian'bin'jian
雷雨发残生,lei'yu'fa'can'sheng
雷雨飞半腹,lei'yu'fei'ban'fu
累征期旦暮,lei'zheng'qi'dan'mu
离别洞庭头,li'bie'dong'ting'tou
离别寒江上,li'bie'han'jiang'shang
离别江南北,li'bie'jiang'nan'bei
离别谁堪道,li'bie'shui'kan'dao
离别要逢春,li'bie'yao'feng'chun
离别雨萧萧,li'bie'yu'xiao'xiao
离肠便千里,li'chang'bian'qian'li
吏道岂易惬,li'dao'qi'yi'qie
离恨应难歇,li'hen'ying'nan'xie
梨花发旧枝,li'hua'fa'jiu'zhi
篱花犹及重阳发,li'hua'you'ji'chong'yang'fa
离家几日茱萸新,li'jia'ji'ri'zhu'yu'xin
篱菊仍新吐,li'ju'reng'xin'tu
离居剩凄戚,li'ju'sheng'qi'qi
历历沙上人,li'li'sha'shang'ren
离离一寒骑,li'li'yi'han'qi
离乱故城多,li'luan'gu'cheng'duo
离乱要知君到处,li'luan'yao'zhi'jun'dao'chu
篱落能相近,li'luo'neng'xiang'jin
立马皆不发,li'ma'jie'bu'fa
离念无明晦,li'nian'wu'ming'hui
离念与时积,li'nian'yu'shi'ji
力排南山三壮士,li'pai'nan'shan'san'zhuang'shi
澧浦荆门行可见,li'pu'jing'men'xing'ke'jian
离群方岁晏,li'qun'fang'sui'yan
离人倾浊醪,li'ren'qing'zhuo'lao
离人正惆怅,li'ren'zheng'chou'chang
礼僧云树中,li'seng'yun'shu'zhong
离思过湘沅,li'si'guo'xiang'yuan
离思空断续,li'si'kong'duan'xu
李斯税驾苦不早,li'si'shui'jia'ku'bu'zao
吏体庄生傲,li'ti'zhuang'sheng'ao
礼闱称独步,li'wei'cheng'du'bu
离心共渺然,li'xin'gong'miao'ran
离心秋草绿,li'xin'qiu'cao'lv
离心日远如流水,li'xin'ri'yuan'ru'liu'shui
离心与潮信,li'xin'yu'chao'xin
离心与流水,li'xin'yu'liu'shui
离心与杨柳,li'xin'yu'yang'liu
离心在何处,li'xin'zai'he'chu
吏邑沿清洛,li'yi'yan'qing'luo
鲤鱼在金盘,li'yu'zai'jin'pan
梨园弟子和凉州,li'yuan'di'zi'he'liang'zhou
礼乐夷风变,li'yue'yi'feng'bian
藜杖拜人稀,li'zhang'bai'ren'xi
藜杖懒迎征骑客,li'zhang'lan'ying'zheng'qi'ke
藜杖全吾道,li'zhang'quan'wu'dao
藜杖闲倚壁,li'zhang'xian'yi'bi
离尊不用起愁颜,li'zun'bu'yong'qi'chou'yan
怜爱苍生比蚍蜉,lian'ai'cang'sheng'bi'pi'fu
连岸去不断,lian'an'qu'bu'duan
连城白璧遭谗毁,lian'cheng'bai'bi'zao'chan'hui
恋此东道主,lian'ci'dong'dao'zhu
连峰去天不盈尺,lian'feng'qu'tian'bu'ying'chi
莲府开花萼,lian'fu'kai'hua'e
恋旧争趋府,lian'jiu'zheng'qu'fu
怜君巴峡深,lian'jun'ba'xia'shen
怜君不得已,lian'jun'bu'de'yi
怜君不得意,lian'jun'bu'de'yi
怜君此去未得意,lian'jun'ci'qu'wei'de'yi
怜君洞庭上,lian'jun'dong'ting'shang
怜君更去三千里,lian'jun'geng'qu'san'qian'li
怜君更远人,lian'jun'geng'yuan'ren
怜君孤垄寄双峰,lian'jun'gu'long'ji'shuang'feng
怜君何事到天涯,lian'jun'he'shi'dao'tian'ya
怜君恨独深,lian'jun'hen'du'shen
怜君计画谁知者,lian'jun'ji'hua'shui'zhi'zhe
恋君秋夜永,lian'jun'qiu'ye'yong
怜君去未回,lian'jun'qu'wei'hui
怜君头已白,lian'jun'tou'yi'bai
怜君献策十馀载,lian'jun'xian'ce'shi'yu'zai
怜君一见一悲歌,lian'jun'yi'jian'yi'bei'ge
怜君异域朝周远,lian'jun'yi'yu'chao'zhou'yuan
敛眉语芳草,lian'mei'yu'fang'cao
联翩入琐闱,lian'pian'ru'suo'wei
廉使托茕嫠,lian'shi'tuo'qiong'li
恋土函关外,lian'tu'han'guan'wai
