安定堡,an'ding'bao
安格斯,an'ge'si
安氏培根披萨,an'shi'pei'gen'pi'sa
澳洲带子,ao'zhou'dai'zi
澳洲番茄牛肉汤,ao'zhou'fan'qie'niu'rou'tang
澳洲牛肉粒彩椒焗饭,ao'zhou'niu'rou'li'cai'jiao'ju'fan
扒板,ba'ban
巴黎龙虾,ba'li'long'xia
巴罗洛特色提拉米苏,ba'luo'luo'te'se'ti'la'mi'su
白豆,bai'dou
白胡椒,bai'hu'jiao
百里香,bai'li'xiang
白葡萄酒,bai'pu'tao'jiu
白糖,bai'tang
白脱核桃,bai'tuo'he'tao
白汁鲜贝南瓜意面,bai'zhi'xian'bei'nan'gua'yi'mian
班戟,ban'ji
鲍菇串香肠,bao'gu'chuan'xiang'chang
保云苏,bao'yun'su
北海道牛奶土司,bei'hai'dao'niu'nai'tu'si
北海道吐司,bei'hai'dao'tu'si
北欧吞拿鱼沙拉,bei'ou'tun'na'yu'sha'la
比利时巧克力,bi'li'shi'qiao'ke'li
比目鱼,bi'mu'yu
比萨饼,bi'sa'bing
冰激凌,bing'ji'ling
薄荷叶,bo'he'ye
菠萝焗火腿,bo'luo'ju'huo'tui
布里芝士,bu'li'zhi'shi
布列塔尼饼,bu'lie'ta'ni'bing
菜果烤鸭,cai'guo'kao'ya
彩椒茄子苜蓿芽面包,cai'jiao'qie'zi'mu'xu'ya'mian'bao
彩椒意大利面,cai'jiao'yi'da'li'mian
餐后甜品,can'hou'tian'pin
餐汤,can'tang
草莓酱,cao'mei'jiang
草莓芝士饼,cao'mei'zhi'shi'bing
叉烧鸡柳块,cha'shao'ji'liu'kuai
创意肉饼意面,chuang'yi'rou'bing'yi'mian
大虾烩意面,da'xia'hui'yi'mian
大煮干丝,da'zhu'gan'si
蛋黄酱,dan'huang'jiang
淡奶油,dan'nai'you
岛屿沙拉,dao'yu'sha'la
德克萨斯风味烤鸡排,de'ke'sa'si'feng'wei'kao'ji'pai
得莫利炖鱼,de'mo'li'dun'yu
低卡三明治,di'ka'san'ming'zhi
淀粉,dian'fen
冬至布丁,dong'zhi'bu'ding
杜本内,du'ben'nei
鹅肝,e'gan
鹅肝酱,e'gan'jiang
鹅肝排,e'gan'pai
鹅肝坯,e'gan'pi
鳄梨,e'li
俄罗斯包菜卷,e'luo'si'bao'cai'juan
