阿纷,a'fen
阿黑娜,a'hei'na
阿米尔,a'mi'er
阿囡,a'nan
阿史那毕咄鲁,a'shi'na'bi'duo'lu
阿史那东布尔刻,a'shi'na'dong'bu'er'ke
阿史那古丽雅,a'shi'na'gu'li'ya
阿史那撒鲁尔,a'shi'na'sa'lu'er
安国夫人,an'guo'fu'ren
安国侯,an'guo'hou
蓖伽,bi'jia
卞京,bian'jing
兵部尚书,bing'bu'shang'shu
兵部侍郎,bing'bu'shi'lang
兵部左侍郎,bing'bu'zuo'shi'lang
波同,bo'tong
卜香凝,bu'xiang'ning
布仲家公子,bu'zhong'jia'gong'zi
参军,can'jun
婵婵,chan'chan
昌发嫂,chang'fa'sao
程空,cheng'kong
仇叔,chou'shu
初画,chu'hua
初仁,chu'ren
初蕊,chu'rui
初信,chu'xin
川北第一杀,chuan'bei'di'yi'sha
川雍侯,chuan'yong'hou
淳于越,chun'yu'yue
丛嘉王妃,cong'jia'wang'fei
从五品飞骑尉,cong'wu'pin'fei'qi'wei
大理寺卿,da'li'si'qing
戴海冰,dai'hai'bing
刀爷,dao'ye
典雍真人,dian'yong'zhen'ren
东庭太祖,dong'ting'tai'zu
东吴太守,dong'wu'tai'shou
东营教头,dong'ying'jiao'tou
东珠,dong'zhu
窦丽华,dou'li'hua
都美儿,dou'mei'er
窦亭,dou'ting
窦英华,dou'ying'hua
段承嗣,duan'cheng'si
段刚,duan'gang
段刚手下第一大将,duan'gang'shou'xia'di'yi'da'jiang
多吉拉,duo'ji'la
法舟,fa'zhou
绯都可汗,fei'dou'ke'han
绯玉公子,fei'yu'gong'zi
奉定,feng'ding
风随虎,feng'sui'hu
封依,feng'yi
冯章泰,feng'zhang'tai
驸马都尉,fu'ma'du'wei
甘四娘,gan'si'niang
高纪年,gao'ji'nian
谷浑王,gu'hun'wang
姑苏第一美女,gu'su'di'yi'mei'nv
关阑,guan'lan
光复,guang'fu
光潜,guang'qian
广威将军,guang'wei'jiang'jun
光义王,guang'yi'wang
鬼爷,gui'ye
果尔仁,guo'er'ren
国丈,guo'zhang
韩修竹,han'xiu'zhu
昊天侯,hao'tian'hou
河南府尹,he'nan'fu'yin
红红,hong'hong
护国大将军,hu'guo'da'jiang'jun
胡勇,hu'yong
花东夫人,hua'dong'fu'ren
花蝴蝶,hua'hu'die
花锦绣,hua'jin'xiu
槐安,huai'an
槐安王,huai'an'wang
黄川,huang'chuan
慧明,hui'ming
慧能,hui'neng
火拔家,huo'ba'jia
吉亚,ji'ya
蓟州守将,ji'zhou'shou'jiang
贾善,jia'shan
佳西娜,jia'xi'na
焦大,jiao'da
金谷子,jin'gu'zi
锦华夫人,jin'hua'fu'ren
禁军统领,jin'jun'tong'ling
靖夏王,jing'xia'wang
静逸道人,jing'yi'dao'ren
九贞居士,jiu'zhen'ju'shi
君阿计,jun'a'ji
君昌发,jun'chang'fa
君长根,jun'chang'gen
君春来,jun'chun'lai
君翠花,jun'cui'hua
君二狗,jun'er'gou
君二盛,jun'er'sheng
君树涛,jun'shu'tao
君沿歌,jun'yan'ge
君长叶,jun'zhang'ye
卡玛勒,ka'ma'le
可丹,ke'dan
拉都伊,la'dou'yi
兰生,lan'sheng
老于,lao'yu
礼部尚书,li'bu'shang'shu
李如,li'ru
李实,li'shi
连大娘,lian'da'niang
连皇后,lian'huang'hou
连如海,lian'ru'hai
连瑞,lian'rui
烈火刀于飞燕,lie'huo'dao'yu'fei'yan
林毕延,lin'bi'yan
柳风,liu'feng
刘海,liu'hai
柳言生,liu'yan'sheng
陆邦惇,lu'bang'dun
卢伦,lu'lun
鲁元,lu'yuan
露珠,lu'zhu
洛果土司,luo'guo'tu'si
洛洛,luo'luo
洛玉华,luo'yu'hua
绿萼,lv'e
媚儿,mei'er
美珠,mei'zhu
蒙华山,meng'hua'shan
孟寅,meng'yin
蒙诏,meng'zhao
米拉,mi'la
妙手医圣,miao'shou'yi'sheng
敏卿,min'qing
明凤城,ming'feng'cheng
明风扬,ming'feng'yang
明惠忠,ming'hui'zhong
明仲日,ming'zhong'ri
摩尼亚赫,mo'ni'ya'he
墨隐,mo'yin
木尹,mu'yin
穆宗和,mu'zong'he
南诏左丞相,nan'zhao'zuo'cheng'xiang
念槿,nian'jin
宁帝,ning'di
牛哥二嫂,niu'ge'er'sao
女侍医,nv'shi'yi
潘正越,pan'zheng'yue
平鲁将军,ping'lu'jiang'jun
平律公主,ping'lv'gong'zhu
平宁长公主,ping'ning'zhang'gong'zhu
齐伯天,qi'bo'tian
契丹大将,qi'dan'da'jiang
齐放,qi'fang
齐子雄,qi'zi'xiong
千面手,qian'mian'shou
前任武林盟主,qian'ren'wu'lin'meng'zhu
巧巧,qiao'qiao
乔万,qiao'wan
琴儿,qin'er
秦敏宜,qin'min'yi
秦中神剑,qin'zhong'shen'jian
倾城诸葛,qing'cheng'zhu'ge
清风傲竹,qing'feng'ao'zhu
青媚,qing'mei
清泉公子,qing'quan'gong'zi
丘道长,qiu'dao'zhang
热依汗古丽,re'yi'han'gu'li
任时峭,ren'shi'qiao
仁宗,ren'zong
上骑都尉,shang'qi'du'wei
芍儿,shao'er
神谷谷主,shen'gu'gu'zhu
谥号,shi'hao
谥号宁帝,shi'hao'ning'di
淑德贞烈公主,shu'de'zhen'lie'gong'zhu
司马莲,si'ma'lian
司马晴绍,si'ma'qing'shao
四品御前带刀护卫,si'pin'yu'qian'dai'dao'hu'wei
宋明磊,song'ming'lei
素辉,su'hui
苏容,su'rong
岁寒三友,sui'han'san'you
踏雪,ta'xue
踏雪公子,ta'xue'gong'zi
太子太保,tai'zi'tai'bao
田大豆,tian'da'dou
铁灿子,tie'can'zi
突厥第一勇士,tu'jue'di'yi'yong'shi
妥阜巴,tuo'fu'ba
妥彦,tuo'yan
王宝婵,wang'bao'chan
王二,wang'er
王年参,wang'nian'can
王真,wang'zhen
韦虎,wei'hu
