阿爸,a'ba
阿妈,a'ma
巴豁子,ba'huo'zi
边梁,bian'liang
不碍事,bu'ai'shi
不屌照,bu'diao'zhao
不烦神,bu'fan'shen
不柔你,bu'rou'ni
茶沟,cha'gou
尺巴撅,chi'ba'jue
次所,ci'suo
打滴溜,da'di'liu
打琅,da'lang
大楼,da'lou
蛋给你善掉,dan'gei'ni'shan'diao
蛋汤,dan'tang
当阳,dang'yang
到位,dao'wei
得闲,de'xian
地豆子,di'dou'zi
喋六,die'liu
抖擞,dou'sou
二一子,er'yi'zi
干饭,gan'fan
干扣,gan'kou
缸帖子,gang'tie'zi
杠眼子,gang'yan'zi
胳膊肘子,ge'bo'zhou'zi
隔哪来,ge'na'lai
个行,ge'xing
个照,ge'zhao
拐迪,guai'di
光布脊酿,guang'bu'ji'niang
哈巴廊子,ha'ba'lang'zi
烘柿子,hong'shi'zi
豁牙巴,huo'ya'ba
尖刚得,jian'gang'de
绝打车,jue'da'che
觉呼,jue'hu
靠带,kao'dai
尻了,kao'le
可是滴该,ke'shi'di'gai
磕膝盖,ke'xi'gai
磕膝头,ke'xi'tou
可照,ke'zhao
可招来的,ke'zhao'lai'de
拉倒,la'dao
拉呱,la'gua
赖猴子,lai'hou'zi
朗一把,lang'yi'ba
老几,lao'ji
老新,lao'xin
老真蛋样,lao'zhen'dan'yang
塄头青,leng'tou'qing
撩贱,liao'jian
馏馍,liu'mo
六椰子,liu'ye'zi
马上一时,ma'shang'yi'shi
蚂虾,ma'xia
毛剌子,mao'la'zi
没象,mei'xiang
孬熊,nao'xiong
你哈吧,ni'ha'ba
你讲割造,ni'jiang'ge'zao
农孩,nong'hai
日摆,ri'bai
日摆来日摆去,ri'bai'lai'ri'bai'qu
日眼人,ri'yan'ren
萨汤,sa'tang
赛脸,sai'lian
渗歪人,shen'wai'ren
俆屌,shu'diao
调呼,tiao'hu
条帚,tiao'zhou
听头,ting'tou
歪歪,wai'wai
我地个孩来,wo'di'ge'hai'lai
我地乖来,wo'di'guai'lai
我地孩来,wo'di'hai'lai
我滴天来,wo'di'tian'lai
乌鼻照眼,wu'bi'zhao'yan
雾掉了,wu'diao'le
无浪神,wu'lang'shen
小屁眼,xiao'pi'yan
鞋带,xie'dai
鞋沙子,xie'sha'zi
洋柿子,yang'shi'zi
洋雄样,yang'xiong'yang
也雄,ye'xiong
一嘎嘎,yi'ga'ga
一够够,yi'gou'gou
用棍子舞,yong'gun'zi'wu
炸壶,zha'hu
喳喳呼呼,zha'zha'hu'hu
者故,zhe'gu
真瓤,zhen'rang
走骚,zou'sao
