白槔,bai'gao
白金,bai'jin
白玉,bai'yu
白猿,bai'yuan
渤海,bo'hai
博石,bo'shi
长右,chang'you
长右山,chang'you'shan
成山,cheng'shan
赤金,chi'jin
赤鱬,chi'ru
赤水,chi'shui
杻阳山,chou'yang'shan
丹水,dan'shui
丹粟,dan'su
丹雘,dan'wo
丹穴山,dan'xue'shan
亶爰山,dan'yuan'shan
祷过山,dao'guo'shan
柢山,di'shan
二千九百五十里,er'qian'jiu'bai'wu'shi'li
发爽山,fa'shuang'shan
汎水,fan'shui
非山,fei'shan
凤皇,feng'huang
蝮虫,fu'chong
砆石,fu'shi
浮玉山,fu'yu'shan
蛊雕,gu'diao
灌灌,guan'guan
灌湘山,guan'xiang'shan
柜山,gui'shan
汉水,han'shui
虎蛟,hu'jiao
虖勺,hu'shao
虖勺山,hu'shao'shan
猾褢,hua'huai
黄金,huang'jin
虺尾,hui'wei
即流泽,ji'liu'ze
基山,ji'shan
鸡山,ji'shan
箕尾山,ji'wei'shan
鮆鱼,ji'yu
瘕疾,jia'ji
荆杞,jing'qi
九尾狐,jiu'wei'hu
具区,ju'qu
句余山,ju'yu'shan
会稽山,kuai'ji'shan
丽麂,li'ji
狸力,li'li
列涂,lie'tu
陵居,ling'ju
令丘山,ling'qiu'shan
流黄,liu'huang
留牛,liu'niu
六千五百三十里,liu'qian'wu'bai'san'shi'li
鹿蜀,lu'shu
鹿水,lu'shui
鹿吴山,lu'wu'shan
仑者山,lun'zhe'shan
旄山,mao'shan
迷榖,mi'gu
南次二经,nan'ci'er'jing
南次三经,nan'ci'san'jing
南山经,nan'shan'jing
南禺山,nan'yu'shan
鸟首,niao'shou
判木,pan'mu
滂水,pang'shui
芘蠃,pi'luo
牝牡,pin'mu
猼訑,po'dan
仆勾山,pu'gou'shan
其祠之礼,qi'ci'zhi'li
七千二百里,qi'qian'er'bai'li
漆吴山,qi'wu'shan
青丘山,qing'qiu'shan
青雘,qing'wo
丘山,qiu'shan
瞿父山,qu'fu'shan
瞿如,qu'ru
区吴山,qu'wu'shan
鹊山,que'shan
尚付鸟,shang'fu'niao
勺水,shao'shui
苕水,shao'shui
水玉,shui'yu
堂庭山,tang'ting'shan
天虞山,tian'yu'shan
稌米,tu'mi
抟鱼,tuan'yu
万六千三百八十里,wan'liu'qian'san'bai'ba'shi'li
尾踆,wei'cun
犀兕,xi'si
宪翼,xian'yi
咸阴山,xian'yin'shan
狌狌,xing'xing
旋龟,xuan'gui
玄鱼,xuan'yu
洵山,xun'shan
洵水,xun'shui
棪木,yan'mu
阏泽,yan'ze
阳夹山,yang'jia'shan
尧光山,yao'guang'shan
夷山湨水,yi'shan'ju'shui
泿水,yin'shui
英水,ying'shui
禺槀山,yu'gao'shan
育沛,yu'pei
羽山,yu'shan
淯水,yu'shui
育遗谷,yu'yi'gu
鵷雏,yuan'chu
鸳鸯,yuan'yang
猨翼山,yuan'yi'shan
泽更水,ze'geng'shui
招摇山,zhao'yao'shan
彘鬣,zhi'lie
中谷,zhong'gu
肿疾,zhong'ji
鴸鸟,zhu'niao
诸毗,zhu'pi
祝馀,zhu'yu
涿水,zhuo'shui
梓枏,zi'nan
佐水,zuo'shui
