阿波罗型,a'bo'luo'xing
阿拉伯图案,a'la'bo'tu'an
阿特拉斯,a'te'la'si
爱,ai
哀歌,ai'ge
哀歌性,ai'ge'xing
爱情文学,ai'qing'wen'xue
哀伤,ai'shang
案头剧本,an'tou'ju'ben
凹浮雕,ao'fu'diao
芭蕾舞,ba'lei'wu
巴西利卡,ba'xi'li'ka
白描,bai'miao
拜占庭美术,bai'zhan'ting'mei'shu
半浮雕,ban'fu'diao
版画,ban'hua
半纪录片,ban'ji'lu'pian
板面画,ban'mian'hua
版面设计,ban'mian'she'ji
半音阶,ban'yin'jie
半音音列,ban'yin'yin'lie
半音音列音乐,ban'yin'yin'lie'yin'yue
包浩斯,bao'hao'si
包摄韵,bao'she'yun
包装,bao'zhuang
悲哀,bei'ai
悲歌,bei'ge
悲歌剧,bei'ge'ju
背景,bei'jing
贝京曲线,bei'jing'qu'xian
悲剧,bei'ju
悲剧美,bei'ju'mei
悲剧性的点,bei'ju'xing'de'dian
悲剧知性,bei'ju'zhi'xing
被客观化精神,bei'ke'guan'hua'jing'shen
悲喜剧,bei'xi'ju
悲壮,bei'zhuang
本版画,ben'ban'hua
本来的美,ben'lai'de'mei
本来性移情,ben'lai'xing'yi'qing
本文解释,ben'wen'jie'shi
本文批评,ben'wen'pi'ping
本质直观,ben'zhi'zhi'guan
比较东器学,bi'jiao'dong'qi'xue
比较美术学,bi'jiao'mei'shu'xue
比较美学,bi'jiao'mei'xue
比较文学,bi'jiao'wen'xue
比较文学史,bi'jiao'wen'xue'shi
比较音乐史,bi'jiao'yin'yue'shi
比较音乐学,bi'jiao'yin'yue'xue
比例,bi'li
比喻,bi'yu
比喻性夸张,bi'yu'xing'kua'zhang
变态的,bian'tai'de
变奏曲形式,bian'zou'qu'xing'shi
表出,biao'chu
表出艺术,biao'chu'yi'shu
表面,biao'mian
表面色,biao'mian'se
表面线,biao'mian'xian
表情术,biao'qing'shu
标题音乐,biao'ti'yin'yue
表现,biao'xian
表现的艺术,biao'xian'de'yi'shu
表现美,biao'xian'mei
表现内容,biao'xian'nei'rong
表现学,biao'xian'xue
表象感情,biao'xiang'gan'qing
标准电影,biao'zhun'dian'ying
标准照相,biao'zhun'zhao'xiang
玻璃工艺,bo'li'gong'yi
玻璃画,bo'li'hua
补色,bu'se
不透明颜料,bu'tou'ming'yan'liao
不协和音,bu'xie'he'yin
不自由芝术,bu'zi'you'zhi'shu
彩画,cai'hua
材料的适当性,cai'liao'de'shi'dang'xing
材料机能,cai'liao'ji'neng
才能教育,cai'neng'jiao'yu
彩色玻璃,cai'se'bo'li
侧面大道具舞台,ce'mian'da'dao'ju'wu'tai
茶道,cha'dao
插话,cha'hua
插图,cha'tu
场,chang
长调,chang'diao
长句,chang'ju
场面,chang'mian
长篇小说,chang'pian'xiao'shuo
长音阶,chang'yin'jie
超感性美,chao'gan'xing'mei
超美,chao'mei
超现实主义,chao'xian'shi'zhu'yi
沉浮雕,chen'fu'diao
陈列,chen'lie
惩戒性,cheng'jie'xing
重唱,chong'chang
重叠,chong'die
崇高,chong'gao
崇高的灵魂,chong'gao'de'ling'hun
重奏,chong'zou
丑,chou
丑的美学,chou'de'mei'xue
抽象,chou'xiang
抽象冲动,chou'xiang'chong'dong
抽象的空间艺术,chou'xiang'de'kong'jian'yi'shu
抽象美术,chou'xiang'mei'shu
抽象形式主义,chou'xiang'xing'shi'zhu'yi
抽象艺术,chou'xiang'yi'shu
触觉,chu'jue
触觉空间,chu'jue'kong'jian
触觉像,chu'jue'xiang
触觉形,chu'jue'xing
触觉性,chu'jue'xing
传说,chuan'shuo
传统,chuan'tong
传统批评,chuan'tong'pi'ping
传统主义,chuan'tong'zhu'yi
创造,chuang'zao
创造的自然,chuang'zao'de'zi'ran
创造教育,chuang'zao'jiao'yu
创造教育理论,chuang'zao'jiao'yu'li'lun
创造性批评,chuang'zao'xing'pi'ping
创造性文学,chuang'zao'xing'wen'xue
创造性形式,chuang'zao'xing'xing'shi
创造性直观,chuang'zao'xing'zhi'guan
创作美学,chuang'zuo'mei'xue
创作气氛,chuang'zuo'qi'fen
纯粹电影,chun'cui'dian'ying
纯粹感情,chun'cui'gan'qing
纯粹可视性,chun'cui'ke'shi'xing
纯粹量形式,chun'cui'liang'xing'shi
纯粹美,chun'cui'mei
纯粹生产,chun'cui'sheng'chan
纯粹诗,chun'cui'shi
纯粹形式,chun'cui'xing'shi
纯粹艺术,chun'cui'yi'shu
纯粹直观,chun'cui'zhi'guan
纯粹质形式,chun'cui'zhi'xing'shi
纯音乐,chun'yin'yue
纯正律,chun'zheng'lv
纯正美,chun'zheng'mei
存在,cun'zai
存在的交际,cun'zai'de'jiao'ji
存在主义,cun'zai'zhu'yi
存在主义美学,cun'zai'zhu'yi'mei'xue
措辞,cuo'ci
大,da
达达主义,da'da'zhu'yi
大调,da'diao
大剧场,da'ju'chang
大理石雕刻,da'li'shi'diao'ke
大众传播,da'zhong'chuan'bo
大众观众,da'zhong'guan'zhong
大众媒体,da'zhong'mei'ti
大众艺术,da'zhong'yi'shu
单纯美,dan'chun'mei
耽美主义,dan'mei'zhu'yi
蛋清画,dan'qing'hua
道德美,dao'de'mei
道德性的象征,dao'de'xing'de'xiang'zheng
导入部,dao'ru'bu
导演,dao'yan
倒置,dao'zhi
倒装法,dao'zhuang'fa
德国观念论,de'guo'guan'nian'lun
登场人物,deng'chang'ren'wu
等级剧场,deng'ji'ju'chang
等身像,deng'shen'xiang
狄奥尼索斯颂歌,di'ao'ni'suo'si'song'ge
狄奥尼索斯型,di'ao'ni'suo'si'xing
第二主题,di'er'zhu'ti
递进法,di'jin'fa
地区样式,di'qu'yang'shi
第三人称形式,di'san'ren'cheng'xing'shi
第四面壁,di'si'mian'bi
第一人称形式,di'yi'ren'cheng'xing'shi
第一主题,di'yi'zhu'ti
点画派,dian'hua'pai
点景,dian'jing
电视剧,dian'shi'ju
电视片,dian'shi'pian
电视艺术理论,dian'shi'yi'shu'li'lun
典型,dian'xing
电影,dian'ying
电影的种类,dian'ying'de'zhong'lei
电影教育,dian'ying'jiao'yu
电影诗,dian'ying'shi
电影世界,dian'ying'shi'jie
电影学,dian'ying'xue
电影艺术理论,dian'ying'yi'shu'li'lun
电影音乐,dian'ying'yin'yue
电影运动,dian'ying'yun'dong
电子音乐,dian'zi'yin'yue
调性,diao'xing
调性音乐,diao'xing'yin'yue
定量主义,ding'liang'zhu'yi
定旋律,ding'xuan'lv
东方画,dong'fang'hua
动画,dong'hua
动画电影,dong'hua'dian'ying
动机,dong'ji
动作,dong'zuo
动作态,dong'zuo'tai
独白,du'bai
独白场面,du'bai'chang'mian
独唱,du'chang
独创性,du'chuang'xing
独角戏,du'jiao'xi
独奏,du'zou
短调,duan'tiao
短音阶,duan'yin'jie
断章,duan'zhang
对称,dui'chen
对话,dui'hua
对话轻歌剧,dui'hua'qing'ge'ju
对句,dui'ju
对位的音乐,dui'wei'de'yin'yue
对位法,dui'wei'fa
对象的感情,dui'xiang'de'gan'qing
对象的内容,dui'xiang'de'nei'rong
对象的艺术,dui'xiang'de'yi'shu
对韵,dui'yun
对照法,dui'zhao'fa
多调性,duo'diao'xing
多感样式,duo'gan'yang'shi
多含蓄的瞬间,duo'han'xu'de'shun'jian
多色木版,duo'se'mu'ban
多样的统一,duo'yang'de'tong'yi
恶悲剧,e'bei'ju
俄耳甫斯主义,e'er'fu'si'zhu'yi
俄国形式主义,e'guo'xing'shi'zhu'yi
恶汉小说,e'han'xiao'shuo
恶魔主义,e'mo'zhu'yi
二重赋格曲,er'chong'fu'ge'qu
二重露出,er'chong'lou'chu
二段式,er'duan'shi
发现,fa'xian
发展小说,fa'zhan'xiao'shuo
反复,fan'fu
范例的必然性,fan'li'de'bi'ran'xing
泛美主义,fan'mei'zhu'yi
反派角色,fan'pai'jiao'se
反小说,fan'xiao'shuo
反应的胚胎,fan'ying'de'pei'tai
反映理论,fan'ying'li'lun
反语,fan'yu
方向空间,fang'xiang'kong'jian
非具象艺术,fei'ju'xiang'yi'shu
非描写艺术,fei'miao'xie'yi'shu
非模仿性艺术,fei'mo'fang'xing'yi'shu
非事物艺术,fei'shi'wu'yi'shu
非同时表现,fei'tong'shi'biao'xian
分割派,fen'ge'pai
分镜头剧本,fen'jing'tou'ju'ben
分离派,fen'li'pai
分析美学,fen'xi'mei'xue
分析哲学,fen'xi'zhe'xue
讽刺,feng'ci
讽刺歌,feng'ci'ge
讽刺画,feng'ci'hua
讽刺诗,feng'ci'shi
讽刺性,feng'ci'xing
风格,feng'ge
风景画,feng'jing'hua
风俗画,feng'su'hua
风俗文学,feng'su'wen'xue
风俗小说,feng'su'xiao'shuo
佛师,fo'shi
佛所,fo'suo
浮雕,fu'diao
复调法,fu'diao'fa
复调性,fu'diao'xing
赋格曲,fu'ge'qu
符号,fu'hao
符号论美学,fu'hao'lun'mei'xue
符号学,fu'hao'xue
复合二部形式,fu'he'er'bu'xing'shi
复合三部形式,fu'he'san'bu'xing'shi
浮世绘版画,fu'shi'hui'ban'hua
附庸美,fu'yong'mei
复制,fu'zhi
复制品,fu'zhi'pin
复制艺术,fu'zhi'yi'shu
服装见舞台服装饱和度,fu'zhuang'jian'wu'tai'fu'zhuang'bao'he'du
感动,gan'dong
感官感情,gan'guan'gan'qing
感觉形式,gan'jue'xing'shi
感觉形式主义,gan'jue'xing'shi'zhu'yi
感觉游戏艺术,gan'jue'you'xi'yi'shu
感觉直观,gan'jue'zhi'guan
感情,gan'qing
感情表象说,gan'qing'biao'xiang'shuo
感情净化,gan'qing'jing'hua
感情美学,gan'qing'mei'xue
感伤喜剧,gan'shang'xi'ju
感性认识,gan'xing'ren'shi
感性语言,gan'xing'yu'yan
高浮雕,gao'fu'diao
高级象征,gao'ji'xiang'zheng
歌道,ge'dao
歌剧,ge'ju
格律诗,ge'lv'shi
革命文学,ge'ming'wen'xue
个人文学,ge'ren'wen'xue
个人样式,ge'ren'yang'shi
格式塔理论,ge'shi'ta'li'lun
哥特式,ge'te'shi
