阿修罗火焰,a'xiu'luo'huo'yan
暗器,an'qi
八宝大华轮,ba'bao'da'hua'lun
八宝零钱还击炮,ba'bao'ling'qian'huan'ji'pao
八宝霉气弹,ba'bao'mei'qi'dan
八宝五十元杀,ba'bao'wu'shi'yuan'sha
八宝五圆杀,ba'bao'wu'yuan'sha
八宝斋,ba'bao'zhai
八宝找钱给你,ba'bao'zhao'qian'gei'ni
百花缭乱水袖乾坤,bai'hua'liao'luan'shui'xiu'qian'kun
白鸟拳,bai'niao'quan
白鸟梓,bai'niao'zi
白蛇吐信掌,bai'she'tu'xin'zhang
爆破点穴,bao'po'dian'xue
背山倒海态,bei'shan'dao'hai'tai
毕考克,bi'kao'ke
变大术,bian'da'shu
冰河烈风息,bing'he'lie'feng'xi
苍雷,cang'lei
操心术,cao'xin'shu
茶勺飞镖,cha'shao'fei'biao
超技感冒吸引包,chao'ji'gan'mao'xi'yin'bao
初子,chu'zi
大介,da'jie
地狱摇篮,di'yu'yao'lan
动情药,dong'qing'yao
都大路茶月,dou'da'lu'cha'yue
毒蛇探穴掌,du'she'tan'xue'zhang
二宫雏子,er'gong'chu'zi
翻地席,fan'di'xi
反转宝珠,fan'zhuan'bao'zhu
肥鹅填食技,fei'e'tian'shi'ji
飞龙冰突破,fei'long'bing'tu'po
飞龙断绝踢,fei'long'duan'jue'ti
飞龙降临弹,fei'long'jiang'lin'dan
飞龙升天破,fei'long'sheng'tian'po
飞龙仰天破,fei'long'yang'tian'po
飞龙在天破水平击,fei'long'zai'tian'po'shui'ping'ji
凤凰拳,feng'huang'quan
凤凰山,feng'huang'shan
风林馆高中,feng'lin'guan'gao'zhong
风沙旋转之飞龙在天,feng'sha'xuan'zhuan'zhi'fei'long'zai'tian
风沙旋转之飞龙在天改良型,feng'sha'xuan'zhuan'zhi'fei'long'zai'tian'gai'liang'xing
风神扇,feng'shen'shan
格斗花式溜冰,ge'dou'hua'shi'liu'bing
格斗书法,ge'dou'shu'fa
格斗新体操,ge'dou'xin'ti'cao
广志,guang'zhi
鬼神来袭弹,gui'shen'lai'xi'dan
鬼神群大乱舞,gui'shen'qun'da'luan'wu
海千拳,hai'qian'quan
黑玫瑰,hei'mei'gui
黑玫瑰吹雪,hei'mei'gui'chui'xue
黑猪溺泉,hei'zhu'ni'quan
红翼,hong'yi
猴隐佐助,hou'yin'zuo'zhu
蝴蝶乱舞,hu'die'luan'wu
护身流星布,hu'shen'liu'xing'bu
花粉口罩,hua'fen'kou'zhao
怀中抱珠杀,huai'zhong'bao'zhu'sha
火龙大轮舞,huo'long'da'lun'wu
火焰橡皮奶嘴,huo'yan'xiang'pi'nai'zui
火炎杖,huo'yan'zhang
火中天津甘栗拳,huo'zhong'tian'jin'gan'li'quan
鸡蛋拳,ji'dan'quan
寄居拳,ji'ju'quan
寄居蟹拳,ji'ju'xie'quan
姬乱马,ji'luan'ma
饺子,jiao'zi
紧缚墨水蜘蛛网,jin'fu'mo'shui'zhi'zhu'wang
紧缚橡胶炒面,jin'fu'xiang'jiao'chao'mian
金尼,jin'ni
金丝紧缚翔,jin'si'jin'fu'xiang
今条真理子,jin'tiao'zhen'li'zi
金童玉女,jin'tong'yu'nv
九能带刀,jiu'neng'dai'dao
九能带旺,jiu'neng'dai'wang
九能流剃刀术,jiu'neng'liu'ti'dao'shu
九能小太刀,jiu'neng'xiao'tai'dao
九能校长,jiu'neng'xiao'zhang
久远寺右京,jiu'yuan'si'you'jing
恺户裂牙断,kai'hu'lie'ya'duan
可伦,ke'lun
裤袜太郎,ku'wa'tai'lang
傀儡菇,kui'lei'gu
傀儡术,kui'lei'shu
兰兰,lan'lan
狼牙袭背式,lang'ya'xi'bei'shi
乐京斋,le'jing'zhai
雷门手鞠,lei'men'shou'ju
雷蛇天诛杀,lei'she'tian'zhu'sha
雷神猛笔拳,lei'shen'meng'bi'quan
鲤鱼翻身,li'yu'fan'shen
凌空踢腿,ling'kong'ti'tui
铃铃,ling'ling
