阿大,a'da
阿等,a'deng
阿嫌,a'xian
阿姨你好,a'yi'ni'hao
挨墙靠坎,ai'qiang'kao'kan
矮人撞钟,ai'ren'zhuang'zhong
安界,an'jie
暗浓浓,an'nong'nong
安生,an'sheng
岙环,ao'huan
岙糟,ao'zao
八八,ba'ba
把格末事,ba'ge'mo'shi
巴结,ba'jie
拔牢,ba'lao
拔苗头,ba'miao'tou
把模,ba'mo
耙牙,ba'ya
拔直火棍,ba'zhi'huo'gun
拔猪尾巴,ba'zhu'wei'ba
拜拜冷自己哽,bai'bai'leng'zi'ji'geng
白豆,bai'dou
白糊糊,bai'hu'hu
白晃晃,bai'huang'huang
百货中百客,bai'huo'zhong'bai'ke
白脚梗,bai'jiao'geng
白老鼠,bai'lao'shu
白卵头念,bai'luan'tou'nian
白蒲,bai'pu
白铜元宝,bai'tong'yuan'bao
白雪雪,bai'xue'xue
白影影,bai'ying'ying
板板六十四,ban'ban'liu'shi'si
板坑,ban'keng
板路,ban'lu
半桶粪掌掌动,ban'tong'fen'zhang'zhang'dong
板扎,ban'zha
埲塕,bang'weng
刨刺瓜,bao'ci'gua
饱瞪瞪,bao'deng'deng
抱生人,bao'sheng'ren
抱生事,bao'sheng'shi
包头,bao'tou
背褡,bei'da
倍好用噢,bei'hao'yong'o
倍来,bei'lai
倍来爻,bei'lai'yao
倍走,bei'zou
笨呆呆,ben'dai'dai
本加本,ben'jia'ben
壁虱,bi'shi
鼻头红,bi'tou'hong
鼻头红血出,bi'tou'hong'xue'chu
鼻头落镬里,bi'tou'luo'huo'li
鼻头涕滥馋,bi'tou'ti'lan'chan
标致显,biao'zhi'xian
蹩后脚拔牢,bie'hou'jiao'ba'lao
蹩脚伍跟冲,bie'jiao'wu'gen'chong
瘪死藤浆,bie'si'teng'jiang
跛脚,bo'jiao
菠薐菜,bo'leng'cai
布头,bu'tou
不折不离,bu'zhe'bu'li
菜花,cai'hua
菜尖饼,cai'jian'bing
菜蔬,cai'shu
菜头,cai'tou
参出,can'chu
蚕豆,can'dou
苍蝇添秤头,cang'ying'tian'cheng'tou
藏鱼望虾做眼,cang'yu'wang'xia'zuo'yan
草鸡,cao'ji
草猪,cao'zhu
查根问蒂,cha'gen'wen'di
叉榔倒,cha'lang'dao
差眼眼,cha'yan'yan
柴吃肥,chai'chi'fei
柴牛讨犁,chai'niu'tao'li
缠牢破碎臭,chan'lao'po'sui'chou
缠死大藤,chan'si'da'teng
缠死脚骨,chan'si'jiao'gu
缠粘,chan'zhan
场部,chang'bu
畅行,chang'xing
鲳鱼嘴,chang'yu'zui
车才,che'cai
琛山,chen'shan
撑家私,cheng'jia'si
撑门头,cheng'men'tou
撑牌子,cheng'pai'zi
赤膊鸡代鸭愁,chi'bo'ji'dai'ya'chou
吃吃相,chi'chi'xiang
哧抖抖,chi'dou'dou
痴疯癫,chi'feng'dian
吃排山,chi'pai'shan
耻皮赖脸,chi'pi'lai'lian
吃生活,chi'sheng'huo
吃晚接力,chi'wan'jie'li
吃早接力,chi'zao'jie'li
赤猪肉,chi'zhu'rou
宠子儿,chong'zi'er
宠子囡,chong'zi'nan
出产,chu'chan
触霉头,chu'mei'tou
出洋相,chu'yang'xiang
除夜,chu'ye
初一吃十五饭,chu'yi'chi'shi'wu'fan
船帮船,chuan'bang'chuan
穿绷,chuan'beng
川豆,chuan'dou
船系浆桩,chuan'xi'jiang'zhuang
创心,chuang'xin
蠢蠢约约,chun'chun'yue'yue
戳蹩脚,chuo'bie'jiao
刺戳戳,ci'chuo'chuo
簇新,cu'xin
蹿蹿动,cuan'cuan'dong
蹿足蹬地,cuan'zu'deng'di
打白脸,da'bai'lian
打半日,da'ban'ri
打鼻头铳,da'bi'tou'chong
打草米,da'cao'mi
大虫,da'chong
大虫头搔痒,da'chong'tou'sao'yang
大船转折,da'chuan'zhuan'zhe
打打摍摍,da'da'suo'suo
打打索索,da'da'suo'suo
打倒刨,da'dao'bao
大杠人,da'gang'ren
打洪潮,da'hong'chao
打后手,da'hou'shou
打虎跳,da'hu'tiao
打虎做棒,da'hu'zuo'bang
打辣包球,da'la'bao'qiu
大浪,da'lang
大闾,da'lv
大娘头,da'niang'tou
打派司,da'pa'si
打炮仗,da'pao'zhang
打七戆八,da'qi'gang'ba
大球,da'qiu
大蛇蜕壳,da'she'tui'ke
打生,da'sheng
打水望影,da'shui'wang'ying
大水蟹,da'shui'xie
大头白眼,da'tou'bai'yan
搭我聚队,da'wo'ju'dui
大溪,da'xi
大细只眼,da'xi'zhi'yan
大约莫,da'yue'mo
大桩菜,da'zhuang'cai
呆大,dai'da
逮东碰西,dai'dong'peng'xi
带度娘,dai'du'niang
怠惰,dai'duo
逮七逮八,dai'qi'dai'ba
撣撣摸摸,dan'dan'mo'mo
弹胡,dan'hu
弹糊钻竹滚,dan'hu'zuan'zhu'gun
掸顺毛,dan'shun'mao
荡荡动,dang'dang'dong
荡地,dang'di
挡脚下手,dang'jiao'xia'shou
趤街,dang'jie
当中,dang'zhong
岛地头,dao'di'tou
倒垃圾,dao'la'ji
倒牌子,dao'pai'zi
刀切豆腐,dao'qie'dou'fu
稻熟,dao'shu
倒摊,dao'tan
倒汤,dao'tang
倒蟹壳,dao'xie'ke
倒灶,dao'zao
刀斫水样,dao'zhuo'shui'yang
的角四方,de'jiao'si'fang
得人憎,de'ren'zeng
等火落羹,deng'huo'luo'geng
灯芯头,deng'xin'tou
灯盏呒油,deng'zhan'fu'you
地地,di'di
地柎,di'fu
地栿头,di'fu'tou
滴加滴,di'jia'di
典水面,dian'shui'mian
癫斜犯,dian'xie'fan
钓浜,diao'bang
刁刁篤篤,diao'diao'du'du
吊缎,diao'duan
雕花,diao'hua
雕琢,diao'zhuo
喋喋突突,die'die'tu'tu
叠加叠,die'jia'die
钉打钉,ding'da'ding
钉打钉铁打铁,ding'da'ding'tie'da'tie
丁香,ding'xiang
东方,dong'fang
东三里四,dong'san'li'si
抖抖擞擞,dou'dou'sou'sou
豆腐尖,dou'fu'jian
斗鸡眼,dou'ji'yan
抖乱,dou'luan
肚搭下格话,du'da'xia'ge'hua
肚脐扛腰,du'qi'kang'yao
度蛇吃小蛇,du'she'chi'xiao'she
渡水蟹,du'shui'xie
度头白眼,du'tou'bai'yan
断价钿,duan'jia'dian
段加段,duan'jia'duan
对家统,dui'jia'tong
墩头鸭脚,dun'tou'ya'jiao
掇掇拾拾,duo'duo'shi'shi
恶毒烂做,e'du'lan'zuo
恶人相,e'ren'xiang
耳朵当眼,er'duo'dang'yan
发剧,fa'ju
饭锹,fan'qiao
番薯,fan'shu
范子,fan'zi
沸反盈天,fei'fan'ying'tian
飞切切,fei'qie'qie
胐臀,fei'tun
胐臀屁笋尖,fei'tun'pi'sun'jian
粉红蛋穿,fen'hong'dan'chuan
否及旮么,fou'ji'ga'me
呒啊,fu'a
呒告,fu'gao
呒告要紧,fu'gao'yao'jin
呒交事荐,fu'jiao'shi'jian
呒切掇拾,fu'qie'duo'shi
弗上弗落,fu'shang'fu'luo
扶梯格,fu'ti'ge
浮头鱼,fu'tou'yu
呒桩,fu'zhuang
呒桩头,fu'zhuang'tou
糕儿头,gao'er'tou
膏蟹,gao'xie
格班小鬼,ge'ban'xiao'gui
个耷,ge'da
格忽生人,ge'hu'sheng'ren
个加个,ge'jia'ge
格节目崭,ge'jie'mu'zhan
各奇洋相,ge'qi'yang'xiang
各窍,ge'qiao
格人蛮好,ge'ren'man'hao
个人全哈罗,ge'ren'quan'ha'luo
咯人咋嗯恁咯,ge'ren'za'en'nen'ge
格事茬,ge'shi'cha
格药蛮苦,ge'yao'man'ku
格夜市鬼,ge'ye'shi'gui
胳肢下鬼,ge'zhi'xia'gui
个种人,ge'zhong'ren
哽饭,geng'fan
哽进弗攋出,geng'jin'fu'la'chu
哽老酒,geng'lao'jiu
哽香烟,geng'xiang'yan
狗脚勿蹩,gou'jiao'wu'bie
狗面生毛,gou'mian'sheng'mao
狗皮倒灶,gou'pi'dao'zao
狗头虎,gou'tou'hu
狗头军师,gou'tou'jun'shi
狗咬猪尿脬,gou'yao'zhu'sui'pao
古鞫,gu'ju
姑娘,gu'niang
孤栖相,gu'qi'xiang
诂注,gu'zhu
刮肚儿,gua'du'er
刮肚囡,gua'du'nan
挂鲎,gua'hou
刮裂,gua'lie
刮皮,gua'pi
掴绕颈,guai'rao'jing
拐子,guai'zi
观岙,guan'ao
掼卵勿转肩,guan'luan'wu'zhuan'jian
关衫,guan'shan
莞渭,guan'wei
掼铸锄搂根,guan'zhu'chu'lou'gen
光筒,guang'tong
规板显,gui'ban'xian
鬼鬼塞塞,gui'gui'sai'sai
