按测距机诸元射击,an'ce'ju'ji'zhu'yuan'she'ji
按固定高度射击,an'gu'ding'gao'du'she'ji
按炮瞄雷达诸元射击,an'pao'miao'lei'da'zhu'yuan'she'ji
安全界,an'quan'jie
按综合诸元射击,an'zong'he'zhu'yuan'she'ji
半遮蔽阵地,ban'zhe'bi'zhen'di
半直接,ban'zhi'jie
半直接瞄准射击,ban'zhi'jie'miao'zhun'she'ji
暴露阵地,bao'lu'zhen'di
报知通信,bao'zhi'tong'xin
避开射击,bi'kai'she'ji
标定射击,biao'ding'she'ji
兵力机动,bing'li'ji'dong
测地勤务,ce'di'qin'wu
侧射,ce'she
长点射,chang'dian'she
长弹,chang'tan
超口径,chao'kou'jing
超口径炮弹,chao'kou'jing'pao'dan
超直射距离,chao'zhi'she'ju'li
车轮,che'lun
车炮场日,che'pao'chang'ri
成果法,cheng'guo'fa
重叠射击,chong'die'she'ji
重新试射,chong'xin'shi'she
触发引信,chu'fa'yin'xin
初速,chu'su
传话孔,chuan'hua'kong
穿甲,chuan'jia
穿甲弹,chuan'jia'dan
船载支援,chuan'zai'zhi'yuan
船载支援炮兵,chuan'zai'zhi'yuan'pao'bing
次口径,ci'kou'jing
次口径炮弹,ci'kou'jing'pao'dan
大架,da'jia
弹带,dan'dai
弹道准备,dan'dao'zhun'bei
弹体,dan'ti
弹头,dan'tou
弹丸,dan'wan
挡泥板,dang'ni'ban
等速射,deng'su'she
底部喷气,di'bu'pen'qi
底部喷气榴弹,di'bu'pen'qi'liu'dan
地地战术导弹,di'di'zhan'shu'dao'dan
敌后观察射击,di'hou'guan'cha'she'ji
地面炮兵,di'mian'pao'bing
地面炮兵群,di'mian'pao'bing'qun
底盘,di'pan
地炮,di'pao
地炮群,di'pao'qun
地炮阵地电话,di'pao'zhen'di'dian'hua
地炮阵地通话器,di'pao'zhen'di'tong'hua'qi
地炮指挥机,di'pao'zhi'hui'ji
低阻,di'zu
低阻榴弹,di'zu'liu'dan
定向器,ding'xiang'qi
冬用驻锄,dong'yong'zhu'chu
短点射,duan'dian'she
短距,duan'ju
短距出击,duan'ju'chu'ji
短停射击,duan'ting'she'ji
短延期,duan'yan'qi
短延期引信,duan'yan'qi'yin'xin
对空观察哨,dui'kong'guan'cha'shao
对空观察哨报知通信,dui'kong'guan'cha'shao'bao'zhi'tong'xin
对空观察哨网,dui'kong'guan'cha'shao'wang
对空侦察雷达,dui'kong'zhen'cha'lei'da
队属,dui'shu
队属炮兵,dui'shu'pao'bing
多用途引信,duo'yong'tu'yin'xin
发射法,fa'she'fa
发射速度,fa'she'su'du
发射种类,fa'she'zhong'lei
发烟,fa'yan
发烟弹,fa'yan'tan
反后坐,fan'hou'zuo
反后坐装置,fan'hou'zuo'zhuang'zhi
反射,fan'she
反坦克,fan'tan'ke
反坦克导弹,fan'tan'ke'dao'dan
反坦克炮,fan'tan'ke'pao
反坦克炮兵,fan'tan'ke'pao'bing
妨碍射击,fang'ai'she'ji
防盾,fang'dun
防护板,fang'hu'ban
防空联络,fang'kong'lian'luo
防空联络信号,fang'kong'lian'luo'xin'hao
方向机,fang'xiang'ji
