阿特贝限,a'te'bei'xian
埃洛石,ai'luo'shi
氨毒,an'du
铵固定,an'gu'ding
暗管排水,an'guan'pai'shui
氨化作用,an'hua'zuo'yong
暗活土,an'huo'tu
暗瘠表层,an'ji'biao'ceng
铵态氮,an'tai'dan
铵态氮肥,an'tai'dan'fei
氨态氮肥,an'tai'dan'fei
暗沃表层,an'wo'biao'ceng
氨氧化细菌,an'yang'hua'xi'jun
暗棕壤,an'zong'rang
螯合淋溶作用,ao'he'lin'rong'zuo'yong
八面体片,ba'mian'ti'pian
白浆土,bai'jiang'tu
白芽症,bai'ya'zheng
半分解有机层,ban'fen'jie'you'ji'ceng
半风化体,ban'feng'hua'ti
半腐有机土壤物质,ban'fu'you'ji'tu'rang'wu'zhi
半腐殖质,ban'fu'zhi'zhi
半干润水分状况,ban'gan'run'shui'fen'zhuang'kuang
半固定沙丘,ban'gu'ding'sha'qiu
半水成土,ban'shui'cheng'tu
半休闲地,ban'xiu'xian'di
薄层土,bao'ceng'tu
报酬递减律,bao'chou'di'jian'lv
保肥性,bao'fei'xing
饱和导水率,bao'he'dao'shui'lv
饱和含水量,bao'he'han'shui'liang
饱和施肥,bao'he'shi'fei
保护地气体毒害,bao'hu'di'qi'ti'du'hai
保护地盐害,bao'hu'di'yan'hai
包膜肥料,bao'mo'fei'liao
薄膜水,bao'mo'shui
薄膜运动,bao'mo'yun'dong
胞内酶,bao'nei'mei
保水性,bao'shui'xing
薄铁磐层,bao'tie'pan'ceng
保土耕作,bao'tu'geng'zuo
保土作物,bao'tu'zuo'wu
胞外酶,bao'wai'mei
胞饮作用,bao'yin'zuo'yong
暴雨侵蚀,bao'yu'qin'shi
孢子,bao'zi
贝得石,bei'de'shi
被动吸收,bei'dong'xi'shou
被动吸收养分,bei'dong'xi'shou'yang'fen
崩岗,beng'gang
崩积土,beng'ji'tu
崩积物,beng'ji'wu
崩塌,beng'ta
比水容量,bi'shui'rong'liang
必需元素,bi'xu'yuan'su
边际产量,bian'ji'chan'liang
边际产量统计,bian'ji'chan'liang'tong'ji
边际产值,bian'ji'chan'zhi
边际成本,bian'ji'cheng'ben
边际代替率,bian'ji'dai'ti'lv
边际利润,bian'ji'li'run
边际效应,bian'ji'xiao'ying
鞭尾症,bian'wei'zheng
变种,bian'zhong
表面电荷,biao'mian'dian'he
表面电荷密度,biao'mian'dian'he'mi'du
表面络合物,biao'mian'luo'he'wu
表面迁移,biao'mian'qian'yi
标明量,biao'ming'liang
表生富集,biao'sheng'fu'ji
表土,biao'tu
表土层,biao'tu'ceng
冰川沉积物,bing'chuan'chen'ji'wu
冰川侵蚀,bing'chuan'qin'shi
饼肥,bing'fei
冰水沉积物,bing'shui'chen'ji'wu
病土,bing'tu
冰沼土,bing'zhao'tu
剥蚀,bo'shi
捕食现象,bu'shi'xian'xiang
不透水层,bu'tou'shui'ceng
不完全区组设计,bu'wan'quan'qu'zu'she'ji
不谐溶,bu'xie'rong
菜园土,cai'yuan'tu
残茬覆盖,can'cha'fu'gai
残积黏化,can'ji'nian'hua
残积土,can'ji'tu
残积物,can'ji'wu
残遗体,can'yi'ti
残遗土,can'yi'tu
草甸土,cao'dian'tu
草皮泄水道,cao'pi'xie'shui'dao
草酸盐浸液光密度值,cao'suan'yan'jin'ye'guang'mi'du'zhi
草田带状间作,cao'tian'dai'zhuang'jian'zuo
草田轮作,cao'tian'lun'zuo
草原土壤,cao'yuan'tu'rang
草毡层,cao'zhan'ceng
侧渗,ce'shen
测土施肥,ce'tu'shi'fei
侧向侵蚀,ce'xiang'qin'shi
层电荷,ceng'dian'he
层间表面,ceng'jian'biao'mian
层间钾,ceng'jian'jia
层间交换位,ceng'jian'jiao'huan'wei
层状硅酸盐,ceng'zhuang'gui'suan'yan
茬地,cha'di
掺合肥料,chan'he'fei'liao
产沙量,chan'sha'liang
长距离运输,chang'ju'li'yun'shu
长期定位试验,chang'qi'ding'wei'shi'yan
常湿润水分状况,chang'shi'run'shui'fen'zhuang'kuang
常态侵蚀,chang'tai'qin'shi
常态收缩,chang'tai'shou'suo
超固结,chao'gu'jie
超渗径流,chao'shen'jing'liu
潮湿水分状况,chao'shi'shui'fen'zhuang'kuang
潮湿特征,chao'shi'te'zheng
潮土,chao'tu
尘暴,chen'bao
沉积,chen'ji
城市水土保持,cheng'shi'shui'tu'bao'chi
城市水土流失,cheng'shi'shui'tu'liu'shi
成熟土壤,cheng'shu'tu'rang
成土母质,cheng'tu'mu'zhi
赤红壤,chi'hong'rang
持水孔隙度,chi'shui'kong'xi'du
赤铁矿,chi'tie'kuang
迟效肥料,chi'xiao'fei'liao
重叠缺乏,chong'die'que'fa
冲沟,chong'gou
冲积土,chong'ji'tu
冲积物,chong'ji'wu
充气孔隙,chong'qi'kong'xi
冲蚀,chong'shi
重组腐殖物质,chong'zu'fu'zhi'wu'zhi
储存库,chu'cun'ku
触点水,chu'dian'shui
畜粪尿,chu'fen'niao
初始入渗率,chu'shi'ru'shen'lv
雏形层,chu'xing'ceng
雏形土,chu'xing'tu
串珠洞穴,chuan'zhu'dong'xue
吹扬,chui'yang
次生颗粒,ci'sheng'ke'li
次生黏化,ci'sheng'nian'hua
次生黏化层,ci'sheng'nian'hua'ceng
次生潜育化,ci'sheng'qian'yu'hua
次生盐化,ci'sheng'yan'hua
丛枝菌根,cong'zhi'jun'gen
粗腐殖质,cu'fu'zhi'zhi
粗骨颗粒,cu'gu'ke'li
粗骨土,cu'gu'tu
粗砂土,cu'sha'tu
粗屑体,cu'xie'ti
簇叶症,cu'ye'zheng
脆磐,cui'pan
大结构,da'jie'gou
大量元素,da'liang'yuan'su
大量元素养分,da'liang'yuan'su'yang'fen
大团聚体,da'tuan'ju'ti
达西定律,da'xi'ding'lv
带状施肥,dai'zhuang'shi'fei
淡薄表层,dan'bo'biao'ceng
氮代谢,dan'dai'xie
氮肥,dan'fei
单个土体,dan'ge'tu'ti
氮矿化,dan'kuang'hua
氮平衡,dan'ping'heng
氮素有效性比率,dan'su'you'xiao'xing'bi'lv
氮同化作用,dan'tong'hua'zuo'yong
单位化学式电荷,dan'wei'hua'xue'shi'dian'he
氮循环,dan'xun'huan
单因子试验,dan'yin'zi'shi'yan
单元晶层,dan'yuan'jing'ceng
单质肥料,dan'zhi'fei'liao
氮转化,dan'zhuan'hua
当量孔隙,dang'liang'kong'xi
道路侵蚀,dao'lu'qin'shi
道南平衡,dao'nan'ping'heng
导热率,dao're'lv
等电点,deng'dian'dian
等高草带,deng'gao'cao'dai
等高带状间作,deng'gao'dai'zhuang'jian'zuo
等高耕作,deng'gao'geng'zuo
地被层,di'bei'ceng
低地土壤,di'di'tu'rang
地埂,di'geng
低活性淋溶土,di'huo'xing'lin'rong'tu
低活性强酸土,di'huo'xing'qiang'suan'tu
地理发生分类,di'li'fa'sheng'fen'lei
地貌,di'mao
地面割裂度,di'mian'ge'lie'du
地面火,di'mian'huo
底面间距,di'mian'jian'ju
地面排水,di'mian'pai'shui
地上层,di'shang'ceng
第四纪红色黏土,di'si'ji'hong'se'nian'tu
底土,di'tu
