安福乡,an'fu'xiang
安和乡,an'he'xiang
安基山林场,an'ji'shan'lin'chang
安西镇,an'xi'zhen
安远县,an'yuan'xian
拔英乡,ba'ying'xiang
白鹅乡,bai'e'xiang
白鹭乡,bai'lu'xiang
版石镇,ban'shi'zhen
陂头镇,bei'tou'zhen
埠头乡,bu'tou'xiang
蔡坊乡,cai'fang'xiang
蔡江乡,cai'jiang'xiang
茶园乡,cha'yuan'xiang
长冈乡,chang'gang'xiang
长龙镇,chang'long'zhen
长洛乡,chang'luo'xiang
长宁镇,chang'ning'zhen
菖蒲乡,chang'pu'xiang
长沙乡,chang'sha'xiang
长胜镇,chang'sheng'zhen
车头镇,che'tou'zhen
车溪乡,che'xi'xiang
晨光镇,chen'guang'zhen
城岗乡,cheng'gang'xiang
澄江镇,cheng'jiang'zhen
程龙镇,cheng'long'zhen
城区街道办,cheng'qu'jie'dao'ban
城厢镇,cheng'xiang'zhen
池江镇,chi'jiang'zhen
赤土畲族乡,chi'tu'she'zu'xiang
崇仙乡,chong'xian'xiang
崇贤乡,chong'xian'xiang
崇义县,chong'yi'xian
储潭镇,chu'tan'zhen
大阿镇,da'a'zhen
大柏地乡,da'bai'di'xiang
大埠乡,da'bu'xiang
大沽乡,da'gu'xiang
大吉山镇,da'ji'shan'zhen
大坪乡,da'ping'xiang
大桥镇,da'qiao'zhen
大塘埠镇,da'tang'bu'zhen
大田乡,da'tian'xiang
大由乡,da'you'xiang
大余县,da'yu'xian
丹溪乡,dan'xi'xiang
钓峰乡,diao'feng'xiang
丁陂乡,ding'bei'xiang
鼎龙乡,ding'long'xiang
定南县,ding'nan'xian
东村乡,dong'cun'xiang
东江乡,dong'jiang'xiang
东坑管委会,dong'keng'guan'wei'hui
东山坝镇,dong'shan'ba'zhen
东山街道办,dong'shan'jie'dao'ban
东山镇,dong'shan'zhen
东韶乡,dong'shao'xiang
洞头乡,dong'tou'xiang
东外街道办,dong'wai'jie'dao'ban
陡水镇,dou'shui'zhen
渡江镇,du'jiang'zhen
段屋乡,duan'wu'xiang
对坊乡,dui'fang'xiang
鹅公镇,e'gong'zhen
方太乡,fang'tai'xiang
枫边乡,feng'bian'xiang
凤岗镇,feng'gang'zhen
丰山乡,feng'shan'xiang
凤山乡,feng'shan'xiang
丰州乡,feng'zhou'xiang
浮槎乡,fu'cha'xiang
富城乡,fu'cheng'xiang
浮江乡,fu'jiang'xiang
浮石乡,fu'shi'xiang
赣江街道办,gan'jiang'jie'dao'ban
赣县区,gan'xian'qu
赣州市,gan'zhou'shi
冈面乡,gang'mian'xiang
高排乡,gao'pai'xiang
高田镇,gao'tian'zhen
高兴镇,gao'xing'zhen
高云山乡,gao'yun'shan'xiang
葛坳乡,ge'ao'xiang
贡江镇,gong'jiang'zhen
古陂镇,gu'bei'zhen
固村镇,gu'cun'zhen
固厚乡,gu'hou'xiang
古龙岗镇,gu'long'gang'zhen
关田镇,guan'tian'zhen
关西镇,guan'xi'zhen
桂竹帽镇,gui'zhu'mao'zhen
过埠镇,guo'bu'zhen
韩坊乡,han'fang'xiang
河洞乡,he'dong'xiang
禾丰镇,he'feng'zhen
鹤子镇,he'zi'zhen
横江镇,heng'jiang'zhen
横市镇,heng'shi'zhen
横水镇,heng'shui'zhen
横寨乡,heng'zhai'xiang
湖边镇,hu'bian'zhen
湖江镇,hu'jiang'zhen
虎山乡,hu'shan'xiang
黄柏乡,huang'bai'xiang
黄埠镇,huang'bu'zhen
黄金岭街道办,huang'jin'ling'jie'dao'ban
黄麟乡,huang'lin'xiang
黄龙镇,huang'long'zhen
黄陂镇,huang'pi'zhen
黄沙管委会,huang'sha'guan'wei'hui
黄石镇,huang'shi'zhen
会昌县,hui'chang'xian
会同乡,hui'tong'xiang
吉埠镇,ji'bu'zhen
及存在,ji'cun'zai
吉潭镇,ji'tan'zhen
嘉定镇,jia'ding'zhen
夹湖乡,jia'hu'xiang
江背镇,jiang'bei'zhen
江口镇,jiang'kou'zhen
杰坝乡,jie'ba'xiang
杰村乡,jie'cun'xiang
解放街道办,jie'fang'jie'dao'ban
金坑乡,jin'keng'xiang
金龙镇,jin'long'zhen
镜坝镇,jing'ba'zhen
靖石乡,jing'shi'xiang
九堡镇,jiu'bao'zhen
九连山林场,jiu'lian'shan'lin'chang
九连山镇,jiu'lian'shan'zhen
均村乡,jun'cun'xiang
筠门岭镇,jun'men'ling'zhen
孔田镇,kong'tian'zhen
宽田乡,kuan'tian'xiang
岿美山镇,kui'mei'shan'zhen
赖村镇,lai'cun'zhen
老城镇,lao'cheng'zhen
乐洞乡,le'dong'xiang
利村乡,li'cun'xiang
里仁镇,li'ren'zhen
历市镇,li'shi'zhen
潋江镇,lian'jiang'zhen
良村镇,liang'cun'zhen
麟潭乡,lin'tan'xiang
临塘乡,lin'tang'xiang
岭北镇,ling'bei'zhen
岭背镇,ling'bei'zhen
留车镇,liu'che'zhen
龙布镇,long'bu'zhen
龙岗乡,long'gang'xiang
龙勾乡,long'gou'xiang
龙华乡,long'hua'xiang
龙回镇,long'hui'zhen
龙口镇,long'kou'zhen
龙岭镇,long'ling'zhen
隆木乡,long'mu'xiang
龙南县,long'nan'xian
龙南镇,long'nan'zhen
隆坪乡,long'ping'xiang
龙塘镇,long'tang'zhen
龙廷乡,long'ting'xiang
龙下乡,long'xia'xiang
龙源坝镇,long'yuan'ba'zhen
罗坳镇,luo'ao'zhen
罗江乡,luo'jiang'xiang
洛口镇,luo'kou'zhen
罗珊乡,luo'shan'xiang
马安乡,ma'an'xiang
麻双乡,ma'shuang'xiang
麻州镇,ma'zhou'zhen
茅店镇,mao'dian'zhen
茅山林场,mao'shan'lin'chang
梅江镇,mei'jiang'zhen
梅窖镇,mei'jiao'zhen
梅林镇,mei'lin'zhen
梅水乡,mei'shui'xiang
木兰乡,mu'lan'xiang
南安镇,nan'an'zhen
南亨乡,nan'heng'xiang
南迳镇,nan'jing'zhen
南康区,nan'kang'qu
南坑乡,nan'keng'xiang
南桥镇,nan'qiao'zhen
南塘镇,nan'tang'zhen
南外街道办,nan'wai'jie'dao'ban
内良乡,nei'liang'xiang
聂都乡,nie'dou'xiang
宁都县,ning'du'xian
盘古山镇,pan'gu'shan'zhen
蟠龙镇,pan'long'zhen
平富乡,ping'fu'xiang
屏山镇,ping'shan'zhen
坪市乡,ping'shi'xiang
祁禄山镇,qi'lu'shan'zhen
铅厂镇,qian'chang'zhen
桥头乡,qiao'tou'xiang
琴江镇,qin'jiang'zhen
青龙镇,qing'long'zhen
青塘镇,qing'tang'zhen
清溪乡,qing'xi'xiang
全南县,quan'nan'xian
壬田镇,ren'tian'zhen
日东乡,ri'dong'xiang
蓉江街道办,rong'jiang'jie'dao'ban
瑞金市,rui'jin'shi
瑞林镇,rui'lin'zhen
三百山镇,san'bai'shan'zhen
三标乡,san'biao'xiang
三江乡,san'jiang'xiang
三溪乡,san'xi'xiang
沙地镇,sha'di'zhen
沙河镇,sha'he'zhen
沙石镇,sha'shi'zhen
沙心乡,sha'xin'xiang
沙洲坝镇,sha'zhou'ba'zhen
上堡乡,shang'bao'xiang
上犹县,shang'you'xian
社富乡,she'fu'xiang
社迳乡,she'jing'xiang
社溪镇,she'xi'zhen
十八塘乡,shi'ba'tang'xiang
石城县,shi'cheng'xian
石上镇,shi'shang'zhen
石芫乡,shi'yuan'xiang
双溪乡,shuang'xi'xiang
双芫乡,shuang'yuan'xiang
水东镇,shui'dong'zhen
水南镇,shui'nan'zhen
水西镇,shui'xi'zhen
水岩乡,shui'yan'xiang
水源乡,shui'yuan'xiang
思顺乡,si'shun'xiang
寺下镇,si'xia'zhen
太窝乡,tai'wo'xiang
潭东镇,tan'dong'zhen
潭口镇,tan'kou'zhen
塘村乡,tang'cun'xiang
唐江镇,tang'jiang'zhen
桃江乡,tao'jiang'xiang
田埠乡,tian'bu'xiang
田村镇,tian'cun'zhen
天九镇,tian'jiu'zhen
田头镇,tian'tou'zhen
天心镇,tian'xin'zhen
铁山垅镇,tie'shan'long'zhen
铁石口镇,tie'shi'kou'zhen
万隆乡,wan'long'xiang
万田乡,wan'tian'xiang
王母渡镇,wang'mu'du'zhen
文峰乡,wen'feng'xiang
汶龙镇,wen'long'zhen
文武坝镇,wen'wu'ba'zhen
文英乡,wen'ying'xiang
武当镇,wu'dang'zhen
武阳镇,wu'yang'zhen
五云镇,wu'yun'zhen
五指峰乡,wu'zhi'feng'xiang
西江镇,xi'jiang'zhen
西牛镇,xi'niu'zhen
仙下乡,xian'xia'xiang
象湖镇,xiang'hu'zhen
项山乡,xiang'shan'xiang
小布镇,xiao'bu'zhen
小河镇,xiao'he'zhen
小江镇,xiao'jiang'zhen
晓龙乡,xiao'long'xiang
小密乡,xiao'mi'xiang
小松镇,xiao'song'zhen
肖田乡,xiao'tian'xiang
小溪乡,xiao'xi'xiang
谢坊镇,xie'fang'zhen
新陂乡,xin'bei'xiang
新城镇,xin'cheng'zhen
信丰县,xin'feng'xian
新龙乡,xin'long'xiang
欣山镇,xin'shan'zhen
新田镇,xin'tian'zhen
兴国县,xing'guo'xian
兴江乡,xing'jiang'xiang
兴莲乡,xing'lian'xiang
寻乌县,xun'wu'xian
阳埠乡,yang'bu'xiang
杨村镇,yang'cun'zhen
扬眉镇,yang'mei'zhen
叶坪乡,ye'ping'xiang
银坑镇,yin'keng'zhen
营前镇,ying'qian'zhen
永丰乡,yong'feng'xiang
永隆乡,yong'long'xiang
油山镇,you'shan'zhen
油石乡,you'shi'xiang
右水乡,you'shui'xiang
于都县,yu'du'xian
云石山乡,yun'shi'shan'xiang
泽覃乡,ze'qin'xiang
站塘乡,zhan'tang'xiang
湛田乡,zhan'tian'xiang
樟斗镇,zhang'dou'zhen
章贡区,zhang'gong'qu
樟木乡,zhang'mu'xiang
镇岗乡,zhen'gang'xiang
正平镇,zheng'ping'zhen
中村乡,zhong'cun'xiang
重石乡,zhong'shi'xiang
中寨乡,zhong'zhai'xiang
周田镇,zhou'tian'zhen
朱坊乡,zhu'fang'xiang
珠坑乡,zhu'keng'xiang
珠兰乡,zhu'lan'xiang
竹笮乡,zhu'ze'xiang
庄埠乡,zhuang'bu'xiang
庄口镇,zhuang'kou'zhen
梓山镇,zi'shan'zhen
紫阳乡,zi'yang'xiang
左拔镇,zuo'ba'zhen
