向阳里小区,xiang'yang'li'xiao'qu
乡镇煤运公司,xiang'zhen'mei'yun'gong'si
小北门,xiao'bei'men
小村,xiao'cun
肖家寨,xiao'jia'zhai
小南关,xiao'nan'guan
校南街,xiao'nan'jie
小南门,xiao'nan'men
小站,xiao'zhan
新白洞,xin'bai'dong
新发广,xin'fa'guang
新华街,xin'hua'jie
新开里,xin'kai'li
新开南路,xin'kai'nan'lu
忻矿机电科,xin'kuang'ji'dian'ke
新六区,xin'liu'qu
新南站,xin'nan'zhan
新平旺,xin'ping'wang
新胜里,xin'sheng'li
新四区,xin'si'qu
新添堡,xin'tian'bao
新旺花园,xin'wang'hua'yuan
新五区,xin'wu'qu
新一区,xin'yi'qu
鑫苑小区,xin'yuan'xiao'qu
忻州窑,xin'zhou'yao
玄东门,xuan'dong'men
训练基地,xun'lian'ji'di
盐业公司,yan'ye'gong'si
羊坊,yang'fang
窑子沟,yao'zi'gou
一电厂,yi'dian'chang
一医院,yi'yi'yuan
窨子沟,yin'zi'gou
迎宾东路东口,ying'bin'dong'lu'dong'kou
迎春里东口,ying'chun'li'dong'kou
营房,ying'fang
迎泽街,ying'ze'jie
永定庄,yong'ding'zhuang
瑀丰装饰,yu'feng'zhuang'shi
御河西路,yu'he'xi'lu
御河西路大唐路口,yu'he'xi'lu'da'tang'lu'kou
御鑫商贸城,yu'xin'shang'mao'cheng
岳秀园小区,yue'xiu'yuan'xiao'qu
云城建设集团,yun'cheng'jian'she'ji'tuan
云冈,yun'gang
云冈宾馆,yun'gang'bin'guan
云冈矿,yun'gang'kuang
云光化工厂,yun'guang'hua'gong'chang
云龙苑,yun'long'yuan
云泉里,yun'quan'li
云中商城,yun'zhong'shang'cheng
早市,zao'shi
站东桥,zhan'dong'qiao
振华货栈,zhen'hua'huo'zhan
振华街,zhen'hua'jie
振华街西,zhen'hua'jie'xi
振华南街,zhen'hua'nan'jie
振兴街,zhen'xing'jie
振兴小区,zhen'xing'xiao'qu
政务审批中心,zheng'wu'shen'pi'zhong'xin
职防所,zhi'fang'suo
制药厂,zhi'yao'chang
中医院,zhong'yi'yuan
周家店,zhou'jia'dian
周家店村口,zhou'jia'dian'cun'kou
周家店村南,zhou'jia'dian'cun'nan
铸石厂,zhu'shi'chang
自来水公司,zi'lai'shui'gong'si
