奥运,ao'yun
奥运场馆,ao'yun'chang'guan
北京工业大学,bei'jing'gong'ye'da'xue
北京工业大学中蓝大学生公寓,bei'jing'gong'ye'da'xue'zhong'lan'da'xue'sheng'gong'yu
查分,cha'fen
都柏林,du'bo'lin
都柏林学院,du'bo'lin'xue'yuan
杜金莲,du'jin'lian
二教,er'jiao
樊文舟,fan'wen'zhou
风味,feng'wei
挂科,gua'ke
挂了,gua'le
过了吗,guo'le'ma
计算机学院,ji'suan'ji'xue'yuan
计院,ji'yuan
建规学院,jian'gui'xue'yuan
教务,jiao'wu
经管学院,jing'guan'xue'yuan
旧图,jiu'tu
开黑,kai'hei
清真,qing'zhen
人文楼,ren'wen'lou
三教,san'jiao
苏航,su'hang
天天,tian'tian
新图,xin'tu
逸夫,yi'fu
逸夫图书馆,yi'fu'tu'shu'guan
一教,yi'jiao
月亮湖,yue'liang'hu
知行楼,zhi'xing'lou
中蓝,zhong'lan
周珺,zhou'jun
诸海生,zhu'hai'sheng
朱文君,zhu'wen'jun
