艾叶,ai'ye
芭蕉冲,ba'jiao'chong
八中,ba'zhong
白果村,bai'guo'cun
柏丽,bai'li
白领英语城,bai'ling'ying'yu'cheng
板箱厂,ban'xiang'chang
北斗星,bei'dou'xing
滨江路,bin'jiang'lu
簸米湾,bo'mi'wan
簸米湾隧道,bo'mi'wan'sui'dao
步行街,bu'xing'jie
彩灯公园,cai'deng'gong'yuan
长土,chang'tu
长土镇,chang'tu'zhen
长征机床厂,chang'zheng'ji'chuang'chang
陈袜仔,chen'wa'zi
陈袜仔内衣,chen'wa'zi'nei'yi
臭豆腐,chou'dou'fu
川玻,chuan'bo
川南城市中心,chuan'nan'cheng'shi'zhong'xin
川南第一大城市,chuan'nan'di'yi'da'cheng'shi
川南农贸批发市场,chuan'nan'nong'mao'pi'fa'shi'chang
川西南矿区,chuan'xi'nan'kuang'qu
大安,da'an
大东方,da'dong'fang
大高路,da'gao'lu
大灰狼,da'hui'lang
大山,da'shan
大山铺,da'shan'pu
大商百货,da'shang'bai'huo
大唐山,da'tang'shan
大湾井,da'wan'jing
大戏台,da'xi'tai
单身大楼,dan'shen'da'lou
道生灏,dao'sheng'hao
德克士,de'ke'shi
灯会,deng'hui
灯影牛肉,deng'ying'niu'rou
帝豪,di'hao
第五元素,di'wu'yuan'su
东方广场,dong'fang'guang'chang
东方广场转盘,dong'fang'guang'chang'zhuan'pan
东方小学,dong'fang'xiao'xue
东方中学,dong'fang'zhong'xue
东锅,dong'guo
东锅厂,dong'guo'chang
东锅厂草坪,dong'guo'chang'cao'ping
东锅厂厂大门,dong'guo'chang'chang'da'men
东锅厂消防队,dong'guo'chang'xiao'fang'dui
东锅厂游泳厂,dong'guo'chang'you'yong'chang
东锅技校,dong'guo'ji'xiao
东锅小学,dong'guo'xiao'xue
董家,dong'jia
洞口井,dong'kou'jing
东碳厂,dong'tan'chang
东兴寺,dong'xing'si
豆芽湾小学,dou'ya'wan'xiao'xue
鹅儿沟,e'er'gou
鹅儿沟大桥,e'er'gou'da'qiao
二十八中,er'shi'ba'zhong
二十九中,er'shi'jiu'zhong
二十四中,er'shi'si'zhong
二医院,er'yi'yuan
二中,er'zhong
方冲,fang'chong
方冲后门,fang'chong'hou'men
方冲小区,fang'chong'xiao'qu
芳邻超市,fang'lin'chao'shi
凤凰乡,feng'huang'xiang
富台山,fu'tai'shan
富台山隧道,fu'tai'shan'sui'dao
釜溪职高,fu'xi'zhi'gao
