阿爸,a'ba
阿崩叫狗越叫越走,a'beng'jiao'gou'yue'jiao'yue'zou
阿崩養貓轉性,a'beng'yang'mao'zhuai'xing
阿崩养猫转性,a'beng'yang'mao'zhuan'xing
阿灿,a'can
阿燦,a'can
阿超着裤谷住来,a'chao'zhe'ku'gu'zhu'lai
阿超著褲穀住來,a'chao'zhu'ku'gu'zhu'lai
阿哥,a'ge
阿公,a'gong
阿貴買布唔講那筆,a'gui'mai'bu'wu'jiang'na'bi
阿贵买布唔讲那笔,a'gui'mai'bu'wu'jiang'na'bi
阿蘭嫁阿瑞類鬥類,a'lan'jia'a'rui'lei'dou'lei
阿兰嫁阿瑞类斗类,a'lan'jia'a'rui'lei'dou'lei
阿蘭嫁阿瑞累上加累,a'lan'jia'a'rui'lei'shang'jia'lei
阿兰嫁阿瑞累上加累,a'lan'jia'a'rui'lei'shang'jia'lei
阿妈,a'ma
阿媽,a'ma
阿嫲,a'ma
阿婆,a'po
阿奇生阿奇奇上加奇,a'qi'sheng'a'qi'qi'shang'jia'qi
阿嫂,a'sao
阿叔,a'shu
阿駝行路中中地,a'tuo'xing'lu'zhong'zhong'di
阿驼行路中中地,a'tuo'xing'lu'zhong'zhong'di
阿仙奴,a'xian'nu
阿些斯奥,a'xie'si'ao
阿些斯奧,a'xie'si'ao
阿爷,a'ye
阿爺,a'ye
矮瓜,ai'gua
嗌交,ai'jiao
嗌佢去,ai'qu'qu
愛錫,ai'xi
爱锡,ai'xi
矮細,ai'xi
矮细,ai'xi
哎吔,ai'ye
挨夜,ai'ye
捱夜,ai'ye
暗暗沉沉,an'an'chen'chen
安士,an'shi
凹凹凸凸,ao'ao'tu'tu
拗断,ao'duan
巴閉,ba'bi
巴闭,ba'bi
八卦,ba'gua
拔蘭地,ba'lan'di
拔兰地,ba'lan'di
芭蕾,ba'lei
巴黎聖日門,ba'li'sheng'ri'men
巴黎圣日门,ba'li'sheng'ri'men
巴士,ba'shi
巴斯蒂亚,ba'si'di'ya
巴斯蒂亞,ba'si'di'ya
巴仙,ba'xian
八仙过海各有千秋,ba'xian'guo'hai'ge'you'qian'qiu
八仙過海各有千秋,ba'xian'guo'hai'ge'you'qian'qiu
把心唔定,ba'xin'wu'ding
拜拜,bai'bai
白菜煮豆腐一清二白,bai'cai'zhu'dou'fu'yi'qing'er'bai
白鴿眼附旺唔附衰,bai'ge'yan'fu'wang'wu'fu'shuai
白鸽眼附旺唔附衰,bai'ge'yan'fu'wang'wu'fu'shuai
白蘭地,bai'lan'di
白蒙蒙,bai'meng'meng
白濛濛,bai'meng'meng
白晒晒,bai'shai'shai
白曬曬,bai'shai'shai
白糖炒凉瓜同甘共苦,bai'tang'chao'liang'gua'tong'gan'gong'ku
白糖炒涼瓜同甘共苦,bai'tang'chao'liang'gua'tong'gan'gong'ku
白雪雪,bai'xue'xue
百厌,bai'yan
百厭,bai'yan
白粥,bai'zhou
百足,bai'zu
班戟,ban'ji
煲電話粥,bao'dian'hua'zhou
煲电话粥,bao'dian'hua'zhou
菢鸡仔,bao'ji'zai
菢雞仔,bao'ji'zi
保齡,bao'ling
煲粥,bao'zhou
杯葛,bei'ge
北姑,bei'gu
背脊,bei'ji
背脢,bei'mei
北芪,bei'qi
笨叱,ben'chi
崩口人忌崩口碗,beng'kou'ren'ji'beng'kou'wan
鼻哥,bi'ge
鼻哥窿,bi'ge'long
碧鹹,bi'jian
畀面,bi'mian
俾我,bi'wo
碧咸,bi'xian
閉翳,bi'yi
闭翳,bi'yi
俾咗,bi'zuo
边处,bian'chu
邊處,bian'chu
边度,bian'du
邊度,bian'du
边个,bian'ge
邊個,bian'ge
边位,bian'wei
邊位,bian'wei
檳榔,bin'lang
槟榔,bing'lang
病貓,bing'mao
病猫,bing'mao
抦你,bing'ni
抦佢,bing'qu
卜蔔脆,bo'bo'cui
擘大口,bo'da'kou
波尔多,bo'er'duo
波爾多,bo'er'duo
駁骨,bo'gu
驳骨,bo'gu
發吽哣,bo'hong'pou
發姣,bo'jiao
玻璃樽,bo'li'zun
菠萝,bo'luo
菠蘿,bo'luo
菠萝鸡靠黏,bo'luo'ji'kao'nian
菠蘿雞靠黏,bo'luo'ji'kao'nian
搏命,bo'ming
發嬲,bo'niao
波士,bo'shi
膊頭,bo'tou
膊头,bo'tou
發羊吊,bo'yang'diao
擗咗,bo'zuo
卜卜脆,bu'bu'cui
布甸,bu'dian
补镬佬,bu'huo'lao
補鑊佬,bu'huo'lao
不溜,bu'liu
不喽,bu'lou
不嘍,bu'lou
不特止,bu'te'zhi
擦鞋,ca'xie
踩屐,cai'ji
菜牌,cai'pai
草蜢,cao'meng
嘈乜鬼,cao'mie'gui
差池,cha'chi
叉燒滾湯冇生肉,cha'shao'gun'shang'mao'sheng'rou
叉烧滚汤冇生肉,cha'shao'gun'tang'mao'sheng'rou
查实,cha'shi
查實,cha'shi
插苏,cha'su
插蘇,cha'su
差唔多,cha'wu'duo
搽脂荡粉,cha'zhi'dang'fen
搽脂蕩粉,cha'zhi'dang'fen
單單打打,chan'chan'da'da
覘高頭,chan'gao'tou
觇高头,chan'gao'tou
單車,chan'ju
孱弱书生,chan'ruo'shu'sheng
孱弱書生,chan'ruo'shu'sheng
長拉拉,chang'la'la
长拉拉,chang'la'la
長氣,chang'qi
长气,chang'qi
暢散紙,chang'san'zhi
畅散纸,chang'san'zhi
炒河,chao'he
炒魷魚,chao'you'yu
炒鱿鱼,chao'you'yu
