暗动,an'dong
安世应,an'shi'ying
白虎,bai'hu
白蚁金,bai'yi'jin
壁上土,bi'shang'tu
丙辰,bing'chen
丙丁猪鸡位,bing'ding'zhu'ji'wei
丙申,bing'shen
丙午,bing'wu
丙戊禄在巳,bing'wu'lu'zai'si
丙戊刃在午,bing'wu'ren'zai'wu
丙戌,bing'xu
丙寅,bing'yin
丙子,bing'zi
不破,bu'po
不散,bu'san
卜筮正宗,bu'shi'zheng'zong
钗钏金,chai'chuan'jin
长流水,chang'liu'shui
长生,chang'sheng
辰日,chen'ri
辰时,chen'shi
辰巳,chen'si
辰土,chen'tu
辰午酉亥,chen'wu'you'hai
辰戌,chen'xu
辰酉,chen'you
辰月,chen'yue
城头土,cheng'tou'tu
持世,chi'shi
冲空,chong'kong
冲散,chong'san
丑日,chou'ri
仇神,chou'shen
丑时,chou'shi
丑土,chou'tu
丑未,chou'wei
丑未戌,chou'wei'xu
丑午,chou'wu
丑月,chou'yue
大海水,da'hai'shui
大林木,da'lin'mu
大溪水,da'xi'shui
大鄢土,da'yan'tu
代占,dai'zhan
地风升,di'feng'sheng
地火明夷,di'huo'ming'yi
地雷复,di'lei'fu
地山谦,di'shan'qian
地水师,di'shui'shi
地天泰,di'tian'tai
帝旺,di'wang
地泽临,di'ze'lin
地支,di'zhi
丁丑,ding'chou
丁亥,ding'hai
丁己禄在午,ding'ji'lu'zai'wu
丁己刃在巳,ding'ji'ren'zai'si
丁卯,ding'mao
丁巳,ding'si
丁未,ding'wei
丁酉,ding'you
动绊,dong'ban
动变组合,dong'bian'zu'he
动卦,dong'gua
动墓,dong'mu
动爻,dong'yao
断卦,duan'gua
兑二,dui'er
兑宫八卦,dui'gong'ba'gua
兑卦,dui'gua
兑上缺,dui'shang'que
兑为泽,dui'wei'ze
反吟,fan'yin
飞克伏,fei'ke'fu
风地观,feng'di'guan
风火家人,feng'huo'jia'ren
逢空,feng'kong
风雷益,feng'lei'yi
风山渐,feng'shan'jian
风水涣,feng'shui'huan
风天小畜,feng'tian'xiao'chu
风泽中孚,feng'ze'zhong'fu
逢值逢冲,feng'zhi'feng'chong
逢值逢合,feng'zhi'feng'he
覆灯火,fu'deng'huo
伏克飞,fu'ke'fei
父母辰土,fu'mu'chen'tu
父母丑土,fu'mu'chou'tu
父母亥水,fu'mu'hai'shui
父母卯木,fu'mu'mao'mu
父母申金,fu'mu'shen'jin
父母巳火,fu'mu'si'huo
父母未土,fu'mu'wei'tu
父母午火,fu'mu'wu'huo
父母戌土,fu'mu'xu'tu
