八仙庆寿,ba'xian'qing'shou
八样礼,ba'yang'li
八阵图,ba'zhen'tu
白帝城,bai'di'cheng
白桂香割旰,bai'gui'xiang'ge'gan
百花古人名,bai'hua'gu'ren'ming
白金哥私访,bai'jin'ge'si'fang
白马坡,bai'ma'po
白门楼,bai'men'lou
百年大计,bai'nian'da'ji
白袍征东,bai'pao'zheng'dong
白蛇盗丹,bai'she'dao'dan
拜师认亲,bai'shi'ren'qin
拜新年,bai'xin'nian
柏秀英绣蚊帐,bai'xiu'ying'xiu'wen'zhang
败子回头,bai'zi'hui'tou
半拉子探病,ban'la'zi'tan'bing
鲍不平,bao'bu'ping
包豆包,bao'dou'bao
包公逛庙,bao'gong'guang'miao
包饺子,bao'jiao'zi
宝山霞光,bao'shan'xia'guang
保乌纱,bao'wu'sha
蹦登歌,beng'deng'ge
碧空银花,bi'kong'yin'hua
鞭打督邮,bian'da'du'you
并蒂红花,bing'di'hong'hua
补背褡,bu'bei'da
采茶,cai'cha
长坂坡,chang'ban'po
常乐图,chang'le'tu
车站服务员,che'zhan'fu'wu'yuan
臣遇狼,chen'yu'lang
陈玉生接姑娘,chen'yu'sheng'jie'gu'niang
叱咤风云,chi'zha'feng'yun
重返柳条沟,chong'fan'liu'tiao'gou
处处有亲人,chu'chu'you'qin'ren
闯王坐殿,chuang'wang'zuo'dian
刺虎,ci'hu
翠屏山,cui'ping'shan
错中错,cuo'zhong'cuo
大霸桥,da'ba'qiao
打八仙,da'ba'xian
打宾鸿,da'bin'hong
打苍蝇,da'cang'ying
大登殿,da'deng'dian
大夺凤皇山,da'duo'feng'huang'shan
打杠子,da'gang'zi
大姑娘上学,da'gu'niang'shang'xue
打瓜园,da'gua'yuan
打关东,da'guan'dong
打关西,da'guan'xi
打蛤蟆,da'ha'ma
打韩昌,da'han'chang
打花棍,da'hua'gun
大将名五更,da'jiang'ming'wu'geng
打梨,da'li
大门青州府,da'men'qing'zhou'fu
大闹马家店,da'nao'ma'jia'dian
大闹五龙堂,da'nao'wu'long'tang
大劈棺,da'pi'guan
大破孟州,da'po'meng'zhou
打水歌,da'shui'ge
大天台,da'tian'tai
打西瓜,da'xi'gua
大香山,da'xiang'shan
打牙牌,da'ya'pai
大雁笑群儒,da'yan'xiao'qun'ru
打渔人十二月,da'yu'ren'shi'er'yue
