阿爸,a'ba
阿扁,a'bian
阿伯,a'bo
阿不倒,a'bu'dao
阿爹,a'die
阿根廷,a'gen'ting
阿公,a'gong
阿妗,a'jin
阿舅,a'jiu
阿蓮,a'lian
阿媽,a'ma
阿姆,a'mu
阿母,a'mu
阿婆,a'po
阿嫂,a'sao
阿山,a'shan
阿嬸,a'shen
阿叔,a'shu
阿西,a'xi
阿兄,a'xiong
阿依,a'yi
阿姨,a'yi
阿啄仔,a'zhuo'zai
阿姊,a'zi
阿祖,a'zu
哀悲,ai'bei
愛卜,ai'bu
哀愁,ai'chou
哀悼,ai'dao
愛國,ai'guo
愛護,ai'hu
埃及,ai'ji
曖眛,ai'mei
礙虐,ai'nue
愛情,ai'qing
哀求,ai'qiu
愛人,ai'ren
愛惜,ai'xi
愛心,ai'xin
唉呀,ai'ya
噯喲,ai'yo
哀怨,ai'yuan
廣播,an'bo
廣場,an'chang
安搭,an'da
廣大,an'da
暗淡,an'dan
安定,an'ding
廣東,an'dong
暗頓,an'dun
廣泛,an'fan
暗飯,an'fan
廣告,an'gao
暗光鳥,an'guang'niao
暗號,an'hao
安徽,an'hui
暗計,an'ji
暗記,an'ji
安靜,an'jing
暗崁,an'kan
案例,an'li
暗冥,an'ming
安南,an'nan
按呢,an'ne
暗唸,an'nian
安排,an'pai
庵埔蠐,an'pu'qi
安全,an'quan
暗殺,an'sha
暗時,an'shi
暗示,an'shi
按算,an'suan
暗算,an'suan
暗挲挲,an'suo'suo
暗頭仔,an'tou'zai
安慰,an'wei
安穩,an'wen
安溪,an'xi
廣西,an'xi
安心,an'xin
廣義,an'yi
安樂,an'yue
廣韻,an'yun
按怎,an'zen
按照,an'zhao
安置,an'zhi
廣州,an'zhou
盎格魯,ang'ge'lu
囂斑,ao'ban
懊惱,ao'nao
澳洲,ao'zhou
爸爸,ba'ba
跋倒,ba'dao
八堵,ba'du
罷工,ba'gong
八卦,ba'gua
把戲,ba'hu
巴基斯坦,ba'ji'si'tan
跋筊,ba'jiao
巴結,ba'jie
罷課,ba'ke
罷了,ba'le
八里,ba'li
巴拿馬,ba'na'ma
八十,ba'shi
巴士,ba'shi
把握,ba'wo
巴西,ba'xi
八仙,ba'xian
八音,ba'yin
霸佔,ba'zhan
八字,ba'zi
捌字,ba'zi
敗筆,bai'bi
白菜,bai'cai
拜訪,bai'fang
百分,bai'fen
敗害,bai'hai
百合,bai'he
拜候,bai'hou
白話,bai'hua
白話音,bai'hua'yin
白話字,bai'hua'zi
敗壞,bai'huai
百貨,bai'huo
百科,bai'ke
白翎鷥,bai'ling'si
白鴒鷥,bai'ling'si
白目,bai'mu
拜年,bai'nian
白色,bai'se
拜託,bai'tuo
百姓,bai'xing
白賊,bai'zei
白紙,bai'zhi
版本,ban'ben
班長,ban'chang
搬厝,ban'cuo
半島,ban'dao
斑點,ban'dian
辦法,ban'fa
半仿仔,ban'fang'zai
辦公,ban'gong
頒獎,ban'jiang
辦理,ban'li
半路,ban'lu
斑馬,ban'ma
斑馬線,ban'ma'xian
版面,ban'mian
半冥,ban'ming
半年,ban'nian
板橋,ban'qiao
版權,ban'quan
伴手,ban'shou
版稅,ban'shui
半數,ban'shuo
半桶師,ban'tong'shi
半相死,ban'xiang'si
扮演,ban'yan
半陰陽,ban'yin'yang
搬運,ban'yun
辦桌,ban'zhuo
伴奏,ban'zou
磅空,bang'kong
幫忙,bang'mang
棒球,bang'qiu
幫贊,bang'zan
幫助,bang'zhu
包辦,bao'ban
薄板,bao'ban
寶貝,bao'bei
保庇,bao'bi
保持,bao'chi
報仇,bao'chou
報酬,bao'chou
保存,bao'cun
報答,bao'da
報到,bao'dao
報導,bao'dao
寶島,bao'dao
寶典,bao'dian
剝奪,bao'duo
爆發,bao'fa
包袱,bao'fu
報復,bao'fu
報告,bao'gao
保管,bao'guan
寶貴,bao'gui
包裹,bao'guo
包含,bao'han
飽和,bao'he
保護,bao'hu
寶劍,bao'jian
包括,bao'kuo
保齡球,bao'ling'qiu
保留,bao'liu
暴露,bao'lu
報名,bao'ming
抱歉,bao'qian
包容,bao'rong
報社,bao'she
寶石,bao'shi
保守,bao'shou
保衛,bao'wei
包圍,bao'wei
保惜,bao'xi
保險,bao'xian
報銷,bao'xiao
剝削,bao'xue
保佑,bao'you
寶玉,bao'yu
包仔,bao'zai
爆炸,bao'zha
保障,bao'zhang
保證,bao'zheng
報紙,bao'zhi
保重,bao'zhong
褒忠,bao'zhong
包裝,bao'zhuang
悲哀,bei'ai
備辦,bei'ban
卑鄙,bei'bi
北部,bei'bu
悲慘,bei'can
北方,bei'fang
備份,bei'fen
北港,bei'gang
被告,bei'gao
杯葛,bei'ge
北管,bei'guan
悲觀,bei'guan
北海道,bei'hai'dao
背後,bei'hou
北極,bei'ji
卑賤,bei'jian
北京,bei'jing
背景,bei'jing
北京話,bei'jing'hua
北京語,bei'jing'yu
悲劇,bei'ju
北美,bei'mei
北美洲,bei'mei'zhou
北門,bei'men
北爿,bei'pan
悲情,bei'qing
北區,bei'qu
悲傷,bei'shang
北宋,bei'song
北投,bei'tou
北頭,bei'tou
杯仔,bei'zai
悲壯,bei'zhuang
奔波,ben'bo
本成,ben'cheng
本村,ben'cun
本地,ben'di
本底,ben'di
本頂,ben'ding
本國,ben'guo
本刊,ben'kan
本會,ben'kuai
本來,ben'lai
本領,ben'ling
本年度,ben'nian'du
本儂,ben'nong
本錢,ben'qian
本區,ben'qu
本人,ben'ren
本身,ben'shen
本省,ben'sheng
本事,ben'shi
本書,ben'shu
本所,ben'suo
本調,ben'tiao
本土,ben'tu
本位,ben'wei
本文,ben'wen
本鄉,ben'xiang
本性,ben'xing
本縣,ben'xuan
本意,ben'yi
本義,ben'yi
本院,ben'yuan
本鎮,ben'zhen
本質,ben'zhi
本字,ben'zi
本族,ben'zu
崩潰,beng'kui
疕疤,bi'ba
彼此,bi'ci
壁頂,bi'ding
必定,bi'ding
必讀,bi'du
比對,bi'dui
庇護,bi'hu
比劃,bi'hua
筆劃,bi'hua
鼻化,bi'hua
避諱,bi'hui
筆記,bi'ji
筆尖,bi'jian
比較,bi'jiao
畢竟,bi'jing
鼻空,bi'kong
比例,bi'li
比利時,bi'li'shi
比率,bi'lv
避免,bi'mian
筆名,bi'ming
必然,bi'ran
比如,bi'ru
比顬,bi'ru
比賽,bi'sai
彼是,bi'shi
筆試,bi'shi
鼻屎,bi'shi
鼻水,bi'shui
筆談,bi'tan
筆筒,bi'tong
必修,bi'xiu
必須,bi'xu
必要,bi'yao
畢業,bi'ye
鼻音,bi'yin
比喻,bi'yu
避孕,bi'yun
筆者,bi'zhe
比重,bi'zhong
辨別,bian'bie
編成,bian'cheng
變成,bian'cheng
便當,bian'dang
變動,bian'dong
變讀,bian'du
便飯,bian'fan
便服,bian'fu
變更,bian'geng
編號,bian'hao
辯護,bian'hu
變化,bian'hua
編輯,bian'ji
邊際,bian'ji
邊疆,bian'jiang
辯解,bian'jie
邊界,bian'jie
變來,bian'lai
便利,bian'li
辯論,bian'lun
變面,bian'mian
變弄,bian'nong
編排,bian'pai
變遷,bian'qian
辨認,bian'ren
便是,bian'shi
扁食,bian'shi
變數,bian'shuo
便所,bian'suo
變體,bian'ti
便條,bian'tiao
變調,bian'tiao
變通,bian'tong
編寫,bian'xie
變形,bian'xing
邊也,bian'ye
變異,bian'yi
貶抑,bian'yi
辨義,bian'yi
邊音,bian'yin
邊緣,bian'yuan
編者,bian'zhe
辯證,bian'zheng
變質,bian'zhi
編纂,bian'zuan
變做,bian'zuo
標本,biao'ben
表層,biao'ceng
表達,biao'da
標點,biao'dian
表格,biao'ge
標記,biao'ji
表決,biao'jue
表面,biao'mian
標明,biao'ming
表明,biao'ming
標籤,biao'qian
表情,biao'qing
標示,biao'shi
表示,biao'shi
標題,biao'ti
標調,biao'tiao
表現,biao'xian
表演,biao'yan
表揚,biao'yang
標音,biao'yin
標語,biao'yu
錶仔,biao'zai
表彰,biao'zhang
標幟,biao'zhi
標志,biao'zhi
標緻,biao'zhi
標準,biao'zhun
標準語,biao'zhun'yu
別名,bie'ming
別儂,bie'nong
別人,bie'ren
別日,bie'ri
別位,bie'wei
鬢邊,bin'bian
繽紛,bin'fen
賓格,bin'ge
賓館,bin'guan
濱海,bin'hai
檳榔,bin'lang
殯儀館,bin'yi'guan
賓語,bin'yu
病床,bing'chuang
並存,bing'cun
冰點,bing'dian
併發,bing'fa
病房,bing'fang
冰庫,bing'ku
冰冷,bing'leng
病歷,bing'li
並列,bing'lie
病囝,bing'nan
病儂,bing'nong
兵器,bing'qi
並且,bing'qie
冰糖,bing'tang
併吞,bing'tun
冰箱,bing'xiang
病院,bing'yuan
兵仔,bing'zai
博愛,bo'ai
薄荷,bo'he
跛跤,bo'jiao
波蘭,bo'lan
波浪,bo'lang
玻璃,bo'li
菠菱,bo'ling
薄弱,bo'ruo
博士,bo'shi
播送,bo'song
嚗牙,bo'ya
不安,bu'an
卜暗仔,bu'an'zai
不必,bu'bi
不比,bu'bi
不便,bu'bian
不變,bu'bian
部長,bu'chang
補充,bu'chong
不出,bu'chu
不錯,bu'cuo
布袋,bu'dai
不但,bu'dan
不得了,bu'de'liao
不得已,bu'de'yi
不定,bu'ding
不懂,bu'dong
不動產,bu'dong'chan
不斷,bu'duan
部隊,bu'dui
布帆,bu'fan
不分,bu'fen
部分,bu'fen
不服,bu'fu
佈告,bu'gao
補給,bu'gei
卜卦,bu'gua
不管,bu'guan
不管時,bu'guan'shi
不過,bu'guo
不好,bu'hao
佈景,bu'jing
不可,bu'ke
不會,bu'kuai
不來,bu'lai
不利,bu'li
布簾,bu'lian
不論,bu'lun
部落,bu'luo
不滿,bu'man
部門,bu'men
不免,bu'mian
不明,bu'ming
不能,bu'neng
不平,bu'ping
不起,bu'qi
不如,bu'ru
不少,bu'shao
不是,bu'shi
不時,bu'shi
不受,bu'shou
部首,bu'shou
部屬,bu'shu
步數,bu'shuo
不送氣,bu'song'qi
步調,bu'tiao
不同,bu'tong
部位,bu'wei
補習,bu'xi
部下,bu'xia
不孝,bu'xiao
不幸,bu'xing
不行,bu'xing
不要,bu'yao
補藥,bu'yao
不易,bu'yi
補語,bu'yu
不再,bu'zai
不正,bu'zheng
不止,bu'zhi
不知,bu'zhi
佈置,bu'zhi
補助,bu'zhu
不准,bu'zhun
不足,bu'zu
擦音,ca'yin
財寶,cai'bao
猜測,cai'ce
財產,cai'chan
菜廚,cai'chu
菜刀,cai'dao
裁定,cai'ding
裁奪,cai'duo
財閥,cai'fa
採訪,cai'fang
裁縫,cai'feng
才閣,cai'ge
菜瓜,cai'gua
彩虹,cai'hong
採集,cai'ji
裁決,cai'jue
材料,cai'liao
採納,cai'na
才能,cai'neng
裁判,cai'pan
菜脯,cai'pu
才情,cai'qing
採取,cai'qu
彩色,cai'se
菜單,cai'shan
菜市,cai'shi
採收,cai'shou
菜蔬,cai'shu
菜湯,cai'tang
才調,cai'tiao
彩頭,cai'tou
