并脚托马斯,bing'jiao'tuo'ma'si
大回环,da'hui'huan
单手踩单车,dan'shou'cai'dan'che
单手跳,dan'shou'tiao
倒立,dao'li
定格,ding'ge
飞机撑,fei'ji'cheng
飞机转,fei'ji'zhuan
风车,feng'che
风格,feng'ge
鼓点,gu'dian
鹤立,he'li
肩撑,jian'cheng
律动,lv'dong
耐克,nai'ke
女神风车,nv'shen'feng'che
抛木,pao'mu
三角撑,san'jiao'cheng
刷头风车,shua'tou'feng'che
头顶,tou'ding
头转,tou'zhuan
陀螺风车,tuo'luo'feng'che
托马斯,tuo'ma'si
无手风车,wu'shou'feng'che
小地板,xiao'di'ban
小回环,xiao'hui'huan
炸场,zha'chang
