何畏,he'wei
皇甫上人,huang'fu'shang'ren
惠乔,hui'qiao
家老,jia'lao
冷清雪,leng'qing'xue
琉璃,liu'li
南宫灵儿,nan'gong'ling'er
凝蓉,ning'rong
凝蔚,ning'wei
石姬,shi'ji
司空鸠九,si'kong'jiu'jiu
司空明,si'kong'ming
司空琪,si'kong'qi
司空瑶,si'kong'yao
澹台真人,tan'tai'zhen'ren
吐贺图,tu'he'tu
完颜藏,wan'yan'cang
完颜龙,wan'yan'long
完颜修,wan'yan'xiu
完颜政,wan'yan'zheng
文婧,wen'jing
文太极,wen'tai'ji
乌鲁,wu'lu
星陨,xing'yun
炀桀,yang'jie
御龙堡,yu'long'bao
御龙剑,yu'long'jian
御马,yu'ma
元朗,yuan'lang
宗圣,zong'sheng
宗帅,zong'shuai
