阿布达尔,a'bu'da'er
阿布杜,a'bu'du
阿布拉尔,a'bu'la'er
阿尔卡利,a'er'ka'li
阿尔马米,a'er'ma'mi
阿赫亚尔,a'he'ya'er
阿訇,a'hong
阿勒法,a'le'fa
阿鲁法,a'lu'fa
阿皮孜,a'pi'zi
阿亚图拉,a'ya'tu'la
阿札德,a'zha'de
艾夫代勒赫勒格,ai'fu'dai'le'he'le'ge
艾海勒齐麦,ai'hai'le'qi'mai
艾米尔,ai'mi'er
埃米尔,ai'mi'er
埃米尔穆民,ai'mi'er'mu'min
哀诗吟唱师,ai'shi'yin'chang'shi
爱资哈尔长老,ai'zi'ha'er'zhang'lao
安萨尔,an'sa'er
奥塔德,ao'ta'de
巴巴,ba'ba
巴布,ba'bu
巴基亚安拉,ba'ji'ya'an'la
板得,ban'de
保护民,bao'hu'min
布维,bu'wei
不信表征者,bu'xin'biao'zheng'zhe
缠回,chan'hui
忏悔者,chan'hui'zhe
沉默者,chen'mo'zhe
传教师,chuan'jiao'shi
大阿亚图拉,da'a'ya'tu'la
大传教师,da'chuan'jiao'shi
大教长,da'jiao'zhang
大毛拉,da'mao'la
大圣,da'sheng
答失蛮,da'shi'man
大西海里排,da'xi'hai'li'pai
达伊,da'yi
代理人,dai'li'ren
代言者,dai'yan'zhe
当家人,dang'jia'ren
刀儿师傅,dao'er'shi'fu
道祖,dao'zu
德尔维希,de'er'wei'xi
迪万尼,di'wan'ni
董事,dong'shi
督教,du'jiao
多斯梯,duo'si'ti
二阿訇,er'a'hong
尔撒,er'sa
二氏,er'shi
法基尔,fa'ji'er
斐达仪,fei'da'yi
费基,fei'ji
菲特彦,fei'te'yan
封印先知,feng'yin'xian'zhi
副教,fu'jiao
辅士,fu'shi
高目,gao'mu
高斯,gao'si
革烂得,ge'lan'de
固特卜,gu'te'bo
固土布,gu'tu'bu
管事,guan'shi
哈菲兹,ha'fei'zi
哈吉,ha'ji
哈吉布,ha'ji'bu
哈卡姆,ha'ka'mu
哈里发,ha'li'fa
哈日,ha'ri
哈宛德,ha'wan'de
海里排,hai'li'pai
海推布,hai'tui'bu
和加,he'jia
合一者,he'yi'zhe
和卓,he'zhuo
红帽子回回,hong'mao'zi'hui'hui
后辈,hou'bei
胡加,hu'jia
胡加特伊斯兰,hu'jia'te'yi'si'lan
胡拉法伊拉西丁,hu'la'fa'yi'la'xi'ding
回回大师,hui'hui'da'shi
活主,huo'zhu
加日甫凯西,jia'ri'fu'kai'xi
姜,jiang
教法官,jiao'fa'guan
教领,jiao'ling
教义学家,jiao'yi'xue'jia
教长,jiao'zhang
教长阿訇,jiao'zhang'a'hong
精底格,jing'di'ge
精神导师,jing'shen'dao'shi
经师,jing'shi
卡达,ka'da
卡迪,ka'di
卡迪贾马阿,ka'di'jia'ma'a
卡迪库达,ka'di'ku'da
卡非尔,ka'fei'er
卡腊摩胡,ka'la'mo'hu
卡兰达尔,ka'lan'da'er
喀里,ka'li
卡孜,ka'zi
卡孜艾兰木,ka'zi'ai'lan'mu
卡孜卡朗,ka'zi'ka'lang
卡孜库札提,ka'zi'ku'zha'ti
卡孜穆夫提,ka'zi'mu'fu'ti
卡孜穆特拉克,ka'zi'mu'te'la'ke
卡孜热衣斯,ka'zi're'yi'si
开学阿訇,kai'xue'a'hong
来苏里,lai'su'li
老表,lao'biao
老人家,lao'ren'jia
利曼,li'man
两圣地教长,liang'sheng'di'jiao'zhang
列圣,lie'sheng
六大使者,liu'da'shi'zhe
鲁札罕,lu'zha'han
罗伍泽哈,luo'wu'ze'ha
旅行者,lv'xing'zhe
玛大,ma'da
玛尔札塔格利德,ma'er'zha'ta'ge'li'de
马赫迪,ma'he'di
马拉布特,ma'la'bu'te
麻拉目,ma'la'mu
马萨拉契,ma'sa'la'qi
马瓦里,ma'wa'li
马朱斯,ma'zhu'si
毛拉,mao'la
毛拉维,mao'la'wei
门,men
门头师傅,men'tou'shi'fu
米列维,mi'lie'wei
明经,ming'jing
命令之主,ming'ling'zhi'zhu
缪杰莱特,miu'jie'lai'te
穆安津,mu'an'jin
穆代日斯,mu'dai'ri'si
穆尔西德,mu'er'xi'de
穆夫提,mu'fu'ti
穆哈吉勒,mu'ha'ji'le
穆哈台斯布,mu'ha'tai'si'bu
穆加迪德,mu'jia'di'de
穆贾希德,mu'jia'xi'de
穆卡利德,mu'ka'li'de
穆拉比特,mu'la'bi'te
穆勒师德,mu'le'shi'de
穆里德,mu'li'de
穆民,mu'min
穆纳非格,mu'na'fei'ge
穆士里克,mu'shi'li'ke
穆斯林,mu'si'lin
木速蛮,mu'su'man
穆塔瓦利,mu'ta'wa'li
穆台凯里姆,mu'tai'kai'li'mu
穆太萨维夫,mu'tai'sa'wei'fu
木提外力,mu'ti'wai'li
穆瓦希德,mu'wa'xi'de
木希普,mu'xi'pu
穆智台希德,mu'zhi'tai'xi'de
纳比,na'bi
纳伊布,na'yi'bu
乃索拉,nai'suo'la
南蕃回回,nan'bo'hui'hui
奴卡巴,nu'ka'ba
女圣洁者,nv'sheng'jie'zhe
女圣徒,nv'sheng'tu
欧莱玛,ou'lai'ma
派罕巴尔,pai'han'ba'er
配贤,pei'xian
辟尔,pi'er
辟尔穆冈,pi'er'mu'gang
皮斯乃玛兹,pi'si'nai'ma'zi
平民,ping'min
齐米,qi'mi
前辈,qian'bei
迁士,qian'shi
切莱比,qie'lai'bi
勤炼人,qin'lian'ren
钦圣,qin'sheng
热衣斯,re'yi'si
萨尔金穆苏尔米,sa'er'jin'mu'su'er'mi
撒哈比,sa'ha'bi
撒拉回,sa'la'hui
赛义德,sai'yi'de
散班阿訇,san'ban'a'hong
沙德尔,sha'de'er
沙克开,sha'ke'kai
社头,she'tou
舍希德,she'xi'de
圣洁者,sheng'jie'zhe
圣门弟子,sheng'men'di'zi
圣人,sheng'ren
圣徒,sheng'tu
圣裔,sheng'yi
圣智者,sheng'zhi'zhe
圣族,sheng'zu
事阿訇,shi'a'hong
侍从长,shi'cong'chang
时代之主,shi'dai'zhi'zhu
使节,shi'jie
师母,shi'mu
释奴,shi'nu
十圣人,shi'sheng'ren
使者,shi'zhe
顺民,shun'min
四大哈里发,si'da'ha'li'fa
四角乡老,si'jiao'xiang'lao
寺师傅,si'shi'fu
诵经家,song'jing'jia
苏丹,su'dan
苏非,su'fei
苏皮,su'pi
塔比尔,ta'bi'er
塔里布,ta'li'bu
太萨伍夫,tai'sa'wu'fu
陶醉者,tao'zui'zhe
特别代理人,te'bie'dai'li'ren
统教,tong'jiao
托钵僧,tuo'bo'seng
托隆卡瓦,tuo'long'ka'wa
托罗贝,tuo'luo'bei
托茂人,tuo'mao'ren
瓦达阿德,wa'da'a'de
瓦基尔,wa'ji'er
瓦克夫经管人,wa'ke'fu'jing'guan'ren
瓦拉亚,wa'la'ya
瓦里,wa'li
瓦里阿赫德,wa'li'a'he'de
瓦利安拉,wa'li'an'la
完人,wan'ren
维卡拉,wei'ka'la
维拉亚,wei'la'ya
伪士,wei'shi
吾里,wu'li
乌里玛,wu'li'ma
先贤,xian'xian
先知,xian'zhi
乡老,xiang'lao
谢赫,xie'he
谢里夫,xie'li'fu
宣礼员,xuan'li'yuan
学董,xue'dong
寻道者,xun'dao'zhe
殉教者,xun'jiao'zhe
耶乎德,ye'hu'de
一般代理人,yi'ban'dai'li'ren
依禅,yi'chan
伊玛目,yi'ma'mu
伊玛目代理人,yi'ma'mu'dai'li'ren
伊玛目反对者,yi'ma'mu'fan'dui'zhe
伊玛目蒙塔札尔,yi'ma'mu'meng'ta'zha'er
伊玛目追随者,yi'ma'mu'zhui'sui'zhe
伊斯兰教长老,yi'si'lan'jiao'zhang'lao
隐遁伊玛目,yin'dun'yi'ma'mu
有经人,you'jing'ren
再传弟子,zai'chuan'di'zi
站拱北者,zhan'gong'bei'zhe
掌灯人,zhang'deng'ren
掌教,zhang'jiao
掌学阿訇,zhang'xue'a'hong
正统哈里发,zheng'tong'ha'li'fa
治坊阿訇,zhi'fang'a'hong
至圣,zhi'sheng
朱乎得忒,zhu'hu'de'te
擢升者,zhuo'sheng'zhe
总传教师,zong'chuan'jiao'shi
总教法官,zong'jiao'fa'guan
