鞍山道,an'shan'dao
北站,bei'zhan
本溪路,ben'xi'lu
卞兴,bian'xing
财经学院,cai'jing'xue'yuan
曹庄,cao'zhuang
长虹公园,chang'hong'gong'yuan
陈塘庄,chen'tang'zhuang
翠阜新村,cui'fu'xin'cun
大王庄站,da'wang'zhuang'zhan
大学城,da'xue'cheng
登州路,deng'zhou'lu
东海路站,dong'hai'lu'zhan
东丽开发区站,dong'li'kai'fa'qu'zhan
东南角,dong'nan'jiao
东兴路站,dong'xing'lu'zhan
二号桥站,er'hao'qiao'zhan
二纬路,er'wei'lu
丰产河,feng'chan'he
复兴门,fu'xing'men
钢管公司站,gang'guan'gong'si'zhan
高新区,gao'xin'qu
鼓楼,gu'lou
广开四马路,guang'kai'si'ma'lu
果酒厂,guo'jiu'chang
国山路,guo'shan'lu
海光寺,hai'guang'si
和平路,he'ping'lu
洪湖里,hong'hu'li
红旗南路,hong'qi'nan'lu
胡家园站,hu'jia'yuan'zhan
华北集团,hua'bei'ji'tuan
华山里,hua'shan'li
华苑,hua'yuan
会展中心站,hui'zhan'zhong'xin'zhan
芥园西道,jie'yuan'xi'dao
金狮桥,jin'shi'qiao
津湾广场,jin'wan'guang'chang
靖江路,jing'jiang'lu
军粮城站,jun'liang'cheng'zhan
空港经济区,kong'gang'jing'ji'qu
刘园,liu'yuan
南楼,nan'lou
勤俭道,qin'jian'dao
市民广场站,shi'min'guang'chang'zhan
十一经路站,shi'yi'jing'lu'zhan
双林,shuang'lin
顺驰桥,shun'chi'qiao
泰达站,tai'da'zhan
塘沽站,tang'gu'zhan
天津西站,tian'jin'xi'zhan
天津站,tian'jin'zhan
天士力,tian'shi'li
天塔,tian'ta
铁东路,tie'dong'lu
土城,tu'cheng
王顶堤,wang'ding'di
吴家窑,wu'jia'yao
西北角,xi'bei'jiao
西横堤,xi'heng'di
西康路,xi'kang'lu
西南角,xi'nan'jiao
下瓦房,xia'wa'fang
咸阳路,xian'yang'lu
小白楼,xiao'bai'lou
小淀,xiao'dian
小东庄站,xiao'dong'zhuang'zhan
新立镇站,xin'li'zhen'zhan
一号桥站,yi'hao'qiao'zhan
宜兴埠,yi'xing'bu
营口道,ying'kou'dao
屿东城,yu'dong'cheng
远洋国际中心,yuan'yang'guo'ji'zhong'xin
张兴庄,zhang'xing'zhuang
直沽站,zhi'gu'zhan
中山路,zhong'shan'lu
中山门站,zhong'shan'men'zhan
周邓纪念馆,zhou'deng'ji'nian'guan
