阿比西尼亚猫,a'bi'xi'ni'ya'mao
埃及猫,ai'ji'mao
奥西猫,ao'xi'mao
巴厘猫,ba'li'mao
伯曼猫,bo'man'mao
波斯猫,bo'si'mao
布偶猫,bu'ou'mao
德文卷毛猫,de'wen'juan'mao'mao
电烫卷猫,dian'tang'juan'mao
东方短毛猫,dong'fang'duan'mao'mao
东奇尼猫,dong'qi'ni'mao
俄罗斯蓝猫,e'luo'si'lan'mao
哈瓦那棕猫,ha'wa'na'zong'mao
加拿大无毛猫,jia'na'da'wu'mao'mao
金吉拉,jin'ji'la
科拉特猫,ke'la'te'mao
柯尼斯卷毛猫,ke'ni'si'juan'mao'mao
褴褛猫,lan'lv'mao
狸猫,li'mao
曼岛无尾猫,man'dao'wu'wei'mao
美国短毛猫,mei'guo'duan'mao'mao
美国短尾猫,mei'guo'duan'wei'mao
美国卷耳猫,mei'guo'juan'er'mao
美国硬毛猫,mei'guo'ying'mao'mao
孟买猫,meng'mai'mao
缅甸猫,mian'dian'mao
缅因猫,mian'yin'mao
挪威森林猫,nuo'wei'sen'lin'mao
日本短尾猫,ri'ben'duan'wei'mao
三花猫,san'hua'mao
山东狮子猫,shan'dong'shi'zi'mao
狮子猫,shi'zi'mao
四川简州猫,si'chuan'jian'zhou'mao
斯可可猫,si'ke'ke'mao
苏格兰折耳猫,su'ge'lan'zhe'er'mao
索马里猫,suo'ma'li'mao
土耳其安哥拉猫,tu'er'qi'an'ge'la'mao
土耳其梵猫,tu'er'qi'fan'mao
西伯利亚猫,xi'bo'li'ya'mao
喜马拉雅猫,xi'ma'la'ya'mao
夏特尔猫,xia'te'er'mao
暹罗猫,xian'luo'mao
新加坡猫,xin'jia'po'mao
玄猫,xuan'mao
异国短毛猫,yi'guo'duan'mao'mao
英国短毛猫,ying'guo'duan'mao'mao
云猫,yun'mao
重点色短毛猫,zhong'dian'se'duan'mao'mao
