阿托莫,a'tuo'mo
八里湾,ba'li'wan
芭奇,ba'qi
北埔,bei'bu
崇德村,chong'de'cun
春日,chun'ri
慈恩,ci'en
大分,da'fen
大富村,da'fu'cun
大坑,da'keng
大农村,da'nong'cun
大坪村,da'ping'cun
大祥,da'xiang
大禹,da'yu
大禹岭,da'yu'ling
稻香村,dao'xiang'cun
东里,dong'li
丰滨,feng'bin
凤林镇,feng'lin'zhen
丰南村,feng'nan'cun
丰坪村,feng'ping'cun
丰田,feng'tian
福德,fu'de
富里,fu'li
富民村,fu'min'cun
富田村,fu'tian'cun
富兴村,fu'xing'cun
福兴村,fu'xing'cun
高山,gao'shan
宫前,gong'qian
宫下,gong'xia
古风村,gu'feng'cun
关原,guan'yuan
桧林,gui'lin
国富里,guo'fu'li
国民里,guo'min'li
国强里,guo'qiang'li
和仁,he'ren
和中,he'zhong
花莲县,hua'lian'xian
吉安,ji'an
静浦,jing'pu
客城,ke'cheng
岚山,lan'shan
老溪,lao'xi
立德,li'de
立山村,li'shan'cun
鲤鱼池,li'yu'chi
鲤鱼潭,li'yu'tan
莲花池,lian'hua'chi
林旁,lin'pang
岭顶,ling'ding
龙涧,long'jian
鹿鸣,lu'ming
洛韶,luo'shao
马远,ma'yuan
米亚桑,mi'ya'sang
明里村,ming'li'cun
南华村,nan'hua'cun
南平里,nan'ping'li
南通,nan'tong
盘石,pan'shi
平和村,ping'he'cun
奇美,qi'mei
七星潭,qi'xing'tan
庆丰村,qing'feng'cun
瑞北,rui'bei
瑞穗,rui'sui
三栈,san'zhan
山广,shan'guang
上梅园,shang'mei'yuan
上溪桥,shang'xi'qiao
石门,shi'men
石牌,shi'pai
寿丰,shou'feng
水源村,shui'yuan'cun
水源地,shui'yuan'di
顺安村,shun'an'cun
太昌村,tai'chang'cun
天长山,tian'chang'shan
铁份,tie'fen
万荣,wan'rong
乌北,wu'bei
武德,wu'de
西宝,xi'bao
溪口村,xi'kou'cun
西林村,xi'lin'cun
下梅园,xia'mei'yuan
新城,xin'cheng
新社,xin'she
新田,xin'tian
秀林,xiu'lin
学田村,xue'tian'cun
宜昌村,yi'chang'cun
玉里镇,yu'li'zhen
月眉村,yue'mei'cun
志学村,zhi'xue'cun
中平,zhong'ping
中心埔,zhong'xin'pu
竹田桥,zhu'tian'qiao
卓溪,zhuo'xi
