阿爸,a'ba
阿公,a'gong
阿媽,a'ma
阿嬤,a'mo
阿兄,a'xiong
阿姊,a'zi
阿祖,a'zu
爱拼才会赢,ai'pin'cai'hui'ying
鹌对笑密刹,an'dui'xiao'mi'sha
按哪,an'na
俺人厚福,an'ren'hou'fu
昂某冤家呒过暝,ang'mou'yuan'jia'fu'guo'ming
昂替某辛苦,ang'ti'mou'xin'ku
扒骨敲头额,ba'gu'qiao'tou'e
白白布染甲乌,bai'bai'bu'ran'jia'wu
白帖好骨格,bai'tie'hao'gu'ge
伴手,ban'shou
半桶屎恐恐溢,ban'tong'shi'kong'kong'yi
搬戏小看戏憨,ban'xi'xiao'kan'xi'han
娝囝浪动,bi'jian'lang'dong
比衫长比裤短,bi'shan'chang'bi'ku'duan
不字写相叠,bu'zi'xie'xiang'die
趁七圆了十四,chen'qi'yuan'le'shi'si
吃补呣达睡补,chi'bu'mou'da'shui'bu
吃吃福磨磨乐,chi'chi'fu'mo'mo'le
臭聋听见好陈鼓,chou'long'ting'jian'hao'chen'gu
臭头厚药,chou'tou'hou'yao
锄头喙粪箕耳,chu'tou'hui'fen'ji'er
船过水呒痕,chuan'guo'shui'fu'hen
春寒雨哪泉,chun'han'yu'na'quan
寸北食水,cun'bei'shi'shui
厝内卡贴厝外,cuo'nei'ka'tie'cuo'wai
大捞假光棍,da'lao'jia'guang'gun
大乳哄细囝,da'ru'hong'xi'jian
大食假细算,da'shi'jia'xi'suan
大石细石垒,da'shi'xi'shi'lei
大树脚好荫阴,da'shu'jiao'hao'yin'yin
打铁乘烧热,da'tie'cheng'shao're
担去填平平沉,dan'qu'tian'ping'ping'chen
叨位誒,dao'wei'xi
等人哙老,deng'ren'kuai'lao
第一稳举石礅,di'yi'wen'ju'shi'dun
逗撒工,dou'sa'gong
豆饲卜发芽,dou'si'bo'fa'ya
逗陣,dou'zhen
多生囝多浸尿,duo'sheng'jian'duo'jin'niao
多水呒多豆腐,duo'shui'fu'duo'dou'fu
多衣多寒,duo'yi'duo'han
饿呒呣是饿啰,e'fu'mou'shi'e'luo
饿善饱大胗,e'shan'bao'da'zhen
番平钱长山福,fan'ping'qian'chang'shan'fu
富贵不离祖,fu'gui'bu'li'zu
呒话拯松柏蕾,fu'hua'zheng'song'bai'lei
呒屎相鸽跍,fu'shi'xiang'ge'ku
呒用推船嫌溪湾,fu'yong'tui'chuan'xian'xi'wan
甘苦,gan'ku
咁真是按嘞,gan'zhen'shi'an'lei
擱乎我一擺的機會,ge'hu'wo'yi'bai'de'ji'hui
公德做嘞草嘞,gong'de'zuo'lei'cao'lei
公孙隔一墩,gong'sun'ge'yi'dun
狗嘞闪想猪肝骨,gou'lei'shan'xiang'zhu'gan'gu
狗屎见黑挟,gou'shi'jian'hei'xie
鼓未陈拍先陈,gu'wei'chen'pai'xian'chen
古意偷粘面饲,gu'yi'tou'zhan'mian'si
鬼鸽马哭,gui'ge'ma'ku
龟笑鳖呒毛,gui'xiao'bie'fu'mao
好花插嘞牛屎,hao'hua'cha'lei'niu'shi
好酒沉瓮底,hao'jiu'chen'weng'di
好琵琶挂嘞壁,hao'pi'pa'gua'lei'bi
好头呣达好尾,hao'tou'mou'da'hao'wei
好心去雷舂,hao'xin'qu'lei'chong
很芭樂,hen'ba'le
横柴入灶,heng'chai'ru'zao
横侬道理正,heng'nong'dao'li'zheng
猴脚戏仔手,hou'jiao'xi'zi'shou
猴空相弄通,hou'kong'xiang'nong'tong
虎呒临时计,hu'fu'lin'shi'ji
虎空拔虎舌,hu'kong'ba'hu'she
虎吔水牛善,hu'ye'shui'niu'shan
欢喜就好,huan'xi'jiu'hao
喙吹吹管乾家,hui'chui'chui'guan'qian'jia
喙共舌会相碍,hui'gong'she'hui'xiang'ai
灰熊厚,hui'xiong'hou
喙硬尻川软,hui'ying'kao'chuan'ruan
鸡朝底嘞猴瘾,ji'chao'di'lei'hou'yin
鸡蛋密也有缝,ji'dan'mi'ye'you'feng
鸡母呣打打蜡叶,ji'mu'mou'da'da'la'ye
鸡细北内齐全,ji'xi'bei'nei'qi'quan
鸡子啄泔打损嘴,ji'zi'zhuo'gan'da'sun'zui
家和万事成,jia'he'wan'shi'cheng
家后,jia'hou
假哭无目屎,jia'ku'wu'mu'shi
囝婿半子,jian'xu'ban'zi
講白賊,jiang'bai'zei
讲天捉皇帝,jiang'tian'zhuo'huang'di
交乎你,jiao'hu'ni
脚踏马屎饭官岿,jiao'ta'ma'shi'fan'guan'kui
脚痛皇帝命,jiao'tong'huang'di'ming
金厝地银厝角,jin'cuo'di'yin'cuo'jiao
近溪搭呒渡,jin'xi'da'fu'du
精厚,jing'hou
久病无孝子,jiu'bing'wu'xiao'zi
九尖妒芋,jiu'jian'du'yu
旧咻食新咻,jiu'xiu'shi'xin'xiu
酒醉心头定,jiu'zui'xin'tou'ding
卡青分,ka'qing'fen
抗蛮,kang'man
空喙哺舌,kong'hui'bu'she
拉交搭舌,la'jiao'da'she
拉尿划箍仔,la'niao'hua'gu'zi
蜡叶屁水鸡毛,la'ye'pi'shui'ji'mao
烂三缺四,lan'san'que'si
