阿嫲,a'ma
矮瓜,ai'gua
捱夜,ai'ye
罢就,ba'jiu
把炮,ba'pao
巴士,ba'shi
吧喳,ba'zha
拜拜,bai'bai
白焯,bai'chao
摆档,bai'dang
白话,bai'hua
摆景,bai'jing
摆酒,bai'jiu
摆款,bai'kuan
白兰地,bai'lan'di
摆明车马,bai'ming'ju'ma
拜山,bai'shan
摆乌龙,bai'wu'long
白雪雪,bai'xue'xue
百厌,bai'yan
白斩鸡,bai'zhan'ji
白粥,bai'zhou
白撞,bai'zhuang
百足,bai'zu
半桶水,ban'tong'shui
扮蟹,ban'xie
帮衬,bang'chen
帮口,bang'kou
帮手,bang'shou
傍水,bang'shui
帮拖,bang'tuo
帮下我手,bang'xia'wo'shou
爆煲,bao'bao
包顶颈,bao'ding'jing
爆格,bao'ge
爆镜,bao'jing
爆棚,bao'peng
被袋,bei'dai
被窦,bei'dou
背脊,bei'ji
背脢,bei'mei
被铺蚊帐,bei'pu'wen'zhang
被套,bei'tao
弊,bi
笔刨,bi'bao
比对,bi'dui
鼻哥,bi'ge
鼻哥窿,bi'ge'long
避忌,bi'ji
畀面,bi'mian
畀心机,bi'xin'ji
边度,bian'du
边个,bian'ge
边位,bian'wei
表错情,biao'cuo'qing
飙冷汗,biao'leng'han
兵士,bing'shi
饼印,bing'yin
搏彩,bo'cai
剥光猪,bo'guang'zhu
搏乱,bo'luan
搏懵,bo'meng
搏命,bo'ming
膊头,bo'tou
缽仔糕,bo'zai'gao
驳嘴,bo'zui
布碎,bu'sui
擦鞋,ca'xie
踩大,cai'da
踩低,cai'di
菜干,cai'gan
睬佢都戆,cai'qu'dou'gang
睬佢都傻,cai'qu'dou'sha
彩数,cai'shu
菜蔬,cai'shu
彩云,cai'yun
餐柜,can'gui
残鸡,can'ji
残鸡英,can'ji'ying
草花头,cao'hua'tou
草蜢,cao'meng
侧边,ce'bian
侧侧脖,ce'ce'bo
差池,cha'chi
差迟,cha'chi
差馆,cha'guan
查实,cha'shi
拆骨,chai'gu
差佬,chai'lao
铲地皮,chan'di'pi
唱碟,chang'die
长气,chang'qi
畅散纸,chang'san'zhi
炒更,chao'geng
朝头早,chao'tou'zao
炒鱿鱼,chao'you'yu
扯鼻鼾,che'bi'han
车辘,che'lu
趁你病,chen'ni'bing
趁墟,chen'xu
晨早,chen'zao
晨早流流,chen'zao'liu'liu
成村人,cheng'cun'ren
成日,cheng'ri
撑艇,cheng'ting
黐餐,chi'can
黐孖筋,chi'ma'jin
黐头婆,chi'tou'po
黐线,chi'xian
黐牙,chi'ya
豉油,chi'you
冲茶,chong'cha
冲凉,chong'liang
臭串,chou'chuan
丑怪,chou'guai
臭狐,chou'hu
仇口,chou'kou
臭青,chou'qing
臭馊,chou'sou
臭酸臭馊,chou'suan'chou'sou
初初,chu'chu
出粮,chu'liang
出猫,chu'mao
出声,chu'sheng
出世,chu'shi
初中鸡,chu'zhong'ji
穿煲,chuan'bao
穿竉,chuan'long
窗钩,chuang'gou
吹得我胀,chui'de'wo'zhang
吹水,chui'shui
吹我胀,chui'wo'zhang
吹须睩眼,chui'xu'lu'yan
吹胀,chui'zhang
存摺,cun'zhe
错有错着,cuo'you'cuo'zhao
大把,da'ba
大宝号,da'bao'hao
大笨象,da'ben'xiang
大髀,da'bi
打鼻鼾,da'bi'han
打边炉,da'bian'lu
打赤脚,da'chi'jiao
打低,da'di
打地铺,da'di'pu
大肚,da'du
打斧头,da'fu'tou
大后日,da'hou'ri
大花洒,da'hua'sa
大镬,da'huo
大剂,da'ji
大吉利是,da'ji'li'shi
大家姐,da'jia'jie
大佬,da'lao
打冷震,da'leng'zhen
大碌木,da'lu'mu
大褛,da'lv
打孖,da'ma
大懵,da'meng
大命,da'ming
打甂炉,da'pian'lu
打芡,da'qian
大声公,da'sheng'gong
打失,da'shi
打死缬,da'si'xie
耷头耷脑,da'tou'da'nao
大头佛,da'tou'fo
大头鬼,da'tou'gui
大头虾,da'tou'xia
大笑姑婆,da'xiao'gu'po
大学鸡,da'xue'ji
大眼鸡,da'yan'ji
大饮大食,da'yin'da'shi
袋袋平安,dai'dai'ping'an
带挈,dai'qie
单车,dan'che
淡定,dan'ding
蛋馓,dan'san
单身寡佬,dan'shen'gua'lao
胆生毛,dan'sheng'mao
担挑,dan'tiao
蛋筒,dan'tong
当差,dang'chai
当黑,dang'hei
荡街,dang'jie
荡失路,dang'shi'lu
当衰,dang'shuai
当堂,dang'tang
到其时,dao'qi'shi
倒泻,dao'xie
得啖笑,de'dan'xiao
得个吉,de'ge'ji
得米,de'mi
得人惊,de'ren'jing
得未,de'wei
得闲,de'xian
得意,de'yi
得把声,dei'ba'sheng
得把嘴,dei'ba'zui
得发,dei'fa
戥称,deng'cheng
登对,deng'dui
